"","model","formula","lam(Blackspruce_150)","SElam(Blackspruce_150)","lam(Int)","SElam(Int)","lam(Jackpine_150)","SElam(Jackpine_150)","lam(S150.VPD__100.150cm_Grid.1x1m.mean)","SElam(S150.VPD__100.150cm_Grid.1x1m.mean)","lam(S150.VPD__3.4m_Grid.1x1m.mean)","SElam(S150.VPD__3.4m_Grid.1x1m.mean)","lam(Species_Pice_Mar_v1_50)","SElam(Species_Pice_Mar_v1_50)","lam(SpeciesGroups_Needleleaf_Spp_v1_50)","SElam(SpeciesGroups_Needleleaf_Spp_v1_50)","lam(Structure_Biomass_TotalDead_v1_50)","SElam(Structure_Biomass_TotalDead_v1_50)","lam(Tamarack_150)","SElam(Tamarack_150)","p(Int)","SEp(Int)","p(Julian)","SEp(Julian)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt","r2"
"1","259","~1 ~ Blackspruce_150 + S150.VPD__3.4m_Grid.1x1m.mean + Tamarack_150 + 1",0.358715354953087,0.15396975773576,1.00579607024418,0.968419544620099,NA,NA,NA,NA,0.501081554318316,0.129045114250578,NA,NA,NA,NA,NA,NA,0.421247686956655,0.114051468022859,-2.69613628112599,1.03654917626625,NA,NA,0,469.734844626315,204.02237031962,5,98,418.044740639241,0,0.277301695208854,NA,0.277301695208854,0.320785317053615
"2","459","~1 ~ S150.VPD__100.150cm_Grid.1x1m.mean + S150.VPD__3.4m_Grid.1x1m.mean + Tamarack_150 + 1",NA,NA,0.839535048649327,0.803039201132564,NA,NA,0.308625837339169,0.142720011895451,0.473327811307946,0.141208381783137,NA,NA,NA,NA,NA,NA,0.226594497122878,0.0908139275568794,-2.49753334840753,0.872439143532408,NA,NA,0,361.531431100516,204.428640238082,5,98,418.857280476164,0.812539836922895,0.184719073144243,NA,0.462020768353097,0.31513038601951
"3","579","~1 ~ S150.VPD__3.4m_Grid.1x1m.mean + SpeciesGroups_Needleleaf_Spp_v1_50 + Tamarack_150 + 1",NA,NA,0.716360220221869,0.732647440269185,NA,NA,NA,NA,0.624529600519679,0.118268538881076,NA,NA,0.238645572555618,0.166856317416043,NA,NA,0.26443063358522,0.0910192866324837,-2.36075293457714,0.80326914898281,NA,NA,0,233.346629144586,205.564637149551,5,98,421.129274299102,3.08453365986168,0.0593136364128082,NA,0.521334404765905,0.299067153288526
"4","59","~1 ~ S150.VPD__3.4m_Grid.1x1m.mean + Tamarack_150 + 1",NA,NA,0.750173841793567,0.724767841596223,NA,NA,NA,NA,0.643340573765363,0.114291596314941,NA,NA,NA,NA,NA,NA,0.268120535453787,0.0906769085981409,-2.35688978585951,0.798648796390596,NA,NA,0,223.810824217585,206.699380418828,4,98,421.398760837655,3.35402019841484,0.0518365742470099,NA,0.573170979012915,0.282645519857124
"5","239","~1 ~ Blackspruce_150 + Jackpine_150 + Tamarack_150 + 1",1.21428011352166,0.270895918476246,0.346036740742777,0.507505258030932,0.716565214092723,0.243828440116357,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.876935534607698,0.193999687771524,-2.01623986143065,0.560743149322396,NA,NA,0,88.972833952471,206.000977183985,5,98,422.001954367971,3.95721372872993,0.0383402094860105,NA,0.611511188498926,0.292797543630585
"6","45","~1 ~ S150.VPD__100.150cm_Grid.1x1m.mean + S150.VPD__3.4m_Grid.1x1m.mean + 1",NA,NA,0.563606136799861,0.568882563743023,NA,NA,0.369826987969065,0.143815028517639,0.404784097939537,0.141410209367974,NA,NA,NA,NA,NA,NA,NA,NA,-2.15575892321271,0.636648487572361,NA,NA,0,169.097366957885,207.010920705173,4,98,422.021841410345,3.97710077110452,0.0379608619514015,NA,0.649472050450327,0.278070075314932
"7","457","~1 ~ S150.VPD__100.150cm_Grid.1x1m.mean + S150.VPD__3.4m_Grid.1x1m.mean + SpeciesGroups_Needleleaf_Spp_v1_50 + 1",NA,NA,0.527183493732524,0.569224782972585,NA,NA,0.347499954838284,0.144582453096649,0.398218076646138,0.143518114034743,NA,NA,0.212466146888339,0.170993028267674,NA,NA,NA,NA,-2.14778182897732,0.633686119719608,NA,NA,0,170.689376221368,206.155961821856,5,98,422.311923643711,4.26718300447072,0.0328356417332299,NA,0.682307692183557,0.29055715510033
"8","159","~Julian + 1 ~ S150.VPD__3.4m_Grid.1x1m.mean + Tamarack_150 + 1",NA,NA,0.82387696957682,0.779433681273793,NA,NA,NA,NA,0.61130653698796,0.118479883829735,NA,NA,NA,NA,NA,NA,0.273085803522801,0.0897582825094191,-2.44222878745304,0.851460238775444,0.130688272761216,0.142965078777943,0,267.917252648147,206.280718916131,5,98,422.561437832263,4.51669719302191,0.0289843917436093,NA,0.711292083927166,0.288748567404741
"9","569","~1 ~ S150.VPD__3.4m_Grid.1x1m.mean + Species_Pice_Mar_v1_50 + Tamarack_150 + 1",NA,NA,0.770570845447716,0.737149728114415,NA,NA,NA,NA,0.628479540194462,0.114628185726404,-0.107982187569915,0.12062409198529,NA,NA,NA,NA,0.269904818457027,0.0901289105990683,-2.38277088624353,0.809407043386451,NA,NA,0,238.058981828262,206.290116259434,5,98,422.580232518867,4.53549187962676,0.0287132912711592,NA,0.740005375198325,0.288612148734282
"10","467","~1 ~ S150.VPD__100.150cm_Grid.1x1m.mean + Species_Pice_Mar_v1_50 + SpeciesGroups_Needleleaf_Spp_v1_50 + 1",NA,NA,0.478485110557132,0.535929744963728,NA,NA,0.522097567814057,0.122947343625516,NA,NA,-0.36281051712356,0.14421123167354,0.478554811332604,0.194266301863631,NA,NA,NA,NA,-2.07448746640882,0.601473766539989,NA,NA,0,112.482854345213,206.513537146831,5,98,423.027074293661,4.98233365442042,0.0229642633148661,NA,0.762969638513192,0.285361091467506
"11","249","~1 ~ Blackspruce_150 + S150.VPD__100.150cm_Grid.1x1m.mean + Tamarack_150 + 1",0.393871016646109,0.159210307914622,0.701245775950564,0.651280943020776,NA,NA,0.403792254718965,0.132475519921963,NA,NA,NA,NA,NA,NA,NA,NA,0.368115449661729,0.126487082337774,-2.31967656073622,0.720015843163357,NA,NA,0,198.862027454318,206.543464008249,5,98,423.086928016498,5.04218737725751,0.0222871967594908,NA,0.785256835272682,0.28492449081529
"12","589","~1 ~ S150.VPD__3.4m_Grid.1x1m.mean + Structure_Biomass_TotalDead_v1_50 + Tamarack_150 + 1",NA,NA,0.762250074300068,0.739456865139624,NA,NA,NA,NA,0.646143132855456,0.11435869872722,NA,NA,NA,NA,-0.0664654417014947,0.1309275779819,0.280496337308588,0.0937769578171676,-2.37053119763476,0.813885633643232,NA,NA,0,235.451116719611,206.564165332889,5,98,423.128330665777,5.0835900265364,0.0218305650122382,NA,0.807087400284921,0.284622324740676
"13","456","~1 ~ S150.VPD__100.150cm_Grid.1x1m.mean + S150.VPD__3.4m_Grid.1x1m.mean + Species_Pice_Mar_v1_50 + 1",NA,NA,0.600177282507307,0.596468188361414,NA,NA,0.37990355586779,0.145856166888829,0.382947870555027,0.143160306841037,-0.105601850323834,0.119676770416926,NA,NA,NA,NA,NA,NA,-2.19921395979765,0.664747121588477,NA,NA,0,190.328427212544,206.616228578816,5,98,423.232457157633,5.18771651839199,0.0207230748540646,NA,0.827810475138985,0.283861821118716
