"","model","formula","lam(Int)","SElam(Int)","lam(S500.mean_MaxHeight)","SElam(S500.mean_MaxHeight)","lam(Species_Pice_Gla_v1_500)","SElam(Species_Pice_Gla_v1_500)","lam(SpeciesGroups_Broadleaf_Spp_v1_500)","SElam(SpeciesGroups_Broadleaf_Spp_v1_500)","lam(Structure_Stand_Age_v1_500)","SElam(Structure_Stand_Age_v1_500)","lam(Tremblingaspen_500)","SElam(Tremblingaspen_500)","lam(Whitebirch_500)","SElam(Whitebirch_500)","p(Int)","SEp(Int)","p(Julian)","SEp(Julian)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt","r2"
"1","167","~Julian + 1 ~ Tremblingaspen_500 + Whitebirch_500 + 1",-0.676885697408681,0.248695326769525,NA,NA,NA,NA,NA,NA,NA,NA,0.990530551531341,0.183292808417048,-0.431493413392425,0.17404003462855,-1.07790937993774,0.30655542692278,-0.747363095700868,0.202166471088211,0,19.0474535961399,155.681345965607,5,98,321.362691931215,0,0.54822081883015,NA,0.54822081883015,0.337760724871439
"2","126","~Julian + 1 ~ S500.mean_MaxHeight + Tremblingaspen_500 + 1",-0.726879186803388,0.246176224529791,0.459758373679204,0.209289188400585,NA,NA,NA,NA,NA,NA,0.360496800164594,0.162344176579815,NA,NA,-0.943665380274721,0.298150078881425,-0.586678206981289,0.200556065981385,0,20.9532335973319,157.019878788796,5,98,324.039757577592,2.67706564637757,0.143760013540662,NA,0.691980832370813,0.319420984106203
"3","156","~Julian + 1 ~ Structure_Stand_Age_v1_500 + Tremblingaspen_500 + 1",-0.678626186292996,0.249564058435435,NA,NA,NA,NA,NA,NA,0.378804224892978,0.247114887501821,0.669227081438957,0.127708807228787,NA,NA,-1.00672372541027,0.30853748081279,-0.653816263034795,0.201641727576208,0,15.841319372864,158.002103883689,5,98,326.004207767377,4.64151583616228,0.0538348077288897,NA,0.745815640099702,0.305640845788437
"4","16","~Julian + 1 ~ Tremblingaspen_500 + 1",-0.670840891543749,0.231842479076811,NA,NA,NA,NA,NA,NA,NA,NA,0.612434142228775,0.113959596137411,NA,NA,-0.91236661147366,0.286254428147895,-0.606113976810656,0.200210981634671,0,13.9388129705371,159.31950776421,4,98,326.63901552842,5.27632359720542,0.0391937133907634,NA,0.785009353490466,0.286719227375637
"5","136","~Julian + 1 ~ Species_Pice_Gla_v1_500 + Tremblingaspen_500 + 1",-0.708805307012825,0.237426976175965,NA,NA,-0.241814963267148,0.179065846493674,NA,NA,NA,NA,0.674583803744165,0.124670062801789,NA,NA,-0.908148041905578,0.288483119825106,-0.574561205866094,0.201136043717491,0,14.4572200073952,158.344139155729,5,98,326.688278311458,5.32558638024295,0.0382401101905836,NA,0.823249463681049,0.300777046810683
"6","12","~Julian + 1 ~ S500.mean_MaxHeight + 1",-0.720191822931822,0.239271307343044,0.742248867701407,0.150699615196411,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.910328639372608,0.292790715341895,-0.601820416119436,0.200451530211645,0,11.0486967548668,159.456187997723,4,98,326.912375995446,5.54968406423137,0.0341866811356126,NA,0.857436144816662,0.284726829825782
"7","124","~Julian + 1 ~ S500.mean_MaxHeight + SpeciesGroups_Broadleaf_Spp_v1_500 + 1",-0.709428105169603,0.241060099915383,0.647937540066962,0.168266059548182,NA,NA,0.177327660364559,0.142906708230191,NA,NA,NA,NA,NA,NA,-0.926375397130578,0.297739197456562,-0.58355611269697,0.199570535292139,0,16.1867081711133,158.702688000838,5,98,327.405376001677,6.04268407046209,0.0267179633711107,NA,0.884154108187773,0.295641841288006
"8","123","~Julian + 1 ~ S500.mean_MaxHeight + Species_Pice_Gla_v1_500 + 1",-0.731541134260082,0.241067074645511,0.772949332612397,0.150558245806934,-0.190881934577913,0.164182806002002,NA,NA,NA,NA,NA,NA,NA,NA,-0.911760979847339,0.295995782493302,-0.587445958074386,0.200783009482176,0,11.3939609142688,158.754186083119,5,98,327.508372166238,6.14568023502284,0.0253768677951081,NA,0.909530975982881,0.294901184915291
"9","236","~1 ~ S500.mean_MaxHeight + Species_Pice_Gla_v1_500 + Tremblingaspen_500 + 1",-0.838512901107888,0.266474228898756,0.52550618861221,0.190641279680397,-0.372004483572767,0.181576971183832,NA,NA,NA,NA,0.463055615963922,0.160015645809708,NA,NA,-0.86682154415571,0.320770638899203,NA,NA,0,24.7620880853105,159.181814789837,5,98,328.363629579674,7.00093764845911,0.0165470747779513,NA,0.926078050760832,0.288720776090134
"10","146","~Julian + 1 ~ SpeciesGroups_Broadleaf_Spp_v1_500 + Tremblingaspen_500 + 1",-0.669425507298456,0.232654176829659,NA,NA,NA,NA,0.0779325967979203,0.164882130690875,NA,NA,0.571564750510859,0.14354451732609,NA,NA,-0.917378438049384,0.288320995307024,-0.600026581369581,0.200122434022357,0,18.6721203113166,159.208758176989,5,98,328.417516353979,7.05482442276394,0.0161071930977192,NA,0.942185243858551,0.28832956096053
"11","125","~Julian + 1 ~ S500.mean_MaxHeight + Structure_Stand_Age_v1_500 + 1",-0.720411833471387,0.237801720892605,0.747727785480506,0.150707148085786,NA,NA,NA,NA,-0.0557940963187283,0.212364159158504,NA,NA,NA,NA,-0.903256457789476,0.292844113290342,-0.596471882428257,0.201449680096108,0,11.2725514258468,159.422280993166,5,98,328.844561986332,7.48187005511761,0.0130103231694243,NA,0.955195567027975,0.285221613118913
