"","model","formula","lam(Int)","SElam(Int)","lam(S500.sd_PercCanopyDensity)","SElam(S500.sd_PercCanopyDensity)","lam(S500.VPD__2.3m_Grid.1x1m.mean)","SElam(S500.VPD__2.3m_Grid.1x1m.mean)","lam(Species_Pinu_Ban_v1_50)","SElam(Species_Pinu_Ban_v1_50)","lam(Species_Sali_Spp_v1_50)","SElam(Species_Sali_Spp_v1_50)","lam(Structure_Stand_CrownClosure_v1_50)","SElam(Structure_Stand_CrownClosure_v1_50)","lam(Tremblingaspen_150)","SElam(Tremblingaspen_150)","lam(Whitebirch_150)","SElam(Whitebirch_150)","p(Int)","SEp(Int)","p(Julian)","SEp(Julian)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt","r2"
"1","257","~1 ~ S500.sd_PercCanopyDensity + Species_Sali_Spp_v1_50 + Tremblingaspen_150 + 1",2.03700916021928,1.89599126031891,0.427753097592236,0.120055787030856,NA,NA,NA,NA,-1.33107588179687,0.669182343870065,NA,NA,-0.450782716666095,0.149556982002625,NA,NA,-3.74891960112357,1.96153056057577,NA,NA,0,1643.0249377076,219.86491490471,5,98,449.72982980942,0,0.425218365087168,NA,0.425218365087168,0.273740618292144
"2","245","~1 ~ S500.sd_PercCanopyDensity + Species_Pinu_Ban_v1_50 + Species_Sali_Spp_v1_50 + 1",1.22040753203203,0.786226672297856,0.574767233580394,0.124661245072973,NA,NA,0.375102740282581,0.117914286552214,-1.27874011833301,0.659967536325301,NA,NA,NA,NA,NA,NA,-2.87040969176128,0.83427904511338,NA,NA,0,242.785239177701,220.173767477519,5,98,450.347534955038,0.617705145618061,0.312233174975928,NA,0.737451540063096,0.269148465584341
"3","258","~1 ~ S500.sd_PercCanopyDensity + Species_Sali_Spp_v1_50 + Whitebirch_150 + 1",1.05212395596098,0.85522872169586,0.479365610389715,0.11829817477095,NA,NA,NA,NA,-1.19533158806791,0.654614844742677,NA,NA,NA,NA,-1.95993172822216,1.66341586620507,-2.87354716697419,0.880963310448517,NA,NA,0,520.175140910607,221.965862473908,5,98,453.931724947817,4.20189513839705,0.0520214049730705,NA,0.789472945036167,0.24192395251983
"4","125","~Julian + 1 ~ S500.sd_PercCanopyDensity + Species_Sali_Spp_v1_50 + 1",1.61453754217357,1.00352034475968,0.542631615870198,0.118668490158879,NA,NA,NA,NA,-1.12164659521613,0.647571882952497,NA,NA,NA,NA,NA,NA,-3.23949662276424,1.05332454508977,0.309839251680655,0.123223426773454,0,405.610585531345,222.221219391595,5,98,454.44243878319,4.71260897377056,0.0402978593749154,NA,0.829770804411082,0.237963029087101
"5","127","~Julian + 1 ~ S500.sd_PercCanopyDensity + Tremblingaspen_150 + 1",2.21678089620594,1.75706561626242,0.390874778674853,0.117568163473752,NA,NA,NA,NA,NA,NA,NA,NA,-0.416916212064856,0.150749496091406,NA,NA,-3.79039527909426,1.81597126353137,0.327253921978124,0.119551890783552,0,1416.07326107879,222.388166697781,5,98,454.776333395561,5.04650358614157,0.0341018298489267,NA,0.863872634260009,0.235362274173949
"6","578","~1 ~ Species_Sali_Spp_v1_50 + Tremblingaspen_150 + Whitebirch_150 + 1",1.0713192672659,0.895529922220687,NA,NA,NA,NA,NA,NA,-1.08498701066382,0.654856826422544,NA,NA,-0.534575939373502,0.154778644614522,-1.94644973210375,1.91176554822711,-2.90750732912278,0.922333095199393,NA,NA,0,671.938159070325,222.537760532045,5,98,455.07552106409,5.34569125466999,0.0293636410447909,NA,0.8932362753048,0.233024317598544
"7","235","~1 ~ S500.sd_PercCanopyDensity + S500.VPD__2.3m_Grid.1x1m.mean + Species_Sali_Spp_v1_50 + 1",1.42190321224909,0.948187519275338,0.596619819340885,0.127933052826823,0.255961835130381,0.112533367467505,NA,NA,-1.14388507047969,0.650784904181759,NA,NA,NA,NA,NA,NA,-3.0240464451488,1.0048475770531,NA,NA,0,351.897805091737,222.900097333583,5,98,455.800194667166,6.07036485774677,0.0204385006373121,NA,0.913674775942112,0.22733179617808
"8","278","~1 ~ S500.sd_PercCanopyDensity + Tremblingaspen_150 + Whitebirch_150 + 1",1.37573138492715,1.06328407556587,0.294004261925437,0.118385878487842,NA,NA,NA,NA,NA,NA,NA,NA,-0.42327803561896,0.153266646251936,-1.63994225130254,1.62484529447534,-3.07797769613024,1.10802802476103,NA,NA,0,566.628342653726,223.391791888316,5,98,456.783583776633,7.05375396721297,0.0124999651158568,NA,0.926174741057969,0.219539361620871
"9","247","~1 ~ S500.sd_PercCanopyDensity + Species_Pinu_Ban_v1_50 + Tremblingaspen_150 + 1",1.39578876216895,0.871272786897888,0.369400745546862,0.121916525872975,NA,NA,0.274049185249008,0.122075999133128,NA,NA,NA,NA,-0.364795686207965,0.154554159752744,NA,NA,-2.91926984854142,0.932856431833933,NA,NA,0,330.548000051995,223.509114747711,5,98,457.018229495422,7.28839968600232,0.011116194334923,NA,0.937290935392892,0.217668431388527
"10","124","~Julian + 1 ~ S500.sd_PercCanopyDensity + Species_Pinu_Ban_v1_50 + 1",1.43724814878226,0.766716745607407,0.494613027312299,0.120292169429567,NA,NA,0.307682036374457,0.121038207273973,NA,NA,NA,NA,NA,NA,NA,NA,-2.94642517149567,0.816216153316027,0.319357385885263,0.126455210291621,0,233.301638973111,223.589465148577,5,98,457.178930297155,7.44910048773494,0.0102579456773132,NA,0.947548881070205,0.216384508471967
"11","567","~1 ~ Species_Sali_Spp_v1_50 + Structure_Stand_CrownClosure_v1_50 + Tremblingaspen_150 + 1",1.35822585047798,0.90063668477539,NA,NA,NA,NA,NA,NA,-1.0745793188385,0.645840606879426,-0.177645318406562,0.0951916023175148,-0.491974932033805,0.153173173874811,NA,NA,-2.94861787622276,0.964987250819105,NA,NA,0,339.882247267557,224.160811425412,5,98,458.321622850824,8.59179304140451,0.0057933245582243,NA,0.953342205628429,0.207193974184541
"12","25","~1 ~ S500.sd_PercCanopyDensity + Species_Sali_Spp_v1_50 + 1",1.14481116066821,0.702173692921754,0.484903914781801,0.120540884925748,NA,NA,NA,NA,-1.15796672873981,0.651589991325419,NA,NA,NA,NA,NA,NA,-2.69498233579537,0.757720694585166,NA,NA,0,184.759207449302,225.346712585299,4,98,458.693425170598,8.96359536117842,0.00481051985668336,NA,0.958152725485113,0.187772358010214
