"","model","formula","lam(Int)","SElam(Int)","lam(Jackpine_500)","SElam(Jackpine_500)","lam(LandCover_NonVeg_v1_500)","SElam(LandCover_NonVeg_v1_500)","lam(S500.VPD__100.150cm_Grid.1x1m.mean)","SElam(S500.VPD__100.150cm_Grid.1x1m.mean)","lam(S500.VPD__2.3m_Grid.1x1m.mean)","SElam(S500.VPD__2.3m_Grid.1x1m.mean)","lam(S500.VPD__9.10m_Grid.1x1m.mean)","SElam(S500.VPD__9.10m_Grid.1x1m.mean)","lam(Shrub_500)","SElam(Shrub_500)","lam(Species_Pice_Gla_v1_500)","SElam(Species_Pice_Gla_v1_500)","lam(Structure_Stand_CrownClosure_v1_500)","SElam(Structure_Stand_CrownClosure_v1_500)","lam(Tremblingaspen_500)","SElam(Tremblingaspen_500)","p(Int)","SEp(Int)","p(Julian)","SEp(Julian)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt","r2"
"37","5/6/10","~1 ~ S500.VPD__2.3m_Grid.1x1m.mean + S500.VPD__9.10m_Grid.1x1m.mean + Tremblingaspen_500 + 1",-2.81365542470828,0.654927765190092,NA,NA,NA,NA,NA,NA,-0.0322285686606944,0.205922373209967,-1.00338322361338,0.365547764657048,NA,NA,NA,NA,NA,NA,-1.09067701528947,0.636873218100966,-0.919885452614719,0.500089054663369,NA,NA,0,64.475384623928,62.6787177105163,5,98,135.357435421033,8.53746382643132,0.00362383938280775,NA,0.978576031729279,0.289148127736478
"38","3/6","~1 ~ LandCover_NonVeg_v1_500 + S500.VPD__9.10m_Grid.1x1m.mean + 1",-2.59088253673995,0.533936702517059,NA,NA,-0.195766238502655,0.162860767399038,NA,NA,NA,NA,-1.65749274672399,0.342269741937854,NA,NA,NA,NA,NA,NA,NA,NA,-0.973183545960627,0.513047586883907,NA,NA,0,39.5903576632262,63.7904014179603,4,98,135.580802835921,8.76083124131949,0.0032408977000257,NA,0.981816929429305,0.272836394973952
"39","1/2/6","~Julian + 1 ~ Jackpine_500 + S500.VPD__9.10m_Grid.1x1m.mean + 1",-2.59666613002472,0.549293972185193,0.368317886635611,0.356952798046637,NA,NA,NA,NA,NA,NA,-1.60706402418336,0.392242309158245,NA,NA,NA,NA,NA,NA,NA,NA,-0.904625192482966,0.474640885518408,-0.487152920584804,0.336180591025046,0,31.6513795129666,62.9963418623577,5,98,135.992683724715,9.17271213011418,0.00263770683067238,NA,0.984454636259977,0.284525330063836
"40","2/8/10","~1 ~ Jackpine_500 + Species_Pice_Gla_v1_500 + Tremblingaspen_500 + 1",-3.46060493990475,0.808803353695882,-0.982248681198979,0.334282355110239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.696148778693821,0.326275558193054,NA,NA,-2.77864084002549,0.737045361713132,-0.846519576649879,0.464843653634953,NA,NA,0,46.2799794205985,63.055442455369,5,98,136.110884910738,9.29091331613679,0.00248633396392626,NA,0.986940970223903,0.283661850712421
"41","1/4/6","~Julian + 1 ~ S500.VPD__100.150cm_Grid.1x1m.mean + S500.VPD__9.10m_Grid.1x1m.mean + 1",-2.5488911529528,0.525839647014267,NA,NA,NA,NA,0.178954801025184,0.188945291477707,NA,NA,-1.46749285874663,0.304913811685487,NA,NA,NA,NA,NA,NA,NA,NA,-0.915846838284202,0.47588792072848,-0.509604435639636,0.335893650863801,0,22.8915916245655,63.0895535826818,5,98,136.179107165364,9.3591355707625,0.00240295251205004,NA,0.989343922735954,0.283163001549647
"42","2/6","~1 ~ Jackpine_500 + S500.VPD__9.10m_Grid.1x1m.mean + 1",-2.6108258305254,0.550941425039734,0.360567982695682,0.358069561831547,NA,NA,NA,NA,NA,NA,-1.63417516940292,0.385656074499754,NA,NA,NA,NA,NA,NA,NA,NA,-0.916605420345627,0.492849858916159,NA,NA,0,32.3523181576327,64.1060091626007,4,98,136.212018325201,9.39204673060024,0.00236373410077668,NA,0.99170765683673,0.268137636777464
"43","3/7/10","~1 ~ LandCover_NonVeg_v1_500 + Shrub_500 + Tremblingaspen_500 + 1",-3.21271349752155,0.685636397711756,NA,NA,0.513007495407691,0.224254705020227,NA,NA,NA,NA,NA,NA,-1.78540410944194,0.777118614211791,NA,NA,NA,NA,-1.88785500687623,0.60737187952648,-0.808243991218825,0.446062561822338,NA,NA,0,54.5527543929821,63.1214688881718,5,98,136.242937776344,9.42296618174251,0.00232747244013463,NA,0.994035129276865,0.282695950038855
"44","1/6/9","~Julian + 1 ~ S500.VPD__9.10m_Grid.1x1m.mean + Structure_Stand_CrownClosure_v1_500 + 1",-2.51817194681348,0.523224239108411,NA,NA,NA,NA,NA,NA,NA,NA,-1.61154508894126,0.455757936438724,NA,NA,NA,NA,0.219829505291552,0.299488674315138,NA,NA,-0.936748061364511,0.481527645482186,-0.512088792592055,0.337657688774435,0,42.9618271310486,63.2615521273844,5,98,136.523104254769,9.7031326601676,0.00202323891367136,NA,0.996058368190536,0.280642357319581
"45","4/5/9","~1 ~ S500.VPD__100.150cm_Grid.1x1m.mean + S500.VPD__2.3m_Grid.1x1m.mean + Structure_Stand_CrownClosure_v1_500 + 1",-2.50168540907703,0.534821968949444,NA,NA,NA,NA,2.3066969360536,0.518116835783258,-2.12862255007209,0.616124618645035,NA,NA,NA,NA,NA,NA,-0.91769255233644,0.281412006520392,NA,NA,-1.05209039844812,0.549911122997036,NA,NA,0,66.6875285431674,63.2755633370968,5,98,136.551126674194,9.73115507959241,0.00199508855973406,NA,0.99805345675027,0.280436632585962
"46","4/6","~1 ~ S500.VPD__100.150cm_Grid.1x1m.mean + S500.VPD__9.10m_Grid.1x1m.mean + 1",-2.57912676722948,0.52947211257403,NA,NA,NA,NA,0.148152098984322,0.184927281991934,NA,NA,-1.49037303602881,0.302018779005259,NA,NA,NA,NA,NA,NA,NA,NA,-0.896019914669205,0.481706210232477,NA,NA,0,24.4677523270289,64.3001966702467,4,98,136.600393340493,9.78042174589231,0.00194654324972972,NA,1,0.26523150393606
