"","model","formula","lam(Fen_500)","SElam(Fen_500)","lam(Int)","SElam(Int)","lam(S150.VPD__100.150cm_Grid.1x1m.mean)","SElam(S150.VPD__100.150cm_Grid.1x1m.mean)","lam(S150.VPD__150.200cm_Grid.1x1m.mean)","SElam(S150.VPD__150.200cm_Grid.1x1m.mean)","lam(S150.VPD__3.4m_Grid.1x1m.mean)","SElam(S150.VPD__3.4m_Grid.1x1m.mean)","lam(Species_Sali_Spp_v1_500)","SElam(Species_Sali_Spp_v1_500)","lam(SpeciesGroups_Broadleaf_Spp_v1_500)","SElam(SpeciesGroups_Broadleaf_Spp_v1_500)","lam(Swamp_500)","SElam(Swamp_500)","lam(Tremblingaspen_500)","SElam(Tremblingaspen_500)","p(Int)","SEp(Int)","p(Julian)","SEp(Julian)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt","r2"
"25","379","~1 ~ S150.VPD__100.150cm_Grid.1x1m.mean + SpeciesGroups_Broadleaf_Spp_v1_500 + Tremblingaspen_500 + 1",NA,NA,-0.902119526665654,0.206677871755061,0.380582190780251,0.166639155264071,NA,NA,NA,NA,NA,NA,0.300134026091544,0.166729184110875,NA,NA,0.315619880588188,0.166441997927006,-0.515294151082599,0.24824057423691,NA,NA,0,9.02569368284217,156.435451601466,5,98,322.870903202931,5.85261861829213,0.00777713165251183,NA,0.884622782113841,0.146148565712487
"26","569","~1 ~ S150.VPD__3.4m_Grid.1x1m.mean + Species_Sali_Spp_v1_500 + Tremblingaspen_500 + 1",NA,NA,-0.947096804335789,0.216767273716051,NA,NA,NA,NA,0.36525017215174,0.151975523413251,-0.389215864107382,0.322867518480245,NA,NA,NA,NA,0.318790359534805,0.145771714736456,-0.48839316300438,0.242863869635815,NA,NA,0,10.0113770538183,156.510505537624,5,98,323.021011075248,6.00272649060918,0.00721479408416552,NA,0.891837576198007,0.144839708244092
"27","59","~1 ~ S150.VPD__3.4m_Grid.1x1m.mean + Tremblingaspen_500 + 1",NA,NA,-0.89471332742872,0.201723455675106,NA,NA,NA,NA,0.367942552174251,0.153613820527159,NA,NA,NA,NA,NA,NA,0.383054504273483,0.135253054179993,-0.479342960683083,0.240190668213699,NA,NA,0,6.20331781016467,157.5117050609,4,98,323.0234101218,6.00512553716072,0.00720614495918209,NA,0.899043721157189,0.12718678927203
"28","678","~1 ~ Species_Sali_Spp_v1_500 + SpeciesGroups_Broadleaf_Spp_v1_500 + Swamp_500 + 1",NA,NA,-0.931856441313902,0.214679801987074,NA,NA,NA,NA,NA,NA,-0.596619319479142,0.317370528720866,0.416677878562748,0.131611521279174,-0.141462730246017,0.220080270882768,NA,NA,-0.484394824085851,0.240036778629932,NA,NA,0,9.11157946311476,156.809512393261,5,98,323.619024786522,6.60074020188318,0.00535016176135631,NA,0.904393882918545,0.139605411522992
"29","238","~1 ~ Fen_500 + S150.VPD__100.150cm_Grid.1x1m.mean + Swamp_500 + 1",0.65365487893928,0.162927672813636,-0.854248771665535,0.206440045578334,0.247837987221212,0.155577777357319,NA,NA,NA,NA,NA,NA,NA,NA,-0.573693736559833,0.232405247522781,NA,NA,-0.580513707222369,0.265600692019705,NA,NA,0,6.48068722987779,156.839607765348,5,98,323.679215530697,6.66093094605793,0.00519154543293415,NA,0.909585428351479,0.139076802363551
"30","679","~1 ~ Species_Sali_Spp_v1_500 + SpeciesGroups_Broadleaf_Spp_v1_500 + Tremblingaspen_500 + 1",NA,NA,-0.92573419450784,0.213657731879161,NA,NA,NA,NA,NA,NA,-0.549613722801057,0.334340972915109,0.38668372468403,0.180725680179981,NA,NA,0.0661948170610534,0.204569332326225,-0.48272984373938,0.23978457070655,NA,NA,0,15.5408399092358,157.004638413233,5,98,324.009276826465,6.9909922418264,0.00440174378087012,NA,0.913987172132349,0.136172348475616
"31","39","~1 ~ S150.VPD__100.150cm_Grid.1x1m.mean + Tremblingaspen_500 + 1",NA,NA,-0.877943301494673,0.202096340241464,0.364131858890699,0.168113818096455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.478138085181807,0.138170629264106,-0.501076270211925,0.245129389679142,NA,NA,0,5.66088648759638,158.036969575774,4,98,324.073939151548,7.05565456690886,0.00426170627320595,NA,0.918248878405555,0.11778017961789
"32","127","~Julian + 1 ~ Fen_500 + SpeciesGroups_Broadleaf_Spp_v1_500 + 1",0.333171061108599,0.117808640236167,-0.880626424345511,0.217245651966001,NA,NA,NA,NA,NA,NA,NA,NA,0.497666311908433,0.145088043383325,NA,NA,NA,NA,-0.544476945275095,0.306465287157479,0.0720070753556278,0.264807116009695,0,13.4120945154866,157.038067541809,5,98,324.076135083618,7.05785049897872,0.00425702963233334,NA,0.922505908037889,0.135582820757065
"33","29","~1 ~ Fen_500 + Tremblingaspen_500 + 1",0.281467073808769,0.115944941719819,-0.873298736273152,0.201384904834175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.452133971340962,0.143662631754186,-0.498100791364479,0.24307306937422,NA,NA,0,6.27525941665236,158.040666592735,4,98,324.081333185471,7.06304860083191,0.00424597976133185,NA,0.92675188779922,0.117713614216157
"34","167","~Julian + 1 ~ Species_Sali_Spp_v1_500 + SpeciesGroups_Broadleaf_Spp_v1_500 + 1",NA,NA,-0.927249713439632,0.218936955223293,NA,NA,NA,NA,NA,NA,-0.585232570952491,0.316440098886623,0.426931298181318,0.131742950383897,NA,NA,NA,NA,-0.482581014345199,0.282585566646572,0.00433076153751971,0.250407574036229,0,10.105836532876,157.056174040835,5,98,324.112348081671,7.09406349703147,0.00418064336031555,NA,0.930932531159536,0.135263341962015
