,model,formula,lam(Bog_500),SElam(Bog_500),lam(Int),SElam(Int),lam(S150.mean.VPD__3.4m_Grid.1x1m),SElam(S150.mean.VPD__3.4m_Grid.1x1m),lam(S150.mean_MaxHeight),SElam(S150.mean_MaxHeight),lam(Species_Abie_Bal_v1_500),SElam(Species_Abie_Bal_v1_500),lam(Structure_Biomass_TotalDead_v1_500),SElam(Structure_Biomass_TotalDead_v1_500),lam(wtage_500),SElam(wtage_500),p(Int),SEp(Int),p(Julian),SEp(Julian),Converge,CondNum,negLogLike,nPars,n,AIC,delta,AICwt,Rsq,cumltvWt
1,467,~1 ~ S150.mean_MaxHeight + Species_Abie_Bal_v1_500 + Structure_Biomass_TotalDead_v1_500 + 1,NA,NA,-0.71979627,0.911760284,NA,NA,-0.53703099,0.190272604,-2.434910162,2.361519771,0.454482873,0.151691993,NA,NA,-2.156991356,0.59663337,NA,NA,0,622.9385107,133.8636001,5,98,277.7272003,0,0.345914901,NA,0.345914901
2,468,~1 ~ S150.mean_MaxHeight + Species_Abie_Bal_v1_500 + wtage_500 + 1,NA,NA,-0.883126427,1.084952745,NA,NA,-0.560177342,0.196956631,-3.404788052,2.828252973,NA,NA,-0.602318418,0.228307107,-2.318245621,0.704211995,NA,NA,0,811.6864967,133.9283391,5,98,277.8566782,0.129477911,0.324230226,NA,0.670145126
3,346,~1 ~ S150.mean.VPD__3.4m_Grid.1x1m + S150.mean_MaxHeight + Species_Abie_Bal_v1_500 + 1,NA,NA,-0.912808942,0.930385448,0.554206453,0.324004485,-0.562005548,0.190824042,-3.019111199,2.475320645,NA,NA,NA,NA,-2.081836739,0.569950378,NA,NA,0,561.2153029,135.2493001,5,98,280.4986002,2.771399944,0.086530142,NA,0.756675269
4,246,~1 ~ Bog_500 + S150.mean_MaxHeight + Species_Abie_Bal_v1_500 + 1,0.24219897,0.089150693,-0.944218687,0.935895792,NA,NA,-0.510880483,0.187915237,-2.980286356,2.581028536,NA,NA,NA,NA,-1.99276313,0.51792753,NA,NA,0,1105.488781,135.3598374,5,98,280.7196749,2.992474631,0.077475013,NA,0.834150282
5,478,~1 ~ S150.mean_MaxHeight + Structure_Biomass_TotalDead_v1_500 + wtage_500 + 1,NA,NA,-0.063121458,0.574849784,NA,NA,-0.560328699,0.194371901,NA,NA,0.453220451,0.154002845,-0.398314966,0.232631109,-2.245067666,0.647616081,NA,NA,0,78.32822099,135.6529047,5,98,281.3058094,3.578609127,0.057794189,NA,0.891944471
6,147,~Julian + 1 ~ S150.mean_MaxHeight + Structure_Biomass_TotalDead_v1_500 + 1,NA,NA,-0.084554077,0.485504542,NA,NA,-0.522601887,0.190621966,NA,NA,0.508605404,0.147340226,NA,NA,-2.170838776,0.547160221,-0.326929472,0.185447997,0,50.65929946,135.6589009,5,98,281.3178018,3.590601506,0.057448681,NA,0.949393152
7,268,~1 ~ Bog_500 + Species_Abie_Bal_v1_500 + wtage_500 + 1,0.239778142,0.090431653,-1.116112218,1.160800696,NA,NA,NA,NA,-3.768266064,3.303135678,NA,NA,-0.556369008,0.228367491,-2.08253039,0.569689539,NA,NA,0,1735.068155,135.785706,5,98,281.571412,3.844211761,0.050606848,NA,1
