"","model","formula","lam(Int)","SElam(Int)","lam(S500.VPD__11.12m_Grid.1x1m.mean)","SElam(S500.VPD__11.12m_Grid.1x1m.mean)","lam(S500.VPD__8.9m_Grid.1x1m.mean)","SElam(S500.VPD__8.9m_Grid.1x1m.mean)","lam(S500.VPD__9.10m_Grid.1x1m.mean)","SElam(S500.VPD__9.10m_Grid.1x1m.mean)","lam(Structure_Biomass_TotalLiveAboveGround_v1_500)","SElam(Structure_Biomass_TotalLiveAboveGround_v1_500)","lam(Whitespruce_500)","SElam(Whitespruce_500)","lam(wtage_500)","SElam(wtage_500)","p(Int)","SEp(Int)","p(Julian)","SEp(Julian)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt","r2"
"21","37","~1 ~ S500.VPD__8.9m_Grid.1x1m.mean + wtage_500 + 1",-0.519767933087214,0.386235165530399,NA,NA,-0.248292026227263,0.170337054057431,NA,NA,NA,NA,NA,NA,0.523844565103073,0.140871495622941,-1.69294356840446,0.449213201348037,NA,NA,0,29.108702655311,128.129181126737,4,98,264.258362253473,4.94010047125352,0.0123845801042473,NA,0.902855853872836,0.13288000546085
"22","7","~1 ~ wtage_500 + 1",-0.449247353441979,0.387123712747617,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.51628125609258,0.134318974739363,-1.72302451735659,0.457123707393748,NA,NA,0,30.5554916017367,129.185005663829,3,98,264.370011327657,5.05174954543742,0.0117121600395135,NA,0.91456801391235,0.113993037663071
"23","35","~1 ~ S500.VPD__8.9m_Grid.1x1m.mean + Structure_Biomass_TotalLiveAboveGround_v1_500 + 1",-0.476640118445939,0.425194018918508,NA,NA,-0.545717734922964,0.214958022882221,NA,NA,0.548425029058798,0.154197664038879,NA,NA,NA,NA,-1.75305376636591,0.496274422000049,NA,NA,0,30.1249970684365,128.296474326119,4,98,264.592948652239,5.2746868700192,0.0104767546424273,NA,0.925044768554777,0.129914470892119
"24","235","~1 ~ S500.VPD__11.12m_Grid.1x1m.mean + S500.VPD__8.9m_Grid.1x1m.mean + Structure_Biomass_TotalLiveAboveGround_v1_500 + 1",-0.459598173692326,0.444750151235934,-0.486052075091041,0.363659283531295,-0.139302707091696,0.355621708647193,NA,NA,0.550713517817152,0.14943682751734,NA,NA,NA,NA,-1.80172173237055,0.515840098739802,NA,NA,0,34.4500996962745,127.375537360555,5,98,264.75107472111,5.43281293889072,0.00968032935488732,NA,0.934725097909664,0.146114692698514
"25","125","~Julian + 1 ~ S500.VPD__11.12m_Grid.1x1m.mean + Structure_Biomass_TotalLiveAboveGround_v1_500 + 1",-0.430535505785551,0.468778351522916,-0.597520617287225,0.219682201874984,NA,NA,NA,NA,0.534804753464228,0.150920583841245,NA,NA,NA,NA,-1.83548702520258,0.54856234715162,0.0277914480302962,0.222994612203627,0,41.0399558330765,127.446175268792,5,98,264.892350537584,5.57408875536441,0.00902012341846923,NA,0.943745221328133,0.144882852518199
"26","256","~1 ~ S500.VPD__11.12m_Grid.1x1m.mean + Structure_Biomass_TotalLiveAboveGround_v1_500 + Whitespruce_500 + 1",-0.450357315106578,0.449124231264636,-0.597617045306359,0.226415316424027,NA,NA,NA,NA,0.537626552336956,0.148987076216238,-0.0164834521168872,0.233797432436496,NA,NA,-1.80989948075814,0.520814086796059,NA,NA,0,35.6880328407999,127.451368811994,5,98,264.902737623989,5.58447584176884,0.00897339845688501,NA,0.952718619785018,0.14479221326894
"27","247","~1 ~ S500.VPD__11.12m_Grid.1x1m.mean + S500.VPD__9.10m_Grid.1x1m.mean + wtage_500 + 1",-0.535332591726915,0.389910558993798,0.146134383259491,0.554759876161577,NA,NA,-0.423054760204765,0.531474605163617,NA,NA,NA,NA,0.520396498473999,0.146396836944919,-1.69474333505464,0.451217199872707,NA,NA,0,60.2323958711417,127.718329034394,5,98,265.436658068787,6.11839628656736,0.00687096286294749,NA,0.959589582647966,0.14012018229158
"28","147","~Julian + 1 ~ S500.VPD__9.10m_Grid.1x1m.mean + wtage_500 + 1",-0.502430176309673,0.417147359809622,NA,NA,NA,NA,-0.289513817792062,0.171184276175305,NA,NA,NA,NA,0.503619974201281,0.14770166943398,-1.7368106700569,0.488897530170153,0.0497239848400197,0.228977928695523,0,37.253477211896,127.72969948799,5,98,265.459398975979,6.14113719375962,0.00679327938370649,NA,0.966382862031672,0.139920623963907
"29","157","~Julian + 1 ~ Structure_Biomass_TotalLiveAboveGround_v1_500 + wtage_500 + 1",-0.373630345028017,0.444884756840444,NA,NA,NA,NA,NA,NA,0.242210374724406,0.159409365222344,NA,NA,0.410798091778105,0.149349015642765,-1.83615865419129,0.525711911603038,0.026253118568684,0.228735226624195,0,59.9758177536648,127.986861613362,5,98,265.973723226725,6.65546144450531,0.00525285465252928,NA,0.971635716684202,0.135394884050262
"30","237","~1 ~ S500.VPD__11.12m_Grid.1x1m.mean + S500.VPD__8.9m_Grid.1x1m.mean + wtage_500 + 1",-0.516784873524501,0.389719069213073,-0.185404862563659,0.380952368019619,-0.0951611294992696,0.351698729919334,NA,NA,NA,NA,NA,NA,0.507454268374989,0.144521813612148,-1.70320400764759,0.453321530282827,NA,NA,0,33.4017764738919,128.010306812498,5,98,266.020613624996,6.70235184277652,0.00513113290012239,NA,0.976766849584324,0.134981094470265
"31","127","~Julian + 1 ~ S500.VPD__11.12m_Grid.1x1m.mean + wtage_500 + 1",-0.485445296819229,0.417853988167564,-0.274301006524053,0.184166275375511,NA,NA,NA,NA,NA,NA,NA,NA,0.491794111998979,0.145852981081108,-1.74483361960778,0.491289168116875,0.0436249383767315,0.229593874133232,0,38.2401322322258,128.029636401765,5,98,266.05927280353,6.74101102131044,0.00503290264244273,NA,0.981799752226767,0.134639793275548
"32","137","~Julian + 1 ~ S500.VPD__8.9m_Grid.1x1m.mean + wtage_500 + 1",-0.48818326124777,0.414137845285737,NA,NA,-0.246779515503059,0.170586483449309,NA,NA,NA,NA,NA,NA,0.513670364991845,0.14611954226437,-1.73674635990944,0.486573303335505,0.0584289921475498,0.22881280989756,0,36.210808851766,128.096778198823,5,98,266.193556397646,6.87529461542601,0.00470607904453199,NA,0.986505831271299,0.133453228697512
"33","17","~Julian + 1 ~ wtage_500 + 1",-0.408432416231798,0.418950983600015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.503993017195874,0.139825887536023,-1.77852908366411,0.497757732184851,0.0696869819408602,0.227788468137972,0,38.645927860516,129.139073320238,4,98,266.278146640475,6.95988485825552,0.00451118543688492,NA,0.991017016708184,0.114823186803716
"34","135","~Julian + 1 ~ S500.VPD__8.9m_Grid.1x1m.mean + Structure_Biomass_TotalLiveAboveGround_v1_500 + 1",-0.432456192448729,0.45390994134674,NA,NA,-0.536776166840837,0.216485218269121,NA,NA,0.537179400400541,0.157105205862744,NA,NA,NA,NA,-1.814403061782,0.531881672803262,0.0775323516622874,0.218625454505182,0,36.7508099220166,128.234700941428,5,98,266.469401882857,7.15114010063684,0.00409977602472334,NA,0.995116792732907,0.131010680335097
"35","356","~1 ~ S500.VPD__8.9m_Grid.1x1m.mean + Structure_Biomass_TotalLiveAboveGround_v1_500 + Whitespruce_500 + 1",-0.487149407516415,0.425296865865088,NA,NA,-0.530719464922149,0.225450840023866,NA,NA,0.542338125171328,0.157738246067613,-0.0498868468090941,0.236963078648342,NA,NA,-1.7416651982832,0.495719061562491,NA,NA,0,30.3847987803902,128.27327656508,5,98,266.54655313016,7.22829134794063,0.00394463615424975,NA,0.999061428887157,0.130326292507249
"36","5","~1 ~ Structure_Biomass_TotalLiveAboveGround_v1_500 + 1",-0.360228488643068,0.414013958453891,NA,NA,NA,NA,NA,NA,0.434623299549955,0.156876186700692,NA,NA,NA,NA,-1.75305289906253,0.499234795189321,NA,NA,0,28.0065257538651,131.709029938481,3,98,269.418059876963,10.0997980947429,0.000938571112843166,NA,1,0.0671583097842596
