"","model","formula","lam(Fen_150)","SElam(Fen_150)","lam(Int)","SElam(Int)","lam(S500.VPD__10.11m_Grid.1x1m.mean)","SElam(S500.VPD__10.11m_Grid.1x1m.mean)","lam(S500.VPD__100.150cm_Grid.1x1m.mean)","SElam(S500.VPD__100.150cm_Grid.1x1m.mean)","lam(S500.VPD__50.100cm_Grid.1x1m.mean)","SElam(S500.VPD__50.100cm_Grid.1x1m.mean)","lam(Species_Pice_Gla_v1_500)","SElam(Species_Pice_Gla_v1_500)","lam(SpeciesGroups_Needleleaf_Spp_v1_500)","SElam(SpeciesGroups_Needleleaf_Spp_v1_500)","lam(Structure_Stand_CrownClosure_v1_500)","SElam(Structure_Stand_CrownClosure_v1_500)","lam(Swamp_150)","SElam(Swamp_150)","lam(Tremblingaspen_150)","SElam(Tremblingaspen_150)","p(Int)","SEp(Int)","p(Julian)","SEp(Julian)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt","r2"
"32","4/5/10","~1 ~ S500.VPD__100.150cm_Grid.1x1m.mean + S500.VPD__50.100cm_Grid.1x1m.mean + Tremblingaspen_150 + 1",NA,NA,-0.0859811872955867,1.32159896564517,NA,NA,-1.40168081529345,0.473360164945228,1.7110742333597,0.51690520369905,NA,NA,NA,NA,NA,NA,NA,NA,-0.730089062138195,0.460039059218445,-3.2927666700832,1.33406931867598,NA,NA,0,211.787140550102,76.8791739067173,5,98,163.758347813435,11.7875433308847,0.00156082517401585,NA,0.982259671266097,0.172299295490746
"33","2/3/4","~1 ~ Fen_150 + S500.VPD__10.11m_Grid.1x1m.mean + S500.VPD__100.150cm_Grid.1x1m.mean + 1",-31.7936209466537,517.482886095388,-7.97393312362814,121.430079311091,-0.877804598514992,0.238778730267548,0.147303412241831,0.188500276090688,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.64886117641103,0.877200752904613,NA,NA,0,16822818.6609937,76.9420048749537,5,98,163.884009749907,11.9132052673574,0.00146577435219703,NA,0.983725445618294,0.171237283385266
"34","2/7/8","~1 ~ Fen_150 + SpeciesGroups_Needleleaf_Spp_v1_500 + Structure_Stand_CrownClosure_v1_500 + 1",-9.52750476836421,48.0886434808919,-2.00900879828759,11.3971722661535,NA,NA,NA,NA,NA,NA,NA,NA,0.689278836631043,0.291044599794609,-1.13658284232677,0.322507321650424,NA,NA,NA,NA,-3.42643797146809,1.70165991264032,NA,NA,0,136221.239516706,77.0184708054607,5,98,164.036941610921,12.0661371283715,0.00135787060402249,NA,0.985083316222316,0.169942965323177
"35","3/9","~1 ~ S500.VPD__10.11m_Grid.1x1m.mean + Swamp_150 + 1",NA,NA,-0.584384656902258,0.836840583385481,-0.868038252654661,0.223824367705387,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.368860266099167,0.648462614015958,NA,NA,-2.63866325263682,0.86663734452873,NA,NA,0,82.7787631840599,78.0198338506307,4,98,164.039667701261,12.0688632187114,0.00135602102586985,NA,0.986439337248186,0.152805421101633
"36","4/8","~1 ~ S500.VPD__100.150cm_Grid.1x1m.mean + Structure_Stand_CrownClosure_v1_500 + 1",NA,NA,-0.491162915275649,0.877842097832641,NA,NA,0.666870588957599,0.230238416127144,NA,NA,NA,NA,NA,NA,-0.971036588623165,0.253809663491161,NA,NA,NA,NA,-2.73928317015823,0.916549164319241,NA,NA,0,81.0889398665372,78.0219099748738,4,98,164.043819949748,12.0730154671976,0.0013532086781457,NA,0.987792545926332,0.152769524806405
"37","3/5/6","~1 ~ S500.VPD__10.11m_Grid.1x1m.mean + S500.VPD__50.100cm_Grid.1x1m.mean + Species_Pice_Gla_v1_500 + 1",NA,NA,-0.614190520336481,0.903124835262739,-0.853664268942151,0.267034593531382,NA,NA,0.331970488676939,0.208817922863584,-0.149841775137141,0.259932739904486,NA,NA,NA,NA,NA,NA,NA,NA,-2.71020627824949,0.929119750714563,NA,NA,0,109.258291250957,77.039909826641,5,98,164.079819653282,12.1090151707322,0.00132906902933532,NA,0.989121614955667,0.169579710139888
"38","3/4","~1 ~ S500.VPD__10.11m_Grid.1x1m.mean + S500.VPD__100.150cm_Grid.1x1m.mean + 1",NA,NA,-0.645703685526504,0.818844006660587,-0.918974421914977,0.242212359817654,0.161145885873076,0.190424786514226,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.60754360714094,0.84317033229709,NA,NA,0,77.1681466583994,78.0646369624296,4,98,164.129273924859,12.1584694423093,0.00129660794772082,NA,0.990418222903388,0.152030435148994
"39","3/7/9","~1 ~ S500.VPD__10.11m_Grid.1x1m.mean + SpeciesGroups_Needleleaf_Spp_v1_500 + Swamp_150 + 1",NA,NA,-0.626666316541249,0.888648192153196,-1.00537229642084,0.25613875219767,NA,NA,NA,NA,NA,NA,0.271219324441742,0.224185753295463,NA,NA,-0.384869240560826,0.649292795331639,NA,NA,-2.68948892859065,0.911611319055937,NA,NA,0,91.4904400637318,77.1226527831771,5,98,164.245305566354,12.2745010838043,0.00122352466448497,NA,0.991641747567873,0.168176251430279
"40","3/4/8","~1 ~ S500.VPD__10.11m_Grid.1x1m.mean + S500.VPD__100.150cm_Grid.1x1m.mean + Structure_Stand_CrownClosure_v1_500 + 1",NA,NA,-0.603503454244654,0.860832672265752,-0.502190297393345,0.380386629601692,0.447693402324995,0.278898439702924,NA,NA,NA,NA,NA,NA,-0.53786632873619,0.400964233754831,NA,NA,NA,NA,-2.67286367868921,0.889528708009639,NA,NA,0,119.463079874379,77.1241661370197,5,98,164.248332274039,12.2775277914895,0.00122167443910839,NA,0.992863422006982,0.168150560346482
"41","4/7/8","~1 ~ S500.VPD__100.150cm_Grid.1x1m.mean + SpeciesGroups_Needleleaf_Spp_v1_500 + Structure_Stand_CrownClosure_v1_500 + 1",NA,NA,-0.393998508588396,1.05309601670421,NA,NA,0.516626699572645,0.258753953441549,NA,NA,NA,NA,0.392301746845824,0.31050777737244,-1.19022281989093,0.319612536711677,NA,NA,NA,NA,-2.93089574905786,1.09894153315947,NA,NA,0,117.210448178342,77.1242671496816,5,98,164.248534299363,12.2777298168134,0.00122155104075379,NA,0.994084973047735,0.168148845501322
"42","3/4/10","~1 ~ S500.VPD__10.11m_Grid.1x1m.mean + S500.VPD__100.150cm_Grid.1x1m.mean + Tremblingaspen_150 + 1",NA,NA,-0.759965980751496,0.86302754307842,-0.760506076646018,0.267055989013282,0.113695369374601,0.191430232778258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.585234144723614,0.484622995249889,-2.63250763391809,0.861353993437764,NA,NA,0,92.6534342788775,77.1348843884948,5,98,164.26976877699,12.2989642944397,0.0012086501487457,NA,0.995293623196481,0.167968581842528
"43","2/9","~1 ~ Fen_150 + Swamp_150 + 1",-125.051019443388,45.5554786610116,-25.6786058142509,10.7492543963315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.3758874788535,2.36659506729391,NA,NA,-4.41216486823709,0.714196929847779,NA,NA,1,98826.5200640164,78.1510322507816,4,98,164.302064501563,12.3312600190133,0.00118928976766325,NA,0.996482912964144,0.15053400252783
"44","3/5/7","~1 ~ S500.VPD__10.11m_Grid.1x1m.mean + S500.VPD__50.100cm_Grid.1x1m.mean + SpeciesGroups_Needleleaf_Spp_v1_500 + 1",NA,NA,-0.639690230684568,0.882746269411556,-0.938727339183978,0.271911101597476,NA,NA,0.250428894510393,0.263379966195795,NA,NA,0.0852873887801098,0.283481629046889,NA,NA,NA,NA,NA,NA,-2.68462862703044,0.907138911041369,NA,NA,0,100.259272650235,77.1633869299011,5,98,164.326773859802,12.3559693772523,0.00117468686702557,NA,0.99765759983117,0.167484461258609
"45","6/7/8","~1 ~ Species_Pice_Gla_v1_500 + SpeciesGroups_Needleleaf_Spp_v1_500 + Structure_Stand_CrownClosure_v1_500 + 1",NA,NA,-0.0628471494480161,1.38317094211096,NA,NA,NA,NA,NA,NA,0.648549246206584,0.32456155987883,0.962211649742123,0.395514203463171,-1.58941200488026,0.397655441883905,NA,NA,NA,NA,-3.2808718471885,1.44565119979494,NA,NA,0,230.285920064657,77.164135440428,5,98,164.328270880856,12.3574663983061,0.00117380793052744,NA,0.998831407761697,0.167471743883016
"46","1/3/5","~Julian + 1 ~ S500.VPD__10.11m_Grid.1x1m.mean + S500.VPD__50.100cm_Grid.1x1m.mean + 1",NA,NA,-0.646069394336651,0.873209915961067,-0.908146879197517,0.250948989889641,NA,NA,0.311416922769,0.204251881420803,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.67500630548244,0.897291785434913,-0.0764842470652738,0.264146934790315,0,98.1166798019703,77.1685887365931,5,98,164.337177473186,12.3663729906363,0.0011685922383027,NA,1,0.167396077283615
