"","Predictor","Estimate","SE","LCL","UCL"
"1","lam(Int)",-0.505300173111111,0.480181392771886,-1.44645570294401,0.435855356721786
"2","lam(Tremblingaspen_500)",1.00297829764662,0.21731735494542,0.577036281953595,1.42892031333964
"3","lam(Whitebirch_500)",-0.651874493830123,0.247670209810974,-1.13730810505963,-0.166440882600614
"4","lam(Whitespruce_500)",0.199948603615817,0.101728183263557,0.000561364419245064,0.399335842812389
"5","p(Int)",-1.87047238802028,0.549112427239275,-2.94673274540926,-0.794212030631306
