"","stationdata_sp.SS","stationdata_sp.lam.hat"
"1","BG_15_1",2.6325415579563
"2","BG_15_10",1.67842953304459
"3","BG_15_100",0.0189306517471068
"4","BG_15_11",4.91945755580369
"5","BG_15_12",1.17147527040925
"6","BG_15_13",1.55080975237415
"7","BG_15_14",1.57872993486463
"8","BG_15_15",2.25271462685581
"9","BG_15_16",1.88268288013672
"10","BG_15_17",0.31185512366331
"11","BG_15_18",11.5653769935948
"12","BG_15_19",0.465236123886483
"13","BG_15_2",1.68255253663411
"14","BG_15_20",0.068964703886478
"15","BG_15_21",1.37563983287231
"16","BG_15_22",2.00850956462796
"17","BG_15_23",3.03469927890447
"18","BG_15_24",0.329491528306843
"19","BG_15_26",0.780483568978615
"20","BG_15_27",0.854542622258851
"21","BG_15_28",0.298327471700261
"22","BG_15_29",0.267261825080634
"23","BG_15_3",1.4738983279682
"24","BG_15_30",0.00678013242698558
"25","BG_15_31",0.343756022441999
"26","BG_15_32",0.0187307971391473
"27","BG_15_33",0.0093373879720664
"28","BG_15_34",2.66253033238404
"29","BG_15_35",2.16694052111507
"30","BG_15_36",1.54764402887162
"31","BG_15_37",3.28318619147093
"32","BG_15_38",1.80426933934983
"33","BG_15_39",1.83114266218598
"34","BG_15_4",1.95509007613224
"35","BG_15_40",0.935189488119476
"36","BG_15_41",0.233276307715981
"37","BG_15_42",0.106117176133155
"38","BG_15_43",0.569019862455199
"39","BG_15_44",0.932798044223891
"40","BG_15_45",1.81115741836019
"41","BG_15_46",0.364835641766579
"42","BG_15_47",0.619141971959421
"43","BG_15_48",1.52553536641527
"44","BG_15_49",0.266970784827869
"45","BG_15_5",0.161023901635852
"46","BG_15_50",0.660132902362768
"47","BG_15_51",2.79155671329228
"48","BG_15_52",0.0325396664369905
"49","BG_15_53",2.49723873349701
"50","BG_15_54",1.87116924430009
"51","BG_15_55",0.141906316278984
"52","BG_15_56",2.95216959228758
"53","BG_15_57",0.877938474399907
"54","BG_15_58",0.158409792685111
"55","BG_15_59",1.0911742382948
"56","BG_15_6",0.832622989527258
"57","BG_15_60",2.45653976151958
"58","BG_15_61",1.91501814532164
"59","BG_15_62",3.22021543275536
"60","BG_15_63",2.96644718675205
"61","BG_15_64",0.128195490944909
"62","BG_15_65",0.836686447268212
"63","BG_15_66",0.611661436541242
"64","BG_15_67",2.64548579282432
"65","BG_15_68",0.0257042907221905
"66","BG_15_69",1.25291965217655
"67","BG_15_7",1.43310167268603
"68","BG_15_70",1.21908360480207
"69","BG_15_71",0.89185179026101
"70","BG_15_72",0.874740914104461
"71","BG_15_73",1.18127970002089
"72","BG_15_74",0.756376212213309
"73","BG_15_75",2.88721173988962
"74","BG_15_77",0.498042783880861
"75","BG_15_78",0.0828448047163541
"76","BG_15_79",0.233487720434306
"77","BG_15_8",1.0719625223263
"78","BG_15_80",4.97494073300909
"79","BG_15_81",2.33822364224469
"80","BG_15_82",5.71911443722149
"81","BG_15_83",0.901227215741664
"82","BG_15_84",3.31173701523877
"83","BG_15_85",0.868315542372176
"84","BG_15_86",0.739778362989897
"85","BG_15_87",1.91243994203457
"86","BG_15_88",0.405935872494503
"87","BG_15_89",2.34645996332207
"88","BG_15_9",2.31498181348593
"89","BG_15_90",1.56418962719833
"90","BG_15_91",3.21602444285324
"91","BG_15_92",0.332594271372334
"92","BG_15_93",1.39759104487066
"93","BG_15_94",3.67168277070588
"94","BG_15_95",0.515842829500445
"95","BG_15_96",0.321905697476892
"96","BG_15_97",1.4744389753063
"97","BG_15_98",0.781749003616004
"98","BG_15_99",0.757409513972984
