"","SS","lam.hat50"
"1","BG_15_1",2.16695628556863
"2","BG_15_10",2.3507282279417
"3","BG_15_100",1.0244193260163
"4","BG_15_11",2.34631921303568
"5","BG_15_12",2.45299314836316
"6","BG_15_13",2.43278380333902
"7","BG_15_14",2.33672764404234
"8","BG_15_15",2.55031909833622
"9","BG_15_16",2.39636133568733
"10","BG_15_17",1.77041046361146
"11","BG_15_18",4.99023974706209
"12","BG_15_19",1.92276131111196
"13","BG_15_2",2.31146000324688
"14","BG_15_20",1.64693380960998
"15","BG_15_21",2.25164029431861
"16","BG_15_22",2.57331605643405
"17","BG_15_23",2.81680618053207
"18","BG_15_24",2.07276894280534
"19","BG_15_26",2.19211908064267
"20","BG_15_27",2.50208830725446
"21","BG_15_28",1.44179781128526
"22","BG_15_29",2.18892574448774
"23","BG_15_3",2.69073542518848
"24","BG_15_30",0.742392477660499
"25","BG_15_31",1.63878341437742
"26","BG_15_32",1.1488248182983
"27","BG_15_33",1.04442362390032
"28","BG_15_34",2.19913274494921
"29","BG_15_35",2.27579957783628
"30","BG_15_36",2.5805785859221
"31","BG_15_37",3.36419545143878
"32","BG_15_38",2.75998091471599
"33","BG_15_39",2.49026035035377
"34","BG_15_4",2.35768278511887
"35","BG_15_40",3.23602358815067
"36","BG_15_41",2.0689068378633
"37","BG_15_42",1.68655784233065
"38","BG_15_43",2.44767998836048
"39","BG_15_44",2.17457103031298
"40","BG_15_45",2.98971586952882
"41","BG_15_46",2.67325140731349
"42","BG_15_47",2.64121483977469
"43","BG_15_48",4.20128413450681
"44","BG_15_49",2.51034739563853
"45","BG_15_5",1.38338371766081
"46","BG_15_50",3.18442997333933
"47","BG_15_51",2.27197539302193
"48","BG_15_52",1.02303054662958
"49","BG_15_53",2.77197208962372
"50","BG_15_54",2.15406932581872
"51","BG_15_55",2.43019682089802
"52","BG_15_56",2.62833350038951
"53","BG_15_57",2.63559359671097
"54","BG_15_58",1.74053410152239
"55","BG_15_59",2.32971219429229
"56","BG_15_6",2.44111667528854
"57","BG_15_60",3.83532592361853
"58","BG_15_61",2.3264454147117
"59","BG_15_62",2.21096753538602
"60","BG_15_63",2.31663310560311
"61","BG_15_64",1.48481816161577
"62","BG_15_65",2.64371814851076
"63","BG_15_66",3.00029102094892
"64","BG_15_67",3.19203110531266
"65","BG_15_68",1.04333871026819
"66","BG_15_69",3.44937561929881
"67","BG_15_7",2.60991235785259
"68","BG_15_70",2.93493699750325
"69","BG_15_71",6.49437145265669
"70","BG_15_72",5.22979427934674
"71","BG_15_73",3.94494140381995
"72","BG_15_74",2.06579197690583
"73","BG_15_75",2.40541839655687
"74","BG_15_77",3.89951189690576
"75","BG_15_78",1.54686154444169
"76","BG_15_79",1.52088217993003
"77","BG_15_8",3.76678628563031
"78","BG_15_80",2.11416417446175
"79","BG_15_81",2.39827956136158
"80","BG_15_82",3.18280970170356
"81","BG_15_83",2.20231425994798
"82","BG_15_84",2.45508739642557
"83","BG_15_85",2.0385556196271
"84","BG_15_86",2.82072453193276
"85","BG_15_87",3.42620936226752
"86","BG_15_88",2.47205798916528
"87","BG_15_89",2.21650689946597
"88","BG_15_9",2.92258377691523
"89","BG_15_90",1.97902940426738
"90","BG_15_91",3.50201970385456
"91","BG_15_92",1.9897936796786
"92","BG_15_93",2.15325679298967
"93","BG_15_94",3.93523946068914
"94","BG_15_95",8.08408566278032
"95","BG_15_96",1.84151823320474
"96","BG_15_97",2.45088218358539
"97","BG_15_98",2.03029282198504
"98","BG_15_99",2.02043569602478
