"","SS","lam.hat50"
"1","BG_15_1",4.24238987977571
"2","BG_15_10",4.88522273483453
"3","BG_15_100",0.728344845941519
"4","BG_15_11",6.82647191314106
"5","BG_15_12",2.03271058901139
"6","BG_15_13",1.56712694660075
"7","BG_15_14",1.94461945518655
"8","BG_15_15",2.08143887177487
"9","BG_15_16",2.19280998276359
"10","BG_15_17",5.59945495817904
"11","BG_15_18",6.49620529493976
"12","BG_15_19",3.85122697269939
"13","BG_15_2",1.8219909543481
"14","BG_15_20",1.84697474252456
"15","BG_15_21",4.06450005126326
"16","BG_15_22",3.14409105555046
"17","BG_15_23",4.00849115726975
"18","BG_15_24",1.8233047910183
"19","BG_15_26",3.63387203399388
"20","BG_15_27",3.19807118261775
"21","BG_15_28",2.79828011184194
"22","BG_15_29",4.26693369299713
"23","BG_15_3",2.05699188225959
"24","BG_15_30",1.77995942632809
"25","BG_15_31",1.91255952299034
"26","BG_15_32",2.2640012961065
"27","BG_15_33",1.96203285247153
"28","BG_15_34",1.98567045219151
"29","BG_15_35",3.01344443805302
"30","BG_15_36",3.86926295542195
"31","BG_15_37",6.03591164711747
"32","BG_15_38",3.3001182977034
"33","BG_15_39",2.83445238787397
"34","BG_15_4",1.96936593444139
"35","BG_15_40",2.18486275303059
"36","BG_15_41",2.93611871881329
"37","BG_15_42",2.44715748152595
"38","BG_15_43",3.47688455294909
"39","BG_15_44",0.983687306715117
"40","BG_15_45",5.42542512985122
"41","BG_15_46",4.79621288772409
"42","BG_15_47",4.79266068436154
"43","BG_15_48",4.99357662909544
"44","BG_15_49",5.58358301469687
"45","BG_15_5",1.26821259204804
"46","BG_15_50",3.14473910091894
"47","BG_15_51",5.521629958193
"48","BG_15_52",1.61810545521558
"49","BG_15_53",4.14983865153895
"50","BG_15_54",5.07471670901411
"51","BG_15_55",2.23501747593418
"52","BG_15_56",5.74900709830943
"53","BG_15_57",4.00027616928484
"54","BG_15_58",5.46039523183036
"55","BG_15_59",1.54350371460611
"56","BG_15_6",0.174124973699954
"57","BG_15_60",4.68040876856735
"58","BG_15_61",3.53853621570658
"59","BG_15_62",4.8678853667555
"60","BG_15_63",4.14746751375791
"61","BG_15_64",2.92368944287616
"62","BG_15_65",3.79287996738291
"63","BG_15_66",3.33723498145128
"64","BG_15_67",0.988052141971043
"65","BG_15_68",1.85945123781872
"66","BG_15_69",2.62884009940362
"67","BG_15_7",5.51902751762877
"68","BG_15_70",3.59779002941495
"69","BG_15_71",2.30483900636553
"70","BG_15_72",2.77492106814493
"71","BG_15_73",2.57746403916352
"72","BG_15_74",3.3189563566915
"73","BG_15_75",2.68790434689948
"74","BG_15_77",2.71428984499801
"75","BG_15_78",0.914869824541851
"76","BG_15_79",1.02076625162341
"77","BG_15_8",4.06412285350349
"78","BG_15_80",6.61548178430225
"79","BG_15_81",6.67708075242574
"80","BG_15_82",4.29547034570005
"81","BG_15_83",2.77200511146482
"82","BG_15_84",5.04158729342334
"83","BG_15_85",1.09998481417967
"84","BG_15_86",2.70862706128764
"85","BG_15_87",4.29162951386551
"86","BG_15_88",1.17446036147186
"87","BG_15_89",2.92015966057129
"88","BG_15_9",5.92094716167945
"89","BG_15_90",7.23112637565717
"90","BG_15_91",5.12421427451799
"91","BG_15_92",2.91208825849036
"92","BG_15_93",4.1633515084083
"93","BG_15_94",4.63473562553768
"94","BG_15_95",7.57140218986263
"95","BG_15_96",0.000864932259295611
"96","BG_15_97",2.84810797043417
"97","BG_15_98",1.51383885239509
"98","BG_15_99",3.43638625962242
