"","SS","lam.hat150"
"1","BG_15_1",2.83612020733989
"2","BG_15_10",1.95175107643151
"3","BG_15_100",3.18535262620891
"4","BG_15_11",2.36037084736755
"5","BG_15_12",2.81454997838344
"6","BG_15_13",2.18741991215657
"7","BG_15_14",2.69316316059563
"8","BG_15_15",2.57049043077671
"9","BG_15_16",4.38727768613809
"10","BG_15_17",2.63606055302773
"11","BG_15_18",1.99864874167788
"12","BG_15_19",2.03743494558618
"13","BG_15_2",3.11900611580239
"14","BG_15_20",2.17493133215353
"15","BG_15_21",2.42533731302447
"16","BG_15_22",2.46627779941767
"17","BG_15_23",1.86026981891026
"18","BG_15_24",2.37813913607371
"19","BG_15_26",1.861003271587
"20","BG_15_27",2.35204048485507
"21","BG_15_28",2.75084281615166
"22","BG_15_29",1.98563566333129
"23","BG_15_3",1.86026981891026
"24","BG_15_30",2.30130960127703
"25","BG_15_31",3.64378566648176
"26","BG_15_32",2.2809757371206
"27","BG_15_33",2.3235136034362
"28","BG_15_34",3.80102464492272
"29","BG_15_35",2.54432137530055
"30","BG_15_36",2.03416362545687
"31","BG_15_37",2.09490263196247
"32","BG_15_38",2.26538647173674
"33","BG_15_39",2.70873139206875
"34","BG_15_4",2.60827496669045
"35","BG_15_40",2.29391048674904
"36","BG_15_41",2.10717946994804
"37","BG_15_42",2.30385813613906
"38","BG_15_43",1.86026981891026
"39","BG_15_44",2.01078356478248
"40","BG_15_45",2.05646566013194
"41","BG_15_46",1.92174600192812
"42","BG_15_47",2.09515708841059
"43","BG_15_48",1.8635316163703
"44","BG_15_49",1.88303200564231
"45","BG_15_5",2.22459525526443
"46","BG_15_50",1.95801485557404
"47","BG_15_51",1.95594413959787
"48","BG_15_52",3.2372816204726
"49","BG_15_53",2.42540612546956
"50","BG_15_54",1.88714318004563
"51","BG_15_55",2.49767652444279
"52","BG_15_56",2.72641432486437
"53","BG_15_57",2.18896626908586
"54","BG_15_58",1.86921348600507
"55","BG_15_59",2.03519910469492
"56","BG_15_6",1.36052279880153
"57","BG_15_60",1.87020982201635
"58","BG_15_61",2.11348325981829
"59","BG_15_62",2.79297582274251
"60","BG_15_63",2.53573141537208
"61","BG_15_64",2.15729651845662
"62","BG_15_65",1.90407322638175
"63","BG_15_66",1.86026981891026
"64","BG_15_67",1.67625538594468
"65","BG_15_68",2.01503214488625
"66","BG_15_69",2.30788320474014
"67","BG_15_7",0.843170604532339
"68","BG_15_70",2.6940085453822
"69","BG_15_71",2.19693895499179
"70","BG_15_72",2.10131513338457
"71","BG_15_73",2.08118828575418
"72","BG_15_74",1.8969098646105
"73","BG_15_75",2.81501471933084
"74","BG_15_77",2.02910293508464
"75","BG_15_78",3.15412183823514
"76","BG_15_79",3.34058865507084
"77","BG_15_8",1.92331361249787
"78","BG_15_80",2.90681224080913
"79","BG_15_81",1.8931356538439
"80","BG_15_82",2.48131652240903
"81","BG_15_83",2.00662451236987
"82","BG_15_84",2.25290193732968
"83","BG_15_85",1.62822098213307
"84","BG_15_86",3.11261104260186
"85","BG_15_87",1.95176082759468
"86","BG_15_88",2.48215917016201
"87","BG_15_89",2.59983102350667
"88","BG_15_9",1.2405963690576
"89","BG_15_90",2.32244098219637
"90","BG_15_91",2.00509875753165
"91","BG_15_92",2.13990440149076
"92","BG_15_93",2.08152606721012
"93","BG_15_94",1.86026981891026
"94","BG_15_95",1.86965756407852
"95","BG_15_96",0.522648293777303
"96","BG_15_97",2.70412339601465
"97","BG_15_98",2.68483514623315
"98","BG_15_99",2.62504675117224
