"","SS","lam.hat150"
"1","BG_15_1",0.88504760641669
"2","BG_15_10",0.393680901554013
"3","BG_15_100",1.22000809021927
"4","BG_15_11",0.799572302814155
"5","BG_15_12",0.247935974225553
"6","BG_15_13",0.282212949645315
"7","BG_15_14",0.727918759412408
"8","BG_15_15",0.644909376753312
"9","BG_15_16",0.619854286121277
"10","BG_15_17",0.604598524590259
"11","BG_15_18",0.17291448278561
"12","BG_15_19",0.652918428513445
"13","BG_15_2",0.56986713361537
"14","BG_15_20",0.727841798614751
"15","BG_15_21",0.797427103508273
"16","BG_15_22",0.498652008810646
"17","BG_15_23",0.358163854740745
"18","BG_15_24",1.08004187473338
"19","BG_15_26",0.391799724792413
"20","BG_15_27",0.646959338242012
"21","BG_15_28",0.930321856894579
"22","BG_15_29",0.507413901864412
"23","BG_15_3",0.625925124965388
"24","BG_15_30",2.15829742382516
"25","BG_15_31",0.874554730560876
"26","BG_15_32",1.99496832658859
"27","BG_15_33",2.56275965306421
"28","BG_15_34",0.455351642695128
"29","BG_15_35",0.500522264021923
"30","BG_15_36",0.730668516153856
"31","BG_15_37",0.256954259528077
"32","BG_15_38",0.16593152817136
"33","BG_15_39",0.287314825058791
"34","BG_15_4",0.487060553097987
"35","BG_15_40",0.457241635991653
"36","BG_15_41",0.717970732814221
"37","BG_15_42",0.815952952667377
"38","BG_15_43",0.300202317855331
"39","BG_15_44",0.707148887701119
"40","BG_15_45",0.168658148420436
"41","BG_15_46",0.278077414119551
"42","BG_15_47",0.368052434338453
"43","BG_15_48",0.324860686701268
"44","BG_15_49",0.310622804983728
"45","BG_15_5",0.563223596926901
"46","BG_15_50",0.324720911577132
"47","BG_15_51",0.496701160050451
"48","BG_15_52",1.79374637312584
"49","BG_15_53",0.721511351170849
"50","BG_15_54",0.481970364769101
"51","BG_15_55",0.61255067812227
"52","BG_15_56",0.504105067123393
"53","BG_15_57",0.611319332998332
"54","BG_15_58",0.823847638405088
"55","BG_15_59",0.528898059386984
"56","BG_15_6",0.322311987265199
"57","BG_15_60",0.443796412580024
"58","BG_15_61",0.64934099682621
"59","BG_15_62",0.936383973265988
"60","BG_15_63",0.771413540655299
"61","BG_15_64",1.22671473995161
"62","BG_15_65",0.233595126409138
"63","BG_15_66",0.30941275335824
"64","BG_15_67",0.412520660798455
"65","BG_15_68",0.911824727208718
"66","BG_15_69",0.758733067409508
"67","BG_15_7",0.4571815159486
"68","BG_15_70",0.59167031905253
"69","BG_15_71",0.406992761266017
"70","BG_15_72",0.494946897463516
"71","BG_15_73",0.623998286793191
"72","BG_15_74",0.333996762862742
"73","BG_15_75",0.511989387852866
"74","BG_15_77",0.47664098866344
"75","BG_15_78",0.833759679229217
"76","BG_15_79",0.615733247360502
"77","BG_15_8",0.374910410357319
"78","BG_15_80",0.822712619720537
"79","BG_15_81",0.209575418524591
"80","BG_15_82",0.382629533417795
"81","BG_15_83",0.318189228340433
"82","BG_15_84",0.787087518075473
"83","BG_15_85",0.470723386424372
"84","BG_15_86",0.552080149311427
"85","BG_15_87",0.242102666057719
"86","BG_15_88",0.945518109459203
"87","BG_15_89",1.10996085284405
"88","BG_15_9",0.385198816971267
"89","BG_15_90",0.482602026585811
"90","BG_15_91",0.319381652921846
"91","BG_15_92",0.892941801015066
"92","BG_15_93",0.965793417055277
"93","BG_15_94",0.261921899043781
"94","BG_15_95",0.00938083573245125
"95","BG_15_96",0.260011079581192
"96","BG_15_97",0.535633876113023
"97","BG_15_98",0.508422099219065
"98","BG_15_99",0.779060466445745
