"","model","formula","lam(Int)","SElam(Int)","lam(Int)","SElam(Int)","lam(LandCover_NonVeg_v1_500)","SElam(LandCover_NonVeg_v1_500)","lam(SpeciesGroups_Needleleaf_Spp_v1_500)","SElam(SpeciesGroups_Needleleaf_Spp_v1_500)","lam(Structure_Stand_CrownClosure_v1_500)","SElam(Structure_Stand_CrownClosure_v1_500)","lam(Structure_Stand_CrownClosure_v1_500)","SElam(Structure_Stand_CrownClosure_v1_500)","p(Int)","SEp(Int)","p(Int)","SEp(Int)","p(Julian)","SEp(Julian)","p(Julian)","SEp(Julian)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt"
"1","1/11/15","~Julian + 1 ~ SpeciesGroups_Needleleaf_Spp_v1_500 + Structure_Stand_CrownClosure_v1_500 + 1",0.668134575603253,0.386989783292447,NA,NA,NA,NA,0.581713000582888,0.139262403821703,-0.980114229380519,0.161796111366876,NA,NA,-2.30006507536406,0.434568157788274,NA,NA,-0.481018388164967,0.126932229806254,NA,NA,0,71.3381242978586,227.935043190889,5,98,465.870086381778,0,0.823700060880842,NA,0.823700060880842
"2","1/2/15","~Julian + 1 ~ LandCover_NonVeg_v1_500 + Structure_Stand_CrownClosure_v1_500 + 1",0.822751120851759,0.449991037194942,NA,NA,-0.544784826056174,0.136926058561576,NA,NA,-1.12004893217405,0.185408805998335,NA,NA,-2.4144996260689,0.505923065595693,NA,NA,-0.438994779731796,0.123636234213098,NA,NA,0,118.15413737404,229.476662906669,5,98,468.953325813338,3.08323943156023,0.176299939119158,NA,1
