"","model","formula","lam(Int)","SElam(Int)","lam(Int)","SElam(Int)","lam(Int)","SElam(Int)","lam(Int)","SElam(Int)","lam(LandCover_NonVeg_v1_50)","SElam(LandCover_NonVeg_v1_50)","lam(Species_Popu_Tre_v1_50)","SElam(Species_Popu_Tre_v1_50)","lam(Species_Popu_Tre_v1_50)","SElam(Species_Popu_Tre_v1_50)","lam(SpeciesGroups_Broadleaf_Spp_v1_50)","SElam(SpeciesGroups_Broadleaf_Spp_v1_50)","lam(SpeciesGroups_Needleleaf_Spp_v1_50)","SElam(SpeciesGroups_Needleleaf_Spp_v1_50)","lam(Structure_Stand_Age_v1_50)","SElam(Structure_Stand_Age_v1_50)","lam(Structure_Stand_Age_v1_50)","SElam(Structure_Stand_Age_v1_50)","lam(Structure_Stand_Age_v1_50)","SElam(Structure_Stand_Age_v1_50)","p(Int)","SEp(Int)","p(Int)","SEp(Int)","p(Int)","SEp(Int)","p(Int)","SEp(Int)","p(Julian)","SEp(Julian)","p(Julian)","SEp(Julian)","p(Julian)","SEp(Julian)","p(Julian)","SEp(Julian)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt"
"1","1/8/14","~Julian + 1 ~ Species_Popu_Tre_v1_50 + Structure_Stand_Age_v1_50 + 1",-0.680385773834764,0.232075844546154,NA,NA,NA,NA,NA,NA,NA,NA,0.522286944649998,0.14400436925163,NA,NA,NA,NA,NA,NA,0.653545522917443,0.242978584243185,NA,NA,NA,NA,-0.885994285731227,0.289334590429511,NA,NA,NA,NA,NA,NA,-0.553532784996417,0.205430853343904,NA,NA,NA,NA,NA,NA,0,10.2768105993805,163.615721247558,5,98,337.231442495116,0,0.451307066522598,NA,0.451307066522598
"2","1/10/14","~Julian + 1 ~ SpeciesGroups_Broadleaf_Spp_v1_50 + Structure_Stand_Age_v1_50 + 1",-0.673871267022631,0.22852193745436,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.50176923077364,0.146944417342282,NA,NA,0.666369276577534,0.246641568216197,NA,NA,NA,NA,-0.873908930760954,0.285392290905061,NA,NA,NA,NA,NA,NA,-0.569742351693304,0.204884630262197,NA,NA,NA,NA,NA,NA,0,9.51308472969992,164.235473380806,5,98,338.470946761613,1.23950426649679,0.242838310166982,NA,0.69414537668958
"3","1/11/14","~Julian + 1 ~ SpeciesGroups_Needleleaf_Spp_v1_50 + Structure_Stand_Age_v1_50 + 1",-0.649711402194804,0.225134134984752,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.596160615713909,0.175223121278747,0.748171592734327,0.241647739626471,NA,NA,NA,NA,-0.87721197901948,0.285608186091218,NA,NA,NA,NA,NA,NA,-0.571864877407601,0.204582899317631,NA,NA,NA,NA,NA,NA,0,7.64391223417642,164.27646325556,5,98,338.552926511121,1.32148401600489,0.233085644003094,NA,0.927231020692674
"4","1/2/8","~Julian + 1 ~ LandCover_NonVeg_v1_50 + Species_Popu_Tre_v1_50 + 1",-0.703170091302945,0.240467919682163,NA,NA,NA,NA,NA,NA,-0.866703346466567,0.559158488655172,0.383438190262652,0.127781740256193,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.858868660552877,0.289606793546997,NA,NA,NA,NA,NA,NA,-0.551365799512131,0.205740568911178,NA,NA,NA,NA,NA,NA,0,28.743129033054,165.44057945644,5,98,340.881158912881,3.64971641776492,0.0727689793073264,NA,1
