"","model","formula","lam(Int)","SElam(Int)","lam(Int)","SElam(Int)","lam(Int)","SElam(Int)","lam(Int)","SElam(Int)","lam(LandCover_NonVeg_v1_150)","SElam(LandCover_NonVeg_v1_150)","lam(LandCover_NonVeg_v1_150)","SElam(LandCover_NonVeg_v1_150)","lam(LandCover_NonVeg_v1_150)","SElam(LandCover_NonVeg_v1_150)","lam(Species_Pice_Mar_v1_150)","SElam(Species_Pice_Mar_v1_150)","lam(Species_Pice_Mar_v1_150)","SElam(Species_Pice_Mar_v1_150)","lam(Species_Popu_Bal_v1_150)","SElam(Species_Popu_Bal_v1_150)","lam(Species_Popu_Bal_v1_150)","SElam(Species_Popu_Bal_v1_150)","lam(Structure_Biomass_TotalDead_v1_150)","SElam(Structure_Biomass_TotalDead_v1_150)","lam(Structure_Biomass_TotalLiveAboveGround_v1_150)","SElam(Structure_Biomass_TotalLiveAboveGround_v1_150)","lam(Structure_Stand_CrownClosure_v1_150)","SElam(Structure_Stand_CrownClosure_v1_150)","lam(Structure_Stand_CrownClosure_v1_150)","SElam(Structure_Stand_CrownClosure_v1_150)","lam(Structure_Stand_CrownClosure_v1_150)","SElam(Structure_Stand_CrownClosure_v1_150)","p(Int)","SEp(Int)","p(Int)","SEp(Int)","p(Int)","SEp(Int)","p(Int)","SEp(Int)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt"
"1","2/13/15","~1 ~ LandCover_NonVeg_v1_150 + Structure_Biomass_TotalLiveAboveGround_v1_150 + Structure_Stand_CrownClosure_v1_150 + 1",-1.16314935961681,0.932153277479294,NA,NA,NA,NA,NA,NA,-1.51561324667262,0.905141989868764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.07770760059352,0.448993511843448,-2.1778335135313,0.601286314280401,NA,NA,NA,NA,-2.45568429524801,0.935300322776925,NA,NA,NA,NA,NA,NA,0,61.1168469646367,64.6633698654839,5,98,139.326739730968,0,0.557979711470117,NA,0.557979711470117
"2","2/7/15","~1 ~ LandCover_NonVeg_v1_150 + Species_Popu_Bal_v1_150 + Structure_Stand_CrownClosure_v1_150 + 1",-1.41528058946603,1.14233342452461,NA,NA,NA,NA,NA,NA,-0.823585240944653,0.481738434585809,NA,NA,NA,NA,NA,NA,NA,NA,-2.13099413374878,1.44974485993447,NA,NA,NA,NA,NA,NA,-1.19459739423095,0.427348332603717,NA,NA,NA,NA,-2.5843453501084,1.06319190332178,NA,NA,NA,NA,NA,NA,0,98.2404580797323,65.5424854109442,5,98,141.084970821888,1.75823109092053,0.231645238488936,NA,0.789624949959054
"3","2/5/15","~1 ~ LandCover_NonVeg_v1_150 + Species_Pice_Mar_v1_150 + Structure_Stand_CrownClosure_v1_150 + 1",-1.08031140600111,0.856152404548686,NA,NA,NA,NA,NA,NA,-1.47717081021806,0.897332661223416,NA,NA,NA,NA,-0.521421521000263,0.310992407432335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.34931659188992,0.40201103053655,NA,NA,NA,NA,-2.37277293767665,0.878469112340717,NA,NA,NA,NA,NA,NA,0,50.5581942578469,66.1823096506411,5,98,142.364619301282,3.0378795703144,0.122166249411032,NA,0.911791199370085
"4","5/7/12","~1 ~ Species_Pice_Mar_v1_150 + Species_Popu_Bal_v1_150 + Structure_Biomass_TotalDead_v1_150 + 1",-1.44483381509607,1.06780364716789,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.791969728125149,0.372962720657399,NA,NA,-2.5192324367852,1.56523423920953,NA,NA,0.715271445834261,0.294683218670586,NA,NA,NA,NA,NA,NA,NA,NA,-2.46708397011857,0.942674934687935,NA,NA,NA,NA,NA,NA,0,124.511507413944,66.5079857294121,5,98,143.015971458824,3.68923172785642,0.0882088006299144,NA,1
