"","model","formula","lam(Int)","SElam(Int)","lam(Int)","SElam(Int)","lam(Int)","SElam(Int)","lam(Int)","SElam(Int)","lam(Species_Pice_Mar_v1_500)","SElam(Species_Pice_Mar_v1_500)","lam(Species_Pinu_Ban_v1_500)","SElam(Species_Pinu_Ban_v1_500)","lam(Species_Pinu_Ban_v1_500)","SElam(Species_Pinu_Ban_v1_500)","lam(SpeciesGroups_Needleleaf_Spp_v1_500)","SElam(SpeciesGroups_Needleleaf_Spp_v1_500)","lam(SpeciesGroups_Needleleaf_Spp_v1_500)","SElam(SpeciesGroups_Needleleaf_Spp_v1_500)","lam(Structure_Biomass_TotalDead_v1_500)","SElam(Structure_Biomass_TotalDead_v1_500)","lam(Structure_Biomass_TotalLiveAboveGround_v1_500)","SElam(Structure_Biomass_TotalLiveAboveGround_v1_500)","lam(Structure_Biomass_TotalLiveAboveGround_v1_500)","SElam(Structure_Biomass_TotalLiveAboveGround_v1_500)","lam(Structure_Biomass_TotalLiveAboveGround_v1_500)","SElam(Structure_Biomass_TotalLiveAboveGround_v1_500)","p(Int)","SEp(Int)","p(Int)","SEp(Int)","p(Int)","SEp(Int)","p(Int)","SEp(Int)","p(Julian)","SEp(Julian)","p(Julian)","SEp(Julian)","p(Julian)","SEp(Julian)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt"
"1","1/6/13","~Julian + 1 ~ Species_Pinu_Ban_v1_500 + Structure_Biomass_TotalLiveAboveGround_v1_500 + 1",0.840467896733374,0.229327931328967,NA,NA,NA,NA,NA,NA,NA,NA,0.342660243361226,0.101879263975816,NA,NA,NA,NA,NA,NA,NA,NA,-0.27804896775363,0.111590574910909,NA,NA,NA,NA,-1.41455436077754,0.2863187053293,NA,NA,NA,NA,NA,NA,0.363142020439684,0.115168578578726,NA,NA,NA,NA,0,27.7574467090765,339.418914723183,5,98,688.837829446367,0,0.593405562506397,NA,0.593405562506397
"2","5/11/13","~1 ~ Species_Pice_Mar_v1_500 + SpeciesGroups_Needleleaf_Spp_v1_500 + Structure_Biomass_TotalLiveAboveGround_v1_500 + 1",0.724002112412619,0.21122831936897,NA,NA,NA,NA,NA,NA,-0.510545318832565,0.155113085162231,NA,NA,NA,NA,0.744419750836452,0.173049641928238,NA,NA,NA,NA,-0.374908303050536,0.131738761102717,NA,NA,NA,NA,-1.26937761018914,0.2655744868169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,22.437157572478,340.524587958737,5,98,691.049175917475,2.21134647110784,0.196410105098093,NA,0.78981566760449
"3","1/11/13","~Julian + 1 ~ SpeciesGroups_Needleleaf_Spp_v1_500 + Structure_Biomass_TotalLiveAboveGround_v1_500 + 1",0.84084990822529,0.222663596610608,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.298222201588538,0.110129145502786,NA,NA,NA,NA,-0.214724146201872,0.0967389519438984,NA,NA,NA,NA,-1.39755485377962,0.280357229994707,NA,NA,NA,NA,NA,NA,0.381618826615002,0.115037734559346,NA,NA,NA,NA,0,25.2327058656306,341.111621870595,5,98,692.223243741189,3.38541429482245,0.109198893924074,NA,0.899014561528564
"4","1/6/12","~Julian + 1 ~ Species_Pinu_Ban_v1_500 + Structure_Biomass_TotalDead_v1_500 + 1",0.828065794005752,0.223470549067026,NA,NA,NA,NA,NA,NA,NA,NA,0.313248453644613,0.100410450381155,NA,NA,NA,NA,NA,NA,0.179293218975484,0.0983124000851057,NA,NA,NA,NA,NA,NA,-1.37791317164731,0.281278290345901,NA,NA,NA,NA,NA,NA,0.335123651757228,0.115343975842041,NA,NA,NA,NA,0,26.3702139021137,341.189816472057,5,98,692.379632944113,3.5418034977464,0.100985438471436,NA,1
