"","model","formula","lam(Int)","SElam(Int)","lam(LandCover_NonVeg_v1_50)","SElam(LandCover_NonVeg_v1_50)","lam(Species_Abie_Bal_v1_50)","SElam(Species_Abie_Bal_v1_50)","lam(Species_Pice_Gla_v1_50)","SElam(Species_Pice_Gla_v1_50)","lam(Species_Pice_Mar_v1_50)","SElam(Species_Pice_Mar_v1_50)","lam(Species_Popu_Bal_v1_50)","SElam(Species_Popu_Bal_v1_50)","lam(Species_Popu_Tre_v1_50)","SElam(Species_Popu_Tre_v1_50)","lam(Species_Sali_Spp_v1_50)","SElam(Species_Sali_Spp_v1_50)","lam(SpeciesGroups_Broadleaf_Spp_v1_50)","SElam(SpeciesGroups_Broadleaf_Spp_v1_50)","lam(SpeciesGroups_Needleleaf_Spp_v1_50)","SElam(SpeciesGroups_Needleleaf_Spp_v1_50)","lam(Structure_Biomass_TotalLiveAboveGround_v1_50)","SElam(Structure_Biomass_TotalLiveAboveGround_v1_50)","lam(Structure_Stand_Age_v1_50)","SElam(Structure_Stand_Age_v1_50)","lam(Structure_Stand_CrownClosure_v1_50)","SElam(Structure_Stand_CrownClosure_v1_50)","p(Int)","SEp(Int)","p(Julian)","SEp(Julian)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt"
"14","8/9/11","~1 ~ Species_Popu_Tre_v1_50 + Species_Sali_Spp_v1_50 + SpeciesGroups_Needleleaf_Spp_v1_50 + 1",-7.58418649250337,15.8108416873158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.224306937258269,0.155057078100136,-40.2340612201301,90.108896239359,NA,NA,-0.412730967593198,0.114772308070234,NA,NA,NA,NA,NA,NA,-0.948375093110846,0.280108400607773,NA,NA,0,922688.541614817,160.272761971895,5,98,330.545523943789,3.14612364722342,0.0318933648088671,NA,0.738656954179436
"15","1/9/14","~Julian + 1 ~ Species_Sali_Spp_v1_50 + Structure_Stand_Age_v1_50 + 1",-5.46511467230439,9.39333171092897,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-28.3703079042338,53.5373896947367,NA,NA,NA,NA,NA,NA,-0.325797813416386,0.105642532186608,NA,NA,-1.04312186912838,0.288313219661211,0.303313956919044,0.217695243644803,0,324569.193409324,160.289254526865,5,98,330.578509053731,3.17910875716461,0.0313716755559926,NA,0.770028629735429
"16","9/11","~1 ~ Species_Sali_Spp_v1_50 + SpeciesGroups_Needleleaf_Spp_v1_50 + 1",-7.91917324985801,17.6703152610181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-42.1267822903074,100.704017659168,NA,NA,-0.328350078661165,0.119170088410247,NA,NA,NA,NA,NA,NA,-0.936538327346676,0.276020427076126,NA,NA,1,925351.561812664,161.319281749768,4,98,330.638563499535,3.23916320296939,0.030443673646809,NA,0.800472303382238
"17","2/9/11","~1 ~ LandCover_NonVeg_v1_50 + Species_Sali_Spp_v1_50 + SpeciesGroups_Needleleaf_Spp_v1_50 + 1",-8.51858877794766,20.8994459367179,0.168449251135398,0.117293171900337,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-45.5607399066732,119.102834051691,NA,NA,-0.178894218499514,0.16114006849729,NA,NA,NA,NA,NA,NA,-0.94941715398458,0.280647046048558,NA,NA,0,3341935.4644308,160.333840588367,5,98,330.667681176734,3.26828088016833,0.0300036599322098,NA,0.830475963314448
"18","5/9/13","~1 ~ Species_Pice_Mar_v1_50 + Species_Sali_Spp_v1_50 + Structure_Biomass_TotalLiveAboveGround_v1_50 + 1",-7.39766703060212,17.7025035875643,NA,NA,NA,NA,NA,NA,-0.331117526262234,0.147981820015436,NA,NA,NA,NA,-39.1323409729945,100.890006061674,NA,NA,NA,NA,-0.407506008032721,0.163241380845495,NA,NA,NA,NA,-0.972529709328005,0.285410465461814,NA,NA,0,674011.353266689,160.391592373325,5,98,330.783184746649,3.38378445008351,0.0283199806908148,NA,0.858795944005263
"19","9/10/11","~1 ~ Species_Sali_Spp_v1_50 + SpeciesGroups_Broadleaf_Spp_v1_50 + SpeciesGroups_Needleleaf_Spp_v1_50 + 1",-10.4355882548492,35.8535053921239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-56.4704574508173,204.312743197236,-0.198170602208275,0.155104351353647,-0.406760659409955,0.11752033959414,NA,NA,NA,NA,NA,NA,-0.943282998772551,0.27849542132008,NA,NA,0,4782051.17427709,160.502700806066,5,98,331.005401612133,3.60600131556674,0.025341900048446,NA,0.884137844053709
"20","2/3/9","~1 ~ LandCover_NonVeg_v1_50 + Species_Abie_Bal_v1_50 + Species_Sali_Spp_v1_50 + 1",-9.25594341035469,693.172571100335,0.259017976846005,0.0820041339428627,-9.05226243182629,6856.95402983297,NA,NA,NA,NA,NA,NA,NA,NA,-44.7823942940076,110.285830561143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.97575674690774,0.287423332018028,NA,NA,0,7802271032.68759,160.517697044726,5,98,331.035394089452,3.63599379288604,0.0249647022105168,NA,0.909102546264225
"21","2/9/10","~1 ~ LandCover_NonVeg_v1_50 + Species_Sali_Spp_v1_50 + SpeciesGroups_Broadleaf_Spp_v1_50 + 1",-8.94772516518693,23.7459370037512,0.276477772291239,0.0850561359600986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-48.0522657956009,135.322245086162,0.133317467098691,0.150675737027271,NA,NA,NA,NA,NA,NA,NA,NA,-0.955781577108817,0.282361976095656,NA,NA,0,3078936.07979366,160.550213299353,5,98,331.100426598705,3.7010263021391,0.0241659993806463,NA,0.933268545644872
"22","2/5/9","~1 ~ LandCover_NonVeg_v1_50 + Species_Pice_Mar_v1_50 + Species_Sali_Spp_v1_50 + 1",-7.46148538108503,14.9839804996566,0.236083349252239,0.0867658100662446,NA,NA,NA,NA,-0.129229260196118,0.15305753112873,NA,NA,NA,NA,-39.6073993082849,85.3966062957845,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.957467076551788,0.28280517020145,NA,NA,0,1356149.92596123,160.562446623268,5,98,331.124893246536,3.7254929499702,0.0238721698030728,NA,0.957140715447945
"23","2/8/9","~1 ~ LandCover_NonVeg_v1_50 + Species_Popu_Tre_v1_50 + Species_Sali_Spp_v1_50 + 1",-7.44553402632557,15.1602235067928,0.276711032405045,0.0854474429307377,NA,NA,NA,NA,NA,NA,NA,NA,0.113766796359121,0.152906216447465,-39.505120416934,86.401918553426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.956400790714524,0.282764750451533,NA,NA,0,1272415.7082434,160.664150706943,5,98,331.328301413886,3.92890111732021,0.0215636548881067,NA,0.978704370336051
"24","2/9/15","~1 ~ LandCover_NonVeg_v1_50 + Species_Sali_Spp_v1_50 + Structure_Stand_CrownClosure_v1_50 + 1",-8.09992730886479,17.8952798357743,0.353282136081076,0.154758864767983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-43.2715995594991,101.983945663688,NA,NA,NA,NA,NA,NA,NA,NA,0.153237509196644,0.217568671310668,-0.965617199887493,0.284945159591915,NA,NA,0,2475919.61734974,160.676658088762,5,98,331.353316177523,3.95391588095754,0.0212956296639488,NA,1
