"","model","formula","lam(Int)","SElam(Int)","lam(LandCover_NonVeg_v1_50)","SElam(LandCover_NonVeg_v1_50)","lam(Species_Abie_Bal_v1_50)","SElam(Species_Abie_Bal_v1_50)","lam(Species_Pice_Gla_v1_50)","SElam(Species_Pice_Gla_v1_50)","lam(Species_Pinu_Ban_v1_50)","SElam(Species_Pinu_Ban_v1_50)","lam(Species_Popu_Bal_v1_50)","SElam(Species_Popu_Bal_v1_50)","lam(Species_Popu_Tre_v1_50)","SElam(Species_Popu_Tre_v1_50)","lam(SpeciesGroups_Broadleaf_Spp_v1_50)","SElam(SpeciesGroups_Broadleaf_Spp_v1_50)","lam(SpeciesGroups_Needleleaf_Spp_v1_50)","SElam(SpeciesGroups_Needleleaf_Spp_v1_50)","lam(Structure_Biomass_TotalDead_v1_50)","SElam(Structure_Biomass_TotalDead_v1_50)","lam(Structure_Biomass_TotalLiveAboveGround_v1_50)","SElam(Structure_Biomass_TotalLiveAboveGround_v1_50)","lam(Structure_Stand_Age_v1_50)","SElam(Structure_Stand_Age_v1_50)","lam(Structure_Stand_CrownClosure_v1_50)","SElam(Structure_Stand_CrownClosure_v1_50)","p(Int)","SEp(Int)","p(Julian)","SEp(Julian)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt"
"11","1/8/13","~Julian + 1 ~ Species_Popu_Tre_v1_50 + Structure_Biomass_TotalLiveAboveGround_v1_50 + 1",-0.0857307884770252,0.383235750760083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.325676464508213,0.224828648438365,NA,NA,NA,NA,NA,NA,-0.241535936224854,0.176698782544977,NA,NA,NA,NA,-2.00082181495902,0.447464193555122,-0.411692159971927,0.190664919931762,0,25.4076510299339,141.821428832681,5,98,293.642857665362,2.52361311090903,0.0293118071606722,NA,0.537398113585369
"12","1/10","~Julian + 1 ~ SpeciesGroups_Broadleaf_Spp_v1_50 + 1",-0.0374609742150213,0.379148181153167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.398187176686817,0.213992743944244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.02357146469838,0.446504920879189,-0.445060960450387,0.188549162902039,0,21.6995371627993,142.826328048477,4,98,293.652656096954,2.5334115425008,0.029168553493873,NA,0.566566667079242
"13","1/8","~Julian + 1 ~ Species_Popu_Tre_v1_50 + 1",-0.0376910550668836,0.379771479610681,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.403354265541087,0.218486951632716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.02496820613451,0.447399105409395,-0.443172977115873,0.188723633106208,0,21.7860093005883,142.831296498083,4,98,293.662592996166,2.54334844171291,0.0290239904302895,NA,0.595590657509532
"14","1/12","~Julian + 1 ~ Structure_Biomass_TotalDead_v1_50 + 1",-0.0723710069553877,0.371570353545012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.282353548022318,0.131842792318867,NA,NA,NA,NA,NA,NA,-1.96147732562592,0.438140795368877,-0.403784606141723,0.189490529921061,0,24.5446870667703,142.929604780146,4,98,293.859209560292,2.73996500583905,0.0263064580468446,NA,0.621897115556377
"15","1/13/15","~Julian + 1 ~ Structure_Biomass_TotalLiveAboveGround_v1_50 + Structure_Stand_CrownClosure_v1_50 + 1",-0.148378872390918,0.37096099248682,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.576662397248407,0.24317066080601,NA,NA,0.30723281784191,0.213154783359965,-1.91692739470257,0.429834507385165,-0.369782813214904,0.191688542275236,0,22.7135846265716,141.966887084347,5,98,293.933774168694,2.81452961424043,0.0253437501681831,NA,0.64724086572456
"16","1/6/13","~Julian + 1 ~ Species_Pinu_Ban_v1_50 + Structure_Biomass_TotalLiveAboveGround_v1_50 + 1",-0.121918573688068,0.374108869390217,NA,NA,NA,NA,NA,NA,0.259860651511139,0.182668009275569,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.469053988738808,0.2136301366462,NA,NA,NA,NA,-1.96069911025982,0.433814795419366,-0.399618935031373,0.190970509199754,0,21.8454886854903,141.98052729539,5,98,293.961054590779,2.84181003632602,0.0250004030542681,NA,0.672241268778828
"17","1/13","~Julian + 1 ~ Structure_Biomass_TotalLiveAboveGround_v1_50 + 1",-0.127720498211041,0.364304907818916,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.341666708854836,0.178871745879421,NA,NA,NA,NA,-1.91072696863005,0.426389310927499,-0.375305591858701,0.191674610656691,0,20.5814691093329,142.994829668469,4,98,293.989659336938,2.87041478248437,0.0246453828303309,NA,0.696886651609159
"18","1/6/12","~Julian + 1 ~ Species_Pinu_Ban_v1_50 + Structure_Biomass_TotalDead_v1_50 + 1",-0.0462030976986104,0.384087649025908,NA,NA,NA,NA,NA,NA,0.251431224526547,0.187725509779948,NA,NA,NA,NA,NA,NA,NA,NA,0.370957673942849,0.152160702749251,NA,NA,NA,NA,NA,NA,-2.023801737997,0.450700727829643,-0.430097804606759,0.188612608222583,0,27.7117875851032,142.018809110509,5,98,294.037618221018,2.91837366656489,0.0240614297175839,NA,0.720948081326742
"19","1/12/13","~Julian + 1 ~ Structure_Biomass_TotalDead_v1_50 + Structure_Biomass_TotalLiveAboveGround_v1_50 + 1",-0.111351196891382,0.376546867871143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.193700138927777,0.139414325326223,-0.261594830063188,0.19763776323842,NA,NA,NA,NA,-1.9541713759935,0.4395808934631,-0.38342960276033,0.190148845056033,0,29.9008100202031,142.04909773798,5,98,294.09819547596,2.97895092150645,0.0233435684326839,NA,0.744291649759426
"20","11/13","~1 ~ SpeciesGroups_Needleleaf_Spp_v1_50 + Structure_Biomass_TotalLiveAboveGround_v1_50 + 1",-0.238553180746991,0.380589702732282,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.378546066716407,0.219458029620676,NA,NA,-0.407655587864694,0.185431964989796,NA,NA,NA,NA,-1.81369752542513,0.442491917225694,NA,NA,0,23.0364224652025,143.049844287186,4,98,294.099688574372,2.98044401991916,0.0233261478136807,NA,0.767617797573107
