"","model","formula","lam(Int)","SElam(Int)","lam(S150.mean_MaxHeight)","SElam(S150.mean_MaxHeight)","lam(S150.sd_PercCanopyDensity)","SElam(S150.sd_PercCanopyDensity)","p(Int)","SEp(Int)","p(Julian)","SEp(Julian)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt"
"1","1/13","~Julian + 1 ~ S150.sd_PercCanopyDensity + 1",-3.51071952580574,1.06967293560144,NA,NA,0.115237173604655,0.0384878040184516,-5.14281714144246,2.1148237113954,0.023279637938688,0.01188631693662,0,3373472.09021594,161.741554785608,4,98,331.483109571216,0,0.445572459792054,NA,0.445572459792054
"2","13","~1 ~ S150.sd_PercCanopyDensity + 1",-3.2886526863195,1.06297910510919,NA,NA,0.103534998159394,0.0377938021506255,-1.01879420547832,0.2995900375498,NA,NA,0,35435.9734544163,163.426833402673,3,98,332.853666805346,1.37055723412971,0.224546152442594,NA,0.670118612234648
"3","1/12/13","~Julian + 1 ~ S150.mean_MaxHeight + S150.sd_PercCanopyDensity + 1",-4.31977314966334,1.64304194221032,0.0428022254295349,0.0662534225936689,0.134784624200386,0.0483268959627091,-5.21114906976224,2.10201910495001,0.02356507617327,0.0118169579884517,0,3390157.94819984,161.530897220296,5,98,333.061794440592,1.57868486937588,0.20235375887188,NA,0.872472371106528
"4","12/13","~1 ~ S150.mean_MaxHeight + S150.sd_PercCanopyDensity + 1",-3.99617150038077,1.65901993518575,0.0369453251530235,0.0664163838594297,0.120601190026656,0.0483689148472142,-1.03135448968429,0.303119078941879,NA,NA,0,90934.2265976438,163.272491688223,4,98,334.544983376446,3.06187380523016,0.0963919777037195,NA,0.968864348810248
"5","1","~Julian + 1 ~ 1",-0.508922742618739,0.219575940041898,NA,NA,NA,NA,-3.99700818490801,2.15147425920287,0.0175195986723876,0.0121931278670639,0,3300255.26210435,166.459581735992,3,98,338.919163471985,7.43605390076897,0.0108193146626158,NA,0.979683663472864
"6","1/12","~Julian + 1 ~ S150.mean_MaxHeight + 1",-0.0516013373261399,0.392038378713921,-0.0653092536868463,0.0486935758073094,NA,NA,-4.11620574749873,2.15208442061496,0.0181470306214001,0.0121828594990155,0,3308312.65076802,165.519760632694,4,98,339.039521265388,7.55641169417191,0.0101874241673305,NA,0.989871087640194
"7","12","~1 ~ S150.mean_MaxHeight + 1",-0.115535606472023,0.382440802379791,-0.0626627834679576,0.0482221100446726,NA,NA,-0.936608485749103,0.276177264954912,NA,NA,0,351.806480546125,166.525520723272,3,98,339.051041446544,7.56793187532759,0.0101289123598059,NA,1
