,SS,Blackspruce_50,BlackspruceMixCD_50,Bog_50,Fen_50,GrassHerb_50,Jackpine_50,JackpineMixCD_50,JackpineMixWet_50,Shrub_50,Swamp_50,Tamarack_50,TamarackMixCD_50,TamarackMixDC_50,Tremblingaspen_50,TremblingaspenMixCD_50,TremblingaspenMixD_50,TremblingaspenMixDC_50,Water_50,Whitebirch_50,WhitebirchMixD_50,Whitespruce_50,WhitespruceMixWet_50,wtage_50
45,BG_15_5,0,907.2254669,0,0,0,6944.117588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95
46,BG_15_50,120.5590339,0,0,0,0,7731.163699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.55555556
47,BG_15_51,7757.541551,0,0,0,0,94.78091209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87
48,BG_15_52,0,0,0,0,0,2663.626443,0,0,0,0,0,0,0,5188.862039,0,0,0,0,0,0,0,0,81
49,BG_15_53,0,0,0,0,0,0,0,7853.739401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84
50,BG_15_54,0,2664.22586,0,0,0,0,0,0,0,0,0,5187.425481,0,0,0,0,0,0,0,0,0,0,99
51,BG_15_55,38.97476234,16.63517332,0,0,0,1528.339135,0,0,0,0,0,0,0,6267.732905,0,0,0,0,0,0,0,0,90.53846154
52,BG_15_56,4344.061586,0,0,0,0,0,0,0,0,0,0,0,0,3508.14468,0,0,0,0,0,0,0,0,89
53,BG_15_57,0,0,0,0,0,4145.822223,0,34.30005804,3671.896689,0,0,0,0,0,0,0,0,0,0,0,0,0,79
54,BG_15_58,429.7688459,0,0,0,0,0,0,0,0,0,3655.414828,0,0,0,0,0,0,93.75596639,0,0,0,3673.680685,94.45454545
55,BG_15_59,0,0,0,0,0,0,0,6258.152665,855.2255725,0,0,0,0,738.4894355,0,0,0,0,0,0,0,0,85
56,BG_15_6,5353.269623,0,0,0,0,0,0,2498.88825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.42857143
57,BG_15_60,978.975555,0,0,0,0,6873.288021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.77777778
58,BG_15_61,0,0,0,0,0,1299.994679,0,0,0,0,0,0,0,6551.606139,0,0,0,0,0,0,0,0,85
59,BG_15_62,897.7214831,0,0,0,0,6953.976687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84
60,BG_15_63,0,0,0,0,0,5265.380884,0,1262.491828,0,0,0,0,0,1324.282135,0,0,0,0,0,0,0,0,81.5
61,BG_15_64,2029.680855,0,0,0,0,0,0,0,0,0,0,0,0,1303.088255,0,4519.025343,0,0,0,0,0,0,89
62,BG_15_65,7554.150829,0,0,297.8856865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89
63,BG_15_66,3756.870939,30.78224583,0,0,0,4064.108162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83
64,BG_15_67,2168.480121,0,159.1695,67.78562657,0,0,0,0,0,0,0,5456.904592,0,0,0,0,0,0,0,0,0,0,89
65,BG_15_68,0,0,0,0,0,5553.68123,0,0,0,0,0,0,0,2298.205935,0,0,0,0,0,0,0,0,89
66,BG_15_69,3346.155885,0,0,0,0,0,0,0,0,0,0,0,0,4505.95714,0,0,0,0,0,0,0,0,93.44444444
67,BG_15_7,7012.264461,839.7765724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104.7142857
68,BG_15_70,7852.038439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79
69,BG_15_71,7851.513125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.42857143
70,BG_15_72,242.5118631,0,0,0,0,0,0,4137.726222,0,0,0,1251.345169,0,2220.530181,0,0,0,0,0,0,0,0,84.71428571
71,BG_15_73,0,808.6597143,0,0,0,0,0,0,0,0,7044.092605,0,0,0,0,0,0,0,0,0,0,0,84
72,BG_15_74,1835.804237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6016.142218,0,0,0,0,0,89
73,BG_15_75,0,0,0,0,0,0,0,7851.956196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79
74,BG_15_77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7851.711221,0,0,0,0,0,89
75,BG_15_78,6421.148866,0,0,0,0,0,0,1328.022458,0,0,0,0,0,0,0,0,0,0,0,102.8546355,0,0,79
76,BG_15_79,3442.019062,0,0,0,0,0,0,3363.023636,0,0,0,0,0,1046.633387,0,0,0,0,0,0,0,0,85.66666667
77,BG_15_8,7852.327775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89
78,BG_15_80,5995.138822,1856.94492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89
79,BG_15_81,0,0,0,0,0,3600.137877,0,0,0,0,0,0,0,0,0,0,4251.931983,0,0,0,0,0,101
80,BG_15_82,0,0,0,0,0,1937.259875,0,0,0,0,0,5914.515464,0,0,0,0,0,0,0,0,0,0,85.76470588
81,BG_15_83,0,0,0,0,0,0,0,7851.73114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89
82,BG_15_84,0,4901.615209,0,0,0,0,0,0,0,0,0,0,0,2752.387321,0,0,0,0,0,0,0,198.2029919,93.11764706
83,BG_15_85,633.416165,5710.892401,0,0,0,0,0,1507.557965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89
84,BG_15_86,0,0,0,0,0,0,0,0,2413.383781,0,5305.189054,0,0,0,0,0,0,133.6079021,0,0,0,0,99
85,BG_15_87,0,7762.449158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.12982157,0,0,0,0,0,99
86,BG_15_88,2930.892824,0,0,0,0,4920.969336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85
87,BG_15_89,7851.836184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.625
88,BG_15_9,0.00832672,0,0,0,0,1815.464325,0,6036.413146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.83333333
89,BG_15_90,7851.821402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89
90,BG_15_91,7853.452839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109
91,BG_15_92,0,0,0,0,0,0,664.0921291,0,0,0,0,0,0,287.1840611,0,0,0,0,0,0,6901.140897,0,122.3333333
92,BG_15_93,7022.483555,829.3431683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121
93,BG_15_94,289.7964366,0,0,0,0,3305.783837,0,0,0,0,0,0,0,0,0,0,0,4256.690796,0,0,0,0,85.66666667
94,BG_15_95,0,0,0,0,0,0,0,0,179.6599286,0,0,0,0,0,0,0,0,1321.780306,4178.086783,0,2172.675212,0,119
95,BG_15_96,3081.196221,0,0,0,0,0,3040.70233,0,0,0,0,0,0,0,0,0,1731.199881,0,0,0,0,0,92.33333333
96,BG_15_97,553.5743572,6296.481686,0,0,0,0,0,0,0,0,0,0,0,1002.285006,0,0,0,0,0,0,0,0,97
97,BG_15_98,3750.285902,2143.079762,0,0,0,0,0,0,0,0,0,0,0,1958.893364,0,0,0,0,0,0,0,0,83.28571429
98,BG_15_99,7852.338807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89
