SS,Blackspruce_50,BlackspruceMixCD_50,Bog_50,Fen_50,GrassHerb_50,Jackpine_50,JackpineMixCD_50,JackpineMixWet_50,Shrub_50,Swamp_50,Tamarack_50,TamarackMixCD_50,TamarackMixDC_50,Tremblingaspen_50,TremblingaspenMixCD_50,TremblingaspenMixD_50,TremblingaspenMixDC_50,Water_50,Whitebirch_50,WhitebirchMixD_50,Whitespruce_50,WhitespruceMixWet_50,wtage_50,Blackspruce_150,BlackspruceMixCD_150,BlackspruceMixDC_150,Bog_150,Fen_150,GrassHerb_150,Jackpine_150,JackpineMixC_150,JackpineMixCD_150,JackpineMixWet_150,Shrub_150,Swamp_150,Tamarack_150,TamarackMixCD_150,TamarackMixDC_150,Tremblingaspen_150,TremblingaspenMixCD_150,TremblingaspenMixD_150,TremblingaspenMixDC_150,Water_150,Whitebirch_150,WhitebirchMixD_150,WhitebirchMixDC_150,Whitespruce_150,WhitespruceMixC_150,WhitespruceMixCD_150,WhitespruceMixWet_150,wtage_150,Blackspruce_500,BlackspruceMixCD_500,BlackspruceMixDC_500,Bog_500,Fen_500,GrassHerb_500,Jackpine_500,JackpineMixC_500,JackpineMixCD_500,JackpineMixWet_500,Marsh_500,Shrub_500,Swamp_500,Tamarack_500,TamarackMixCD_500,TamarackMixDC_500,Tremblingaspen_500,TremblingaspenMixCD_500,TremblingaspenMixD_500,TremblingaspenMixDC_500,Water_500,Whitebirch_500,WhitebirchMixD_500,WhitebirchMixDC_500,WhitebirchMixWet_500,Whitespruce_500,WhitespruceMixC_500,WhitespruceMixCD_500,WhitespruceMixWet_500,wtage_500
BG_15_18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7853.981634,0,0,0,0,0,0,0,0,0,0,2230.997169,0,0,0,0,0,0,0,0,0,0,0,0,0,68450.00731,0,0,0,0,0,0,0,0,111185.7615,0,0,0,0,232101.2721,64047.6913,0,11486.07148,18904.10914,0,0,0,23113.82661,0,0,13920.85289,0,0,0,310618.444,0,0,0,0,0,0,0,0,90.37931034
BG_15_19,1138.687504,0,0,0,0,0,0,0,0,0,5526.223272,0,0,1186.343903,0,0,0,0,0,0,0,0,83.44444444,26428.75756,5924.747572,0,0,0,1671.079566,0,0,0,0,0,0,18825.88331,0,0,17829.93298,0,0,0,0,0,0,0,0,0,0,0,85.19047619,167105.4672,106805.729,0,0,0,58544.11355,63112.90439,0,16336.59678,14680.55052,0,0,2337.910263,77272.23962,20927.12022,0,123830.1637,0,0,0,124917.09,9509.890983,0,0,0,0,0,0,0,84.28688525
BG_15_2,4323.24176,0,0,0,0,0,0,0,0,0,0,0,0,3529.761561,0,0,0,0,0,0,0,0,109,44638.12585,1464.426093,0,0,0,0,2517.530119,8084.086502,0,0,0,0,0,0,0,13975.08445,0,0,0,0,0,0,0,0,0,0,0,110.5,471444.6463,74537.04908,0,0,0,0,100657.2311,21390.00331,0,0,0,0,0,0,0,0,117349.0779,0,0,0,0,0,0,0,0,0,0,0,0,107.2442748
BG_15_20,0,2699.788205,0,0,0,0,0,3789.6116,0,0,0,0,0,1362.914346,0,0,0,0,0,0,0,0,79,0,24049.82687,0,0,0,0,8490.598459,0,0,28337.10394,0,0,0,0,0,9803.281785,0,0,0,0,0,0,0,0,0,0,0,79,114619.6601,221586.8824,0,0,0,0,178454.1383,0,0,49597.7534,0,0,0,0,20627.09395,0,198895.5764,0,0,0,0,1594.920779,0,0,0,0,0,0,0,81.83154122
BG_15_21,0,482.6632455,1643.881253,255.1679504,0,5470.005605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,0,17692.56995,0,1829.566082,2606.057264,0,33079.28853,0,0,7604.481116,0,0,0,0,0,7867.318366,0,0,0,0,0,0,0,0,0,0,0,87.59649123,72609.21998,298697.9582,0,1829.566082,2606.057264,0,165859.7986,0,0,108944.2143,0,0,0,0,0,0,134828.8901,0,0,0,0,0,0,0,0,0,0,0,0,87.41463415
BG_15_22,0,7852.458645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,267.4562215,54695.74781,0,0,0,0,11014.96968,0,1553.050564,0,0,0,0,0,0,3147.406699,0,0,0,0,0,0,0,0,0,0,0,91.59259259,50955.57953,396749.3563,0,0,0,0,106392.6775,0,117083.587,12190.35906,0,0,0,0,0,0,92038.64719,0,0,0,0,0,9968.470505,0,0,0,0,0,0,89.63380282
BG_15_23,0,0,0,0,0,14.51811764,1356.497074,2252.181832,0,0,0,0,0,4229.588282,0,0,0,0,0,0,0,0,82.33333333,5161.488456,16870.98196,0,0,0,0,8611.044477,0,11072.08237,14633.61702,0,0,0,0,0,14331.03943,0,0,0,0,0,0,0,0,0,0,0,88.64285714,175528.879,152319.854,0,1971.93282,196.98,0,47723.46137,0,124473.0864,99719.23822,0,0,0,0,0,0,176214.3397,0,0,0,0,0,7228.734594,0,0,0,0,0,0,94.64263323
BG_15_24,5555.055262,2296.700338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106.6923077,36551.12736,23912.78287,0,0,0,0,553.0916365,0,0,9663.076831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101.4561404,373589.989,115052.1234,0,1971.93282,196.98,22158.39534,119074.9815,0,25361.55297,90265.38087,0,0,0,12526.79285,0,3098.086065,22082.22406,0,0,0,0,0,0,0,0,0,0,0,0,98.34466019
BG_15_26,0,0,0,0,0,0,0,0,0,0,7852.15582,0,0,0,0,0,0,0,0,0,0,0,69,4536.65193,0,0,0,1451.509522,0,22777.48297,0,0,0,0,786.3817336,37893.45659,0,0,3233.293514,0,0,0,0,0,0,0,0,0,0,0,81.25806452,152009.1977,8249.917291,0,0,3505.707818,2951.888148,226548.7176,0,51078.93848,51257.52606,0,9222.076558,961.8457686,159050.0486,2185.347552,0,107271.0196,8307.271647,0,0,2778.926607,0,0,0,0,0,0,0,0,85.63911846
BG_15_27,0,0,0,0,5833.401472,404.7569985,0,0,0,0,248.7465658,0,0,0,0,0,0,1364.986989,0,0,0,0,89,3665.289648,0,0,0,0,28738.3262,10657.91981,0,0,0,0,0,17162.19199,0,0,0,0,0,0,10455.71381,0,0,0,0,0,0,0,89,229102.2628,20897.25722,0,0,3498.106751,114571.4306,178372.6063,0,51327.54724,3583.119779,0,16258.29398,961.8457686,150716.1937,0,0,4317.510243,0,0,0,11772.23298,0,0,0,0,0,0,0,0,86.66497462
