"","Blackspruce_50","BlackspruceMixCD_50","Bog_50","Fen_50","GrassHerb_50","Jackpine_50","JackpineMixCD_50","JackpineMixWet_50","Shrub_50","Swamp_50","Tamarack_50","TamarackMixCD_50","TamarackMixDC_50","Tremblingaspen_50","TremblingaspenMixCD_50","TremblingaspenMixD_50","TremblingaspenMixDC_50","Water_50","Whitebirch_50","WhitebirchMixD_50","Whitespruce_50","WhitespruceMixWet_50","wtage_50","Blackspruce_150","BlackspruceMixCD_150","BlackspruceMixDC_150","Bog_150","Fen_150","GrassHerb_150","Jackpine_150","JackpineMixC_150","JackpineMixCD_150","JackpineMixWet_150","Shrub_150","Swamp_150","Tamarack_150","TamarackMixCD_150","TamarackMixDC_150","Tremblingaspen_150","TremblingaspenMixCD_150","TremblingaspenMixD_150","TremblingaspenMixDC_150","Water_150","Whitebirch_150","WhitebirchMixD_150","WhitebirchMixDC_150","Whitespruce_150","WhitespruceMixC_150","WhitespruceMixCD_150","WhitespruceMixWet_150","wtage_150","Blackspruce_500","BlackspruceMixCD_500","BlackspruceMixDC_500","Bog_500","Fen_500","GrassHerb_500","Jackpine_500","JackpineMixC_500","JackpineMixCD_500","JackpineMixWet_500","Marsh_500","Shrub_500","Swamp_500","Tamarack_500","TamarackMixCD_500","TamarackMixDC_500","Tremblingaspen_500","TremblingaspenMixCD_500","TremblingaspenMixD_500","TremblingaspenMixDC_500","Water_500","Whitebirch_500","WhitebirchMixD_500","WhitebirchMixDC_500","WhitebirchMixWet_500","Whitespruce_500","WhitespruceMixC_500","WhitespruceMixCD_500","WhitespruceMixWet_500","wtage_500"
"Fen_500",-0.12,-0.06,0.1,0.11,0.06,0.03,-0.06,0,-0.03,0.1,0.24,-0.03,-0.05,-0.15,-0.05,-0.05,0.2,-0.02,-0.05,-0.02,0.07,0.12,-0.07,-0.16,0.01,0.05,0.1,0.39,0.02,-0.01,-0.05,-0.04,0.08,-0.06,0.46,0.23,-0.01,-0.05,-0.06,-0.05,-0.05,0.12,-0.04,-0.05,-0.04,-0.05,0.06,-0.02,-0.05,0.18,-0.02,-0.15,-0.09,0.06,0.77,1,-0.08,-0.09,0.04,-0.04,0.29,0.75,-0.02,0.68,0.22,0.26,-0.07,-0.02,-0.06,0.03,-0.05,-0.06,-0.14,-0.06,-0.02,0.05,0.09,0.04,-0.11,0.11,-0.08
"GrassHerb_500",-0.03,-0.11,0,0.04,0.47,-0.13,-0.07,-0.09,0.06,0.04,0.14,-0.02,0.03,-0.06,0.03,-0.04,-0.07,0.48,-0.04,-0.04,-0.04,0.09,-0.37,-0.06,-0.1,-0.04,0,-0.02,0.64,-0.13,-0.04,-0.09,-0.05,-0.02,-0.03,0.17,-0.04,0.03,-0.1,0.03,-0.04,-0.08,0.38,-0.04,-0.05,-0.04,-0.04,-0.04,-0.04,0.06,-0.42,-0.14,-0.16,-0.06,-0.07,-0.08,1,-0.1,-0.05,-0.02,-0.1,-0.07,-0.04,0.12,0.14,-0.05,0.02,-0.25,0.01,-0.04,-0.13,0.28,0.02,-0.09,-0.09,-0.08,-0.09,0.02,-0.09,-0.08,-0.05
"Jackpine_500",-0.11,-0.15,-0.02,-0.07,0.01,0.45,-0.11,-0.03,-0.05,-0.09,0,0.05,0.22,-0.07,0.22,0.13,-0.12,-0.1,-0.11,-0.14,-0.14,0.03,-0.16,-0.18,-0.11,0.14,-0.02,-0.05,-0.02,0.68,-0.04,-0.16,-0.13,-0.12,-0.15,0.06,0.06,0.22,-0.09,0.22,0.13,-0.14,-0.13,-0.11,-0.16,-0.08,-0.17,0.04,-0.09,0.01,-0.22,-0.12,-0.21,0.16,-0.16,-0.09,-0.1,1,-0.12,-0.3,-0.18,-0.21,0.07,-0.25,0.22,-0.13,0.21,-0.15,0.22,0.11,-0.32,-0.26,-0.03,-0.22,-0.27,-0.16,-0.18,0.06,-0.11,-0.22,-0.46
"JackpineMixC_500",0.09,-0.05,-0.03,-0.02,-0.02,-0.1,-0.02,0.03,-0.03,-0.02,-0.06,-0.04,-0.02,0.14,-0.02,-0.02,-0.03,-0.03,-0.02,-0.02,0.12,-0.02,0.25,0.14,-0.05,-0.02,-0.03,-0.02,-0.03,-0.13,0.92,0.02,0,-0.04,0.17,-0.07,-0.03,-0.02,0.06,-0.02,-0.02,-0.04,-0.04,-0.02,-0.02,-0.02,0.1,-0.02,-0.02,-0.02,0.26,0.15,-0.03,-0.03,-0.03,0.04,-0.05,-0.12,1,0.08,-0.08,0.07,-0.07,0.11,-0.08,0.08,-0.02,0.03,-0.03,-0.02,-0.05,0,-0.04,-0.05,-0.04,-0.04,0,-0.03,-0.05,0.05,0.39
"JackpineMixCD_500",-0.01,0.1,-0.04,-0.01,0.05,-0.15,0.55,-0.06,-0.1,0.01,-0.1,-0.01,-0.05,-0.04,-0.05,-0.05,-0.03,-0.04,-0.05,-0.05,0.4,-0.06,0.22,0.01,0.07,-0.05,-0.04,-0.04,0.04,-0.18,-0.05,0.67,-0.09,-0.13,0.11,-0.14,0.01,-0.05,0,-0.05,-0.05,0.01,-0.07,-0.05,-0.07,-0.05,0.37,-0.05,-0.05,-0.06,0.28,-0.02,0.21,-0.09,-0.07,-0.04,-0.02,-0.3,0.08,1,-0.11,-0.07,-0.12,0.02,-0.2,0.05,-0.06,-0.09,-0.07,-0.06,0.16,0.02,-0.05,-0.1,-0.14,-0.1,0.15,-0.09,-0.15,0.08,0.45
"JackpineMixWet_500",-0.15,0.04,0.14,0.11,-0.12,-0.07,-0.09,0.44,0.14,0.1,0.01,-0.02,-0.11,-0.12,-0.11,-0.05,0.22,-0.11,-0.11,0.03,-0.13,0.02,-0.05,-0.17,0.07,-0.04,0.13,0.15,-0.12,-0.12,-0.11,-0.11,0.62,0.13,0.08,0.01,-0.01,-0.11,-0.08,-0.11,-0.05,0.14,-0.16,-0.11,0.06,-0.04,-0.13,0.09,0.1,0.15,-0.06,-0.28,0.11,-0.01,0.34,0.29,-0.1,-0.18,-0.08,-0.11,1,0.43,0.18,0.17,0.04,0.16,-0.11,-0.03,-0.13,0.01,-0.13,-0.13,-0.17,0.01,0.11,-0.04,0,0.1,0.03,0.09,-0.09
"Marsh_500",-0.11,0.01,-0.03,-0.03,-0.03,-0.12,-0.04,0.13,-0.04,-0.02,0.13,-0.04,-0.02,-0.05,-0.02,-0.02,0.36,-0.03,-0.02,-0.02,-0.03,-0.01,-0.02,-0.1,0.1,-0.02,-0.03,0.21,-0.04,-0.17,-0.02,-0.05,0.22,-0.05,0.34,0.07,-0.03,-0.02,-0.02,-0.02,-0.02,0.24,-0.05,-0.02,-0.03,-0.02,-0.03,-0.02,-0.02,0.1,-0.01,-0.16,0.03,-0.03,0.73,0.75,-0.07,-0.21,0.07,-0.07,0.43,1,-0.08,0.74,0.1,0.32,-0.03,0.03,-0.03,0.1,-0.02,-0.07,-0.05,-0.06,-0.05,-0.04,0.02,-0.03,-0.05,0.21,-0.01
"Shrub_500",-0.27,0,-0.06,-0.06,0.01,0.06,-0.04,0.16,0.47,-0.05,0.1,0.04,0.11,-0.21,0.11,-0.05,0.2,0.03,0.14,-0.05,0,-0.01,-0.06,-0.26,-0.1,-0.05,-0.06,-0.09,-0.01,0.02,-0.05,-0.06,0.18,0.62,-0.05,0.22,0.03,0.11,-0.19,0.11,-0.05,0.16,0.1,0.14,-0.02,-0.05,-0.01,0.16,0.32,0,-0.03,-0.25,-0.15,-0.08,-0.13,-0.02,-0.04,0.07,-0.07,-0.12,0.18,-0.08,1,-0.12,0.13,-0.02,0.09,-0.24,0.08,-0.06,0.01,0.26,-0.1,-0.06,0.14,-0.11,0.07,0.12,0.04,0,-0.05
"Swamp_500",-0.13,-0.06,-0.01,0.02,0.09,-0.1,-0.06,0.01,-0.06,0.03,0.3,-0.01,-0.04,-0.02,-0.04,-0.04,0.19,0.05,-0.04,0.01,0.06,-0.01,0.02,-0.1,0.05,0.06,-0.01,0.36,0.11,-0.16,-0.03,-0.04,0.08,-0.08,0.67,0.19,0.01,-0.04,-0.04,-0.04,-0.04,0.11,0.02,-0.04,0,-0.04,0.06,-0.04,-0.04,-0.03,0.02,-0.21,-0.02,0.07,0.63,0.68,0.12,-0.25,0.11,0.02,0.17,0.74,-0.12,1,0.2,0.33,-0.05,0,-0.04,0.04,-0.05,0.08,0.08,-0.06,-0.09,-0.08,0.09,-0.04,-0.08,0.04,0.02
"Tamarack_500",-0.21,-0.15,0.03,0.13,0.15,-0.03,-0.1,0.02,0.12,0.15,0.7,-0.07,-0.06,-0.15,-0.06,0.03,-0.07,-0.04,-0.06,-0.06,-0.08,0.29,-0.14,-0.23,-0.13,-0.04,0.03,0.2,0.14,0,-0.06,-0.13,0.02,0.12,0.22,0.82,-0.05,-0.06,-0.17,-0.06,0.03,-0.09,-0.05,-0.06,-0.08,-0.06,-0.1,0.04,-0.06,0.22,-0.16,-0.4,-0.2,0.11,0.18,0.22,0.14,0.22,-0.08,-0.2,0.04,0.1,0.13,0.2,1,0.02,-0.07,-0.27,-0.07,0.04,-0.2,-0.08,-0.04,-0.18,-0.12,-0.14,-0.04,0.27,-0.11,-0.07,-0.33
