"","Blackspruce_50","BlackspruceMixCD_50","Bog_50","Fen_50","GrassHerb_50","Jackpine_50","JackpineMixCD_50","JackpineMixWet_50","Shrub_50","Swamp_50","Tamarack_50","TamarackMixCD_50","TamarackMixDC_50","Tremblingaspen_50","TremblingaspenMixCD_50","TremblingaspenMixD_50","TremblingaspenMixDC_50","Water_50","Whitebirch_50","WhitebirchMixD_50","Whitespruce_50","WhitespruceMixWet_50","wtage_50","Blackspruce_150","BlackspruceMixCD_150","BlackspruceMixDC_150","Bog_150","Fen_150","GrassHerb_150","Jackpine_150","JackpineMixC_150","JackpineMixCD_150","JackpineMixWet_150","Shrub_150","Swamp_150","Tamarack_150","TamarackMixCD_150","TamarackMixDC_150","Tremblingaspen_150","TremblingaspenMixCD_150","TremblingaspenMixD_150","TremblingaspenMixDC_150","Water_150","Whitebirch_150","WhitebirchMixD_150","WhitebirchMixDC_150","Whitespruce_150","WhitespruceMixC_150","WhitespruceMixCD_150","WhitespruceMixWet_150","wtage_150","Blackspruce_500","BlackspruceMixCD_500","BlackspruceMixDC_500","Bog_500","Fen_500","GrassHerb_500","Jackpine_500","JackpineMixC_500","JackpineMixCD_500","JackpineMixWet_500","Marsh_500","Shrub_500","Swamp_500","Tamarack_500","TamarackMixCD_500","TamarackMixDC_500","Tremblingaspen_500","TremblingaspenMixCD_500","TremblingaspenMixD_500","TremblingaspenMixDC_500","Water_500","Whitebirch_500","WhitebirchMixD_500","WhitebirchMixDC_500","WhitebirchMixWet_500","Whitespruce_500","WhitespruceMixC_500","WhitespruceMixCD_500","WhitespruceMixWet_500","wtage_500"
"TamarackMixCD_500",-0.17,-0.07,-0.06,-0.06,-0.06,-0.11,-0.08,0.42,-0.07,-0.04,0.03,0.47,-0.04,-0.1,-0.04,-0.04,0,-0.07,-0.04,-0.04,0.04,-0.05,-0.05,-0.19,-0.03,0.05,-0.06,0.04,-0.06,-0.07,-0.04,-0.05,0.33,-0.05,0.17,0.01,0.58,-0.04,-0.03,-0.04,-0.04,-0.02,-0.1,-0.04,-0.05,-0.04,0.04,-0.04,0.06,-0.07,-0.04,-0.23,0.04,0.07,0.09,0.26,-0.05,-0.13,0.08,0.05,0.16,0.32,-0.02,0.33,0.02,1,-0.06,-0.03,-0.07,-0.05,0.01,-0.09,-0.03,-0.09,-0.03,-0.1,0.09,-0.07,-0.01,0.07,-0.01
"TamarackMixDC_500",-0.02,-0.04,-0.02,-0.02,-0.02,0.12,-0.03,-0.05,-0.02,-0.01,-0.04,-0.03,0.97,-0.06,0.97,-0.01,-0.02,-0.02,-0.01,-0.01,-0.02,-0.01,0.06,-0.03,-0.06,-0.01,-0.02,-0.03,-0.02,0.15,-0.01,-0.03,-0.06,-0.03,-0.02,-0.05,-0.03,0.97,-0.1,0.97,-0.01,-0.03,-0.03,-0.01,-0.02,-0.01,-0.02,-0.01,-0.01,-0.02,0,0,-0.06,-0.02,-0.03,-0.07,0.02,0.21,-0.02,-0.06,-0.11,-0.03,0.09,-0.05,-0.07,-0.06,1,-0.07,0.97,-0.02,-0.06,-0.04,-0.03,-0.04,-0.03,-0.03,-0.04,-0.02,-0.04,-0.04,0.03
"Tremblingaspen_500",-0.11,-0.01,-0.01,-0.07,-0.13,0.08,0.05,0.04,-0.11,-0.07,-0.19,-0.05,-0.05,0.46,-0.05,0.06,0.04,-0.15,-0.12,0.36,-0.03,-0.05,-0.08,-0.13,-0.02,0.03,-0.01,-0.06,-0.17,-0.06,0.02,0.08,0.03,-0.12,-0.07,-0.27,-0.03,-0.05,0.72,-0.05,0.06,0.03,-0.22,-0.12,0.38,-0.01,0.06,0.12,0.09,0.01,-0.02,-0.1,-0.04,0.06,0.12,-0.02,-0.25,-0.15,0.03,-0.09,-0.03,0.03,-0.24,0,-0.27,-0.03,-0.07,1,-0.07,0.06,0.07,-0.28,0.34,0.53,0.09,0.19,0.32,0.04,0.2,0.13,-0.12
"TremblingaspenMixCD_500",-0.01,-0.01,-0.02,-0.02,-0.02,0.1,-0.03,-0.06,-0.03,-0.02,-0.01,-0.03,0.92,-0.08,0.92,-0.02,-0.03,-0.03,-0.02,-0.02,-0.02,-0.02,0.08,-0.02,-0.02,-0.02,-0.02,-0.01,-0.03,0.15,-0.02,-0.04,-0.08,-0.04,-0.01,-0.03,-0.04,0.92,-0.11,0.92,-0.02,-0.03,-0.04,-0.02,-0.02,-0.02,-0.03,-0.02,-0.02,-0.02,0.01,0.03,-0.06,-0.03,-0.06,-0.06,0.01,0.22,-0.03,-0.07,-0.13,-0.03,0.08,-0.04,-0.07,-0.07,0.97,-0.07,1,-0.02,-0.07,-0.05,-0.04,-0.05,-0.04,-0.03,-0.05,-0.02,-0.04,-0.05,0.03
"TremblingaspenMixD_500",-0.01,-0.05,-0.02,-0.02,-0.02,-0.07,-0.02,-0.05,-0.02,-0.01,-0.04,-0.03,-0.01,0.02,-0.01,0.98,0.08,-0.02,-0.01,-0.01,-0.02,-0.01,0,0.02,-0.06,-0.01,-0.02,-0.03,-0.02,-0.06,-0.01,-0.03,-0.03,-0.03,-0.02,-0.05,-0.03,-0.01,0.09,-0.01,0.98,0.05,-0.03,-0.01,-0.02,-0.01,-0.02,-0.01,-0.01,-0.02,-0.01,-0.04,-0.06,-0.02,0.07,0.03,-0.04,0.11,-0.02,-0.06,0.01,0.1,-0.06,0.04,0.04,-0.05,-0.02,0.06,-0.02,1,-0.04,-0.05,0.26,-0.04,-0.03,-0.03,-0.04,-0.02,0.36,-0.04,0.02
"TremblingaspenMixDC_500",0.06,0.02,-0.02,0.02,-0.06,-0.05,0.08,-0.14,-0.01,0.03,-0.1,0.06,-0.05,-0.02,-0.05,-0.05,0.43,-0.08,-0.05,0.09,-0.02,-0.05,0.23,0.12,-0.08,-0.05,-0.02,-0.06,-0.08,-0.15,-0.05,0.08,-0.12,0.01,-0.06,-0.14,0.08,-0.05,0.04,-0.05,-0.05,0.61,-0.09,-0.05,0.11,0.03,0,-0.04,0.16,-0.06,0.27,0.24,-0.08,-0.08,-0.01,-0.05,-0.13,-0.32,-0.05,0.16,-0.13,-0.02,0.01,-0.05,-0.2,0.01,-0.06,0.07,-0.07,-0.04,1,-0.07,-0.07,0.13,0.25,0.04,0.1,-0.07,0.18,0.13,0.4
"Water_500",-0.05,-0.03,-0.05,-0.05,0.01,-0.13,0.02,-0.1,0.1,-0.04,0.01,0.04,-0.03,-0.15,-0.03,-0.04,-0.03,0.53,0.65,-0.04,0.19,-0.03,0.01,-0.07,-0.08,-0.04,-0.05,-0.07,0.08,-0.22,-0.04,0.01,-0.11,0.31,0.05,0.01,0,-0.03,-0.21,-0.03,-0.04,0,0.77,0.65,-0.05,-0.04,0.22,-0.04,-0.04,-0.03,0.01,-0.23,-0.14,-0.06,-0.11,-0.06,0.28,-0.26,0,0.02,-0.13,-0.07,0.26,0.08,-0.08,-0.09,-0.04,-0.28,-0.05,-0.05,-0.07,1,0.12,-0.11,-0.08,-0.09,-0.04,-0.06,-0.03,0.05,0.19
"Whitebirch_500",-0.16,-0.03,-0.04,-0.03,-0.04,-0.01,0.03,-0.09,-0.04,-0.03,0.01,0.09,-0.03,0.33,-0.03,0.27,-0.05,-0.02,0.14,-0.03,0.01,-0.03,-0.01,-0.09,-0.01,-0.03,-0.04,-0.06,-0.03,-0.06,-0.03,0.04,-0.11,-0.02,-0.05,-0.06,0.03,-0.03,0.33,-0.03,0.27,-0.06,0.05,0.14,-0.03,-0.03,0.01,-0.03,-0.03,-0.04,0.02,-0.14,-0.01,-0.04,-0.1,-0.14,0.02,-0.03,-0.04,-0.05,-0.17,-0.05,-0.1,0.08,-0.04,-0.03,-0.03,0.34,-0.04,0.26,-0.07,0.12,1,-0.08,-0.07,-0.06,0,-0.04,0.16,0.11,-0.1
"WhitebirchMixD_500",0.08,-0.02,-0.05,-0.04,-0.04,0.02,-0.06,0,-0.06,-0.03,-0.11,-0.07,-0.03,0.08,-0.03,-0.03,0.13,-0.05,-0.03,0.61,-0.04,-0.03,-0.05,0,-0.05,-0.03,-0.05,-0.08,-0.06,-0.1,-0.03,-0.05,0.03,-0.08,-0.06,-0.13,-0.07,-0.03,0.31,-0.03,-0.03,0.14,-0.08,-0.03,0.68,0.04,0.03,-0.03,0.23,-0.05,-0.01,0.01,-0.06,-0.05,0.08,-0.06,-0.09,-0.22,-0.05,-0.1,0.01,-0.06,-0.06,-0.06,-0.18,-0.09,-0.04,0.53,-0.05,-0.04,0.13,-0.11,-0.08,1,0.19,0.28,0.05,-0.05,0.28,-0.1,-0.05
"WhitebirchMixDC_500",0.07,0.12,-0.04,-0.03,-0.03,-0.04,-0.05,-0.1,0.03,-0.03,-0.04,-0.06,-0.03,-0.12,-0.03,-0.03,0.33,-0.04,-0.03,-0.03,-0.03,-0.03,0.05,0.1,0.03,-0.03,-0.04,-0.06,-0.05,-0.13,-0.03,-0.07,-0.02,0.06,-0.05,-0.06,-0.05,-0.03,-0.02,-0.03,-0.03,0.4,-0.06,-0.03,0.03,0.5,-0.04,-0.03,0.49,-0.04,0.08,0.1,0.11,-0.04,-0.05,-0.02,-0.09,-0.27,-0.04,-0.14,0.11,-0.05,0.14,-0.09,-0.12,-0.03,-0.03,0.09,-0.04,-0.03,0.25,-0.08,-0.07,0.19,1,0.24,-0.08,-0.04,0.53,-0.08,0.06
"WhitebirchMixWet_500",0.14,-0.01,-0.03,-0.03,-0.03,0.05,-0.05,-0.09,-0.04,-0.02,-0.08,-0.05,-0.02,0.03,-0.02,-0.02,-0.04,-0.04,-0.02,-0.02,-0.03,-0.02,-0.04,0.08,0.06,-0.02,-0.03,-0.05,-0.04,-0.04,-0.02,-0.06,0,-0.05,-0.04,-0.09,-0.05,-0.02,0.15,-0.02,-0.02,-0.05,-0.06,-0.02,-0.03,-0.02,-0.04,-0.02,-0.02,-0.03,0.01,0.08,0.2,-0.04,-0.01,0.05,-0.08,-0.16,-0.04,-0.1,-0.04,-0.04,-0.11,-0.08,-0.14,-0.1,-0.03,0.19,-0.03,-0.03,0.04,-0.09,-0.06,0.28,0.24,1,-0.08,-0.04,0.04,-0.07,0
"Whitespruce_500",-0.1,-0.11,0,0.05,-0.05,-0.08,0.15,0.11,0.07,0.06,-0.02,0,-0.04,0.21,-0.04,-0.04,-0.06,-0.05,0.02,-0.04,0.24,-0.03,0.08,-0.12,-0.13,-0.03,0,0.07,-0.06,-0.17,-0.04,0.27,0.07,0.19,0.11,-0.06,0.02,-0.04,0.34,-0.04,-0.04,-0.05,-0.05,0.02,-0.04,-0.04,0.39,0.54,-0.04,-0.03,0.13,-0.09,-0.2,-0.06,0.26,0.09,-0.09,-0.18,0,0.15,0,0.02,0.07,0.09,-0.04,0.09,-0.04,0.32,-0.05,-0.04,0.1,-0.04,0,0.05,-0.08,-0.08,1,0.42,-0.1,0.16,0.19
"WhitespruceMixC_500",-0.11,-0.06,-0.02,-0.02,-0.02,-0.1,-0.03,0.22,0.12,-0.02,0.15,-0.04,-0.02,-0.04,-0.02,-0.02,-0.03,-0.02,-0.02,-0.02,-0.02,0.53,-0.01,-0.11,-0.09,-0.02,-0.02,-0.04,-0.03,-0.12,-0.02,-0.04,0.17,0.27,-0.03,0.22,-0.04,-0.02,0.03,-0.02,-0.02,-0.04,-0.04,-0.02,-0.02,-0.02,-0.03,0.81,-0.02,0.46,-0.01,-0.18,-0.14,-0.03,0.12,0.04,0.02,0.06,-0.03,-0.09,0.1,-0.03,0.12,-0.04,0.27,-0.07,-0.02,0.04,-0.02,-0.02,-0.07,-0.06,-0.04,-0.05,-0.04,-0.04,0.42,1,-0.04,0.09,0.03
"WhitespruceMixCD_500",-0.03,0.18,-0.04,0.01,-0.04,-0.11,-0.06,-0.09,-0.05,-0.03,-0.09,0.14,-0.03,-0.07,-0.03,0.37,0.3,-0.05,-0.03,0.24,-0.04,-0.03,0.03,-0.05,0.11,-0.03,-0.04,0.05,-0.05,-0.17,-0.03,-0.07,-0.04,-0.07,-0.05,-0.09,0.07,-0.03,0.06,-0.03,0.37,0.39,0.01,-0.03,0.28,-0.03,-0.05,-0.03,0.45,-0.04,0.05,-0.08,0.11,-0.05,-0.08,-0.11,-0.09,-0.11,-0.05,-0.15,0.03,-0.05,0.04,-0.08,-0.11,-0.01,-0.04,0.2,-0.04,0.36,0.18,-0.03,0.16,0.28,0.53,0.04,-0.1,-0.04,1,-0.09,0.05
"WhitespruceMixWet_500",-0.07,0.06,-0.05,-0.04,-0.04,-0.15,0.3,0.06,-0.03,-0.03,-0.05,-0.07,-0.03,0.21,-0.03,-0.03,-0.06,0.07,-0.03,-0.03,-0.04,0.19,0.16,-0.03,-0.02,-0.03,-0.05,-0.07,-0.06,-0.22,-0.03,0.29,0.03,0,-0.06,-0.01,-0.07,-0.03,0.21,-0.03,-0.03,-0.07,0.04,-0.03,-0.04,-0.03,-0.05,0.01,-0.03,0.37,0.18,-0.01,-0.09,-0.05,-0.02,0.11,-0.08,-0.22,0.05,0.08,0.09,0.21,0,0.04,-0.07,0.07,-0.04,0.13,-0.05,-0.04,0.13,0.05,0.11,-0.1,-0.08,-0.07,0.16,0.09,-0.09,1,0.29
"wtage_500",0.18,0.07,-0.07,-0.06,-0.07,-0.22,0.15,-0.12,0.03,-0.06,-0.18,-0.03,0,0.06,0,0.02,0.02,0.05,0.05,-0.04,0.26,-0.05,0.51,0.21,0,-0.12,-0.07,-0.09,-0.05,-0.29,0.27,0.21,-0.14,0.1,0.08,-0.22,-0.03,0,0.06,0,0.02,0.09,0.08,0.05,-0.05,-0.02,0.25,0.1,-0.02,-0.04,0.57,0.26,0.06,-0.2,-0.06,-0.08,-0.05,-0.46,0.39,0.45,-0.09,-0.01,-0.05,0.02,-0.33,-0.01,0.03,-0.12,0.03,0.02,0.4,0.19,-0.1,-0.05,0.06,0,0.19,0.03,0.05,0.29,1
