,SS,Blackspruce_500,BlackspruceMixCD_500,BlackspruceMixDC_500,Bog_500,Fen_500,GrassHerb_500,Jackpine_500,JackpineMixC_500,JackpineMixCD_500,JackpineMixWet_500,Marsh_500,Shrub_500,Swamp_500,Tamarack_500,TamarackMixCD_500,TamarackMixDC_500,Tremblingaspen_500,TremblingaspenMixCD_500,TremblingaspenMixD_500,TremblingaspenMixDC_500,Water_500,Whitebirch_500,WhitebirchMixD_500,WhitebirchMixDC_500,WhitebirchMixWet_500,Whitespruce_500,WhitespruceMixC_500,WhitespruceMixCD_500,WhitespruceMixWet_500,wtage_500
28,BG_15_34,497575.5875,22120.68406,0,0,0,791.0416877,143379.2155,0,0,36701.24435,0,0,0,0,0,9372.333553,44421.41521,30208.80374,0,807.3426341,0,0,0,0,0,0,0,0,0,97.76623377
29,BG_15_35,169561.0195,35386.45799,0,0,18.27591743,26745.3411,342828.3592,0,0,0,0,29834.16185,0,0,0,41940.69837,53475.65174,75498.61215,0,0,10090.05606,0,0,0,0,0,0,0,0,90.10144928
30,BG_15_36,49314.10864,0,0,0,0,0,328296.3919,0,0,27660.47527,0,40277.84166,0,244315.7284,6101.844255,389.2143606,70354.642,0,0,0,18628.69753,0,0,0,0,0,0,0,0,84.24390244
31,BG_15_37,32922.79235,50179.29861,0,0,0,7731.856732,279061.7398,0,0,10251.08595,0,0,0,383375.7534,6110.061066,0,4703.690927,0,0,0,11041.92032,0,0,0,0,0,0,0,0,85.63865546
32,BG_15_38,228768.6652,80846.92993,0,0,0,67846.19892,159540.7634,0,0,63552.47246,0,0,0,156236.8519,0,0,0,0,0,0,28584.20638,0,0,0,0,0,0,0,0,86.32038835
33,BG_15_39,198542.8903,107966.815,0,1206.629536,3776.343101,32903.28703,50934.2967,0,24714.61156,116785.7195,0,0,1282.50037,174724.9787,0,0,36722.81271,0,0,20345.9915,963.9898197,0,0,0,0,14507.17275,0,0,0,86.44460857
34,BG_15_4,562719.7214,23597.99253,0,0,0,0,46857.52238,0,47849.49311,0,0,0,0,0,0,0,6847.847946,0,0,72237.86956,0,0,0,0,0,683.928272,0,0,24582.54948,105.539924
35,BG_15_40,127129.9608,44300.49002,0,0,0,0,170185.147,0,132259.7871,59043.96623,0,0,0,19791.30222,0,0,145029.0604,0,0,20345.9915,0,0,0,0,0,33598.51321,0,0,33693.76927,87.87343533
36,BG_15_41,149295.8528,27655.57376,0,0,0,0,258671.7511,0,0,0,0,0,0,224496.9438,0,0,125255.404,0,0,0,0,0,0,0,0,0,0,0,0,83.70588235
37,BG_15_42,233835.2104,440.2056784,0,2339.850502,6345.200887,0,394000.7114,0,0,450.5588766,0,0,0,0,0,0,143842.4457,0,0,0,0,0,701.3474399,0,3422.507691,0,0,0,0,81.103125
38,BG_15_43,365496.9786,0,0,2339.850502,6345.200887,0,144218.1812,0,0,36741.44216,0,0,0,0,0,0,171581.1816,0,0,12888.14606,30574.98278,0,15190.75607,0,0,0,0,0,0,85.82098765
39,BG_15_44,415676.0047,70632.83648,0,0,1513.66188,0,88957.68045,0,0,0,0,0,1188.162091,0,0,0,28659.58445,0,0,236.6438893,178515.2077,0,0,0,0,0,0,0,0,93.46428571
40,BG_15_45,278172.8498,164250.4886,0,0,1513.66188,0,209596.4409,0,0,0,0,16417.89256,1188.162091,0,0,0,83348.29852,10463.03436,0,0,20428.0374,0,0,0,0,0,0,0,0,89.02439024
41,BG_15_46,155563.1684,58738.13935,0,0,0,0,265697.5771,0,0,4064.61641,0,21542.49086,0,63744.25613,111139.4777,0,89662.0325,0,0,0,15225.35466,0,0,0,0,0,0,0,0,85.25
42,BG_15_47,123136.0393,31696.62375,0,281.3433298,2976.139022,0,174644.4311,0,0,60686.28128,0,49645.92105,0,219953.185,66917.37342,0,11320.25064,0,0,0,44118.04222,0,0,0,0,0,0,0,0,85.73728814
43,BG_15_48,203799.9152,16018.34535,0,1305.566447,3518.977249,0,137893.7253,0,0,72211.84792,0,5905.794437,0,341607.8337,0,0,3113.994471,0,0,0,0,0,0,0,0,0,0,0,0,85.08879493
44,BG_15_49,119686.8212,11181.9506,0,1102.533515,706.7419146,0,178539.2822,0,0,100598.769,0,9713.929687,0,335920.8463,0,0,23039.68525,0,0,0,487.318687,0,0,0,0,0,4399.686572,0,0,83.86178862
45,BG_15_5,221831.3828,219244.7348,0,0,0,0,131508.5571,0,80923.30381,124284.0323,0,0,0,7586.843853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.85897436
46,BG_15_50,219016.2447,0,0,0,3292.666323,0,367055.609,0,3234.780088,83924.91227,0,50670.7064,0,46695.66852,0,0,9744.696849,0,0,0,1742.639565,0,0,0,0,0,0,0,0,83.10029499
47,BG_15_51,314230.1567,30626.70396,0,0,0,0,298776.5668,0,0,0,0,0,0,94849.32088,0,0,46892.37983,0,0,0,0,0,0,0,0,0,0,0,0,82.24712644
48,BG_15_52,278576.729,33627.15723,2288.90489,0,0,0,221320.2294,0,0,67762.43055,0,0,0,13426.95509,0,0,168374.3743,0,0,0,0,0,0,0,0,0,0,0,0,80.53723404
49,BG_15_53,230246.4367,80574.50878,6625.614366,0,0,0,154214.6209,0,0,130240.9666,0,0,0,7795.690462,11237.38235,0,130503.6961,0,0,0,33937.78513,0,0,0,0,0,0,0,0,82.14893617
50,BG_15_54,191806.0723,142527.568,0,0,0,0,122062.9478,0,0,5231.421772,0,0,0,706.3014344,27058.02027,0,82602.68298,0,0,0,176759.3093,9308.452642,0,0,0,0,0,27313.34003,0,91.9020979
51,BG_15_55,253888.4448,91100.79522,0,0,0,0,209836.8625,0,0,15769.03766,0,0,0,7471.169427,545.0710415,0,199758.2572,0,0,0,0,0,0,0,0,0,0,7008.044159,0,89.08108108
52,BG_15_56,391261.6002,0,0,0,0,0,286855.4434,0,0,26453.64296,0,1502.852103,0,0,23071.33953,0,56234.03139,0,0,0,0,0,0,0,0,0,0,0,0,84.07117438
53,BG_15_57,206398.2672,8543.698452,0,0,1747.012061,62501.33286,133826.439,0,0,92151.75598,0,57117.88502,0,142144.5729,2570.905346,0,8824.975827,0,0,0,69159.56096,0,0,0,0,0,0,0,390.4151979,84.18442623
54,BG_15_58,99189.96103,0,0,1430.800455,4020.143195,54104.36613,171684.5348,0,0,65791.1852,0,7174.500103,443.0371498,294281.6614,0,0,48500.23232,0,0,0,11450.28716,0,0,0,0,659.031432,10491.27416,0,16159.78139,86.51824818
55,BG_15_59,63049.94543,0,0,1102.533515,706.7419146,0,176718.5704,0,0,113720.0489,0,39001.28383,0,86466.69408,0,0,194809.7661,0,0,2378.79269,1139.714786,0,0,0,0,86932.42596,15647.07232,0,3703.997094,96.41873805
56,BG_15_6,82760.59623,241972.9828,0,0,0,0,82589.93796,0,28272.35929,272590.7184,0,0,0,38353.3434,38838.10846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.36246787
57,BG_15_60,331025.9511,0,0,0,3292.666323,0,228042.7948,0,0,34034.19594,0,63170.4947,0,0,0,0,84991.91169,0,0,3563.977405,1457.176386,0,0,0,0,35796.89003,0,0,0,84.27377522
58,BG_15_61,289618.5756,78227.79526,0,0,0,0,268772.5374,0,0,0,0,0,0,85268.18495,0,0,63489.85764,0,0,0,0,0,0,0,0,0,0,0,0,82.59855335
59,BG_15_62,219029.2738,45428.43873,24822.09635,0,2551.656642,0,272238.9573,0,0,39953.9201,0,0,1704.261119,17655.55972,37148.78899,0,124361.8021,0,0,0,0,0,0,0,0,482.6603072,0,0,0,82.17460317
60,BG_15_63,75255.09026,23941.83082,24822.09635,0,2551.656642,0,210860.5768,0,0,54400.14853,0,0,1704.261119,232048.911,37148.78899,0,122644.6055,0,0,0,0,0,0,0,0,0,0,0,0,82.4302926
61,BG_15_64,177673.619,33813.6112,0,0,0,0,260730.5188,0,0,33111.94953,0,0,0,79928.13399,0,0,145316.5914,0,18181.00832,0,0,9308.452642,0,0,0,0,0,27313.88872,0,91.49152542
62,BG_15_65,314543.8297,10660.27096,0,0,2384.895728,4012.887047,231794.1167,0,0,63171.24095,0,0,0,28527.90017,0,0,99958.9373,0,24.8658302,0,10244.70397,0,0,0,0,0,0,20054.32355,0,89.40826873
63,BG_15_66,320201.9754,21057.31007,0,0,0,8221.038204,305628.8057,0,0,64156.94714,0,17100.30847,0,34173.94108,3769.543639,0,3075.994147,0,0,0,7991.260879,0,0,0,0,0,0,0,0,83.63035019
64,BG_15_67,262696.0272,0,0,159.1695,460.4058864,45788.46426,177883.7512,0,0,137446.1467,0,38726.96272,0,15398.87996,25915.54828,0,20258.44991,0,0,4749.291857,55896.56597,0,0,0,0,0,0,0,0,84.22906793
65,BG_15_68,157492.6696,0,0,2817.147968,1731.099256,31926.65514,114725.4278,0,22021.41916,50937.31071,0,963.6400066,1343.03715,23044.75387,0,0,234861.9675,0,0,27115.45953,53482.75444,0,29031.05004,0,0,33658.65867,0,0,223.4032854,88.31389365
66,BG_15_69,188846.7044,0,0,2691.91396,1229.933309,0,10676.07644,0,24668.86446,69760.24776,0,0,0,0,33210.43069,0,311520.5533,0,0,27105.05731,0,0,19594.97009,0,0,96070.41975,0,0,0,94.68249258
67,BG_15_7,144781.8182,166668.0661,0,0,0,51099.08902,133167.0606,0,0,117840.1733,0,0,0,31689.21123,30161.35476,0,0,0,0,0,109971.019,0,0,0,0,0,0,0,0,96.43589744
68,BG_15_70,456896.7028,38476.50214,0,0,0,0,0,0,0,70966.82884,0,0,0,0,33210.43069,0,165574.8548,0,0,3563.977405,0,0,0,0,0,16687.47678,0,0,0,80.87777778
69,BG_15_71,406064.1273,51460.03723,0,0,1613.029333,0,196335.5691,0,0,28262.15986,0,0,118.0554148,0,19.65934603,0,101504.9543,0,0,0,0,0,0,0,0,0,0,0,0,86.75835866
70,BG_15_72,119837.7303,45434.48379,0,0,131.3777098,0,163670.5576,0,0,87909.41386,0,0,860.5340204,47053.08901,87036.78095,0,206859.0606,0,0,0,0,0,0,0,0,26586.04485,0,0,0,85.07191316
71,BG_15_73,54526.02973,145025.1037,0,6239.47683,13907.01178,0,16383.29831,0,0,105864.5974,1912.191825,0,13094.65073,246310.9263,98004.71087,0,57522.55861,0,0,0,0,0,0,0,0,26586.04485,0,0,0,86.49621785
72,BG_15_74,226280.1358,31296.89039,0,6846.75169,12223.69871,0,45275.1404,0,0,251158.5394,2742.395068,0,8391.324454,66897.07103,5464.199897,0,102252.9789,0,3312.441404,23236.12805,0,0,0,0,0,0,0,0,0,88.41676505
73,BG_15_75,147188.4926,87480.08471,0,0,0,5868.017813,189374.8513,0,0,173494.4173,0,72890.64956,0,67690.93204,34675.625,0,0,0,0,5784.820901,882.0872556,0,0,0,0,0,0,47.07743673,0,84.3909465
