"","Predictor","Estimate","SE","LCL","UCL"
"1","lam(Int)",0.863479873398812,4.26680790900964,-7.49946362826008,9.2264233750577
"2","lam(Species_Pice_Mar_v1_150)",-0.876798379451822,0.316856178809915,-1.49783648991926,-0.255760268984389
"3","lam(SpeciesGroups_Needleleaf_Spp_v1_150)",1.6636264474206,0.478382227216226,0.725997282076802,2.60125561276441
"4","lam(Structure_Stand_CrownClosure_v1_150)",-1.35632169860003,0.393406659155127,-2.12739875054408,-0.585244646655981
"5","p(Int)",-4.39256640580193,4.33862489617533,-12.8962712023056,4.11113839070171
