"","Predictor","Estimate","SE","LCL","UCL"
"1","lam(Int)",-0.090173150590658,0.393697905966312,-0.86182104628463,0.681474745103314
"2","lam(SpeciesGroups_Needleleaf_Spp_v1_50)",0.420099999379862,0.214319884997432,3.30247848959742e-05,0.840166973974829
"3","lam(Structure_Biomass_TotalLiveAboveGround_v1_50)",-0.366114197816787,0.184004698790598,-0.72676340744636,-0.0054649881872138
"4","p(Int)",-2.03815067151186,0.454486369229124,-2.92894395520094,-1.14735738782277
"5","p(Julian)",-0.421534303446572,0.18863114719783,-0.791251351954318,-0.0518172549388264
