"","Predictor","Estimate","SE","LCL","UCL"
"1","lam(Int)",-10.5697680464355,21.5497800527666,-52.807336949858,31.6678008569869
"2","lam(LandCover_NonVeg_v1_150)",-0.794425559707632,0.539229387694507,-1.85131515958887,0.262464040173601
"3","lam(Species_Popu_Bal_v1_150)",0.342390363417817,0.12323917613626,0.100841578190747,0.583939148644887
"4","lam(Species_Sali_Spp_v1_150)",-44.251056272955,95.1735143540372,-230.791144406868,142.289031860958
"5","p(Int)",-1.34514161245064,0.373797581743098,-2.07778487266711,-0.612498352234162
