"","Predictor","Estimate","SE","LCL","UCL"
"1","lam(Int)",1.21750495100952,0.611567616527047,0.0188324226165095,2.41617747940254
"2","lam(Species_Pinu_Ban_v1_150)",0.386497424263746,0.126229604504559,0.139087399434809,0.633907449092682
"3","lam(Structure_Stand_CrownClosure_v1_150)",-0.421763600616206,0.125392612067833,-0.667533120269158,-0.175994080963255
"4","p(Int)",-2.6747419431255,0.662776048938504,-3.97378299904497,-1.37570088720604
"5","p(Julian)",0.279761037287441,0.128661132488693,0.0275852176096024,0.53193685696528
