"","Predictor","Estimate","SE","LCL","UCL"
"1","lam(Int)",-2.35732127238042,0.472997398179003,-3.28439617281127,-1.43024637194957
"2","lam(LandCover_NonVeg_v1_150)",-1.46921912674225,0.547964689979385,-2.54322991910184,-0.395208334382654
"3","lam(Structure_Biomass_TotalDead_v1_150)",-1.52311265050521,0.573998716868065,-2.64815013556661,-0.3980751654438
"4","lam(Structure_Stand_CrownClosure_v1_150)",-2.226790957518,0.630596823129786,-3.46276073085238,-0.990821184183621
"5","p(Int)",-0.845637686078858,0.460502553385762,-1.74822269071495,0.0569473185572347
