"","Predictor","Estimate","SE","LCL","UCL"
"1","lam(Int)",0.652192255797724,0.361657909379855,-0.0566572465867914,1.36104175818224
"2","lam(SpeciesGroups_Needleleaf_Spp_v1_150)",0.494659668829246,0.131036682328387,0.237827771465608,0.751491566192884
"3","lam(Structure_Stand_CrownClosure_v1_150)",-0.872772671944211,0.140230072825824,-1.14762361468283,-0.597921729205596
"4","p(Int)",-2.2492545602167,0.407563229844743,-3.0480784907124,-1.450430629721
"5","p(Julian)",-0.538792677970548,0.128413223864716,-0.790482596745392,-0.287102759195705
