"","model","formula","lam(Int)","SElam(Int)","lam(S500.mean.VPD__1.2m_Grid.1x1m)","SElam(S500.mean.VPD__1.2m_Grid.1x1m)","lam(S500.mean.VPD__10.11m_Grid.1x1m)","SElam(S500.mean.VPD__10.11m_Grid.1x1m)","lam(S500.mean.VPD__2.3m_Grid.1x1m)","SElam(S500.mean.VPD__2.3m_Grid.1x1m)","lam(S500.mean.VPD__3.4m_Grid.1x1m)","SElam(S500.mean.VPD__3.4m_Grid.1x1m)","lam(S500.mean.VPD__4.5m_Grid.1x1m)","SElam(S500.mean.VPD__4.5m_Grid.1x1m)","lam(S500.mean.VPD__5.6m_Grid.1x1m)","SElam(S500.mean.VPD__5.6m_Grid.1x1m)","lam(S500.mean.VPD__6.7m_Grid.1x1m)","SElam(S500.mean.VPD__6.7m_Grid.1x1m)","lam(S500.mean.VPD__7.8m_Grid.1x1m)","SElam(S500.mean.VPD__7.8m_Grid.1x1m)","lam(S500.mean.VPD__8.9m_Grid.1x1m)","SElam(S500.mean.VPD__8.9m_Grid.1x1m)","lam(S500.mean.VPD__9.10m_Grid.1x1m)","SElam(S500.mean.VPD__9.10m_Grid.1x1m)","lam(S500.mean_MaxHeight)","SElam(S500.mean_MaxHeight)","lam(S500.sd_PercCanopyDensity)","SElam(S500.sd_PercCanopyDensity)","p(Int)","SEp(Int)","p(Julian)","SEp(Julian)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt"
"82","4/13","~1 ~ S500.mean.VPD__2.3m_Grid.1x1m + S500.sd_PercCanopyDensity + 1",-8.38183806008775,3.01940062090295,NA,NA,NA,NA,0.00110109891004912,0.000541551185556441,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.245028093315072,0.0988156684019375,-1.8791104423267,0.788872312381076,NA,NA,0,31938818.8063635,51.185318837819,4,98,110.370637675638,3.59719778033173,0.00562215247598615,NA,0.950342632864301
"83","5/13","~1 ~ S500.mean.VPD__3.4m_Grid.1x1m + S500.sd_PercCanopyDensity + 1",-8.38240876221908,3.01952108630559,NA,NA,NA,NA,NA,NA,0.00110077161061502,0.000541328452441314,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.245044735814385,0.0988190171471339,-1.87910329825164,0.788835800064666,NA,NA,0,31967923.7095395,51.1853269177816,4,98,110.370653835563,3.59721394025686,0.00562210704938811,NA,0.955964739913689
"84","6/13","~1 ~ S500.mean.VPD__4.5m_Grid.1x1m + S500.sd_PercCanopyDensity + 1",-8.3827511831272,3.01959683169668,NA,NA,NA,NA,NA,NA,NA,NA,0.001100560956838,0.000541185434652899,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.245054650561932,0.0988211364648277,-1.87910065858252,0.788813167165825,NA,NA,0,31986588.2201557,51.1853314091602,4,98,110.37066281832,3.59722292301423,0.00562208179843306,NA,0.961586821712122
"85","7/13","~1 ~ S500.mean.VPD__5.6m_Grid.1x1m + S500.sd_PercCanopyDensity + 1",-8.38302063997749,3.01965447341708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00110040246923646,0.000541077779262802,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.245062446905304,0.0988227462100298,-1.87909686692589,0.788795171037272,NA,NA,0,32000659.4593731,51.1853429314814,4,98,110.370685862963,3.59724596765663,0.00562201701937396,NA,0.967208838731496
"86","8/13","~1 ~ S500.mean.VPD__6.7m_Grid.1x1m + S500.sd_PercCanopyDensity + 1",-8.38321568840703,3.01969656401621,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00110029207023612,0.000541002742445085,NA,NA,NA,NA,NA,NA,NA,NA,0.245068097248405,0.0988239286724409,-1.87909380624998,0.788782149097081,NA,NA,0,32010513.8373537,51.1853527797237,4,98,110.370705559447,3.59726566414113,0.00562196165266105,NA,0.972830800384157
"87","9/13","~1 ~ S500.mean.VPD__7.8m_Grid.1x1m + S500.sd_PercCanopyDensity + 1",-8.38337729425864,3.01973087570675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00110020433494683,0.000540943075687584,NA,NA,NA,NA,NA,NA,0.245072792591245,0.0988248927475109,-1.87909085909657,0.788771504409702,NA,NA,0,32018372.2928496,51.1853619956686,4,98,110.370723991337,3.59728409603088,0.00562190984121114,NA,0.978452710225368
"88","10/13","~1 ~ S500.mean.VPD__8.9m_Grid.1x1m + S500.sd_PercCanopyDensity + 1",-8.38354191966818,3.01976408912036,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00110011938312561,0.000540885205734095,NA,NA,NA,NA,0.245077611101745,0.0988258182197737,-1.87908757145251,0.788761143804184,NA,NA,0,32025999.0319069,51.1853723517004,4,98,110.370744703401,3.59730480809459,0.00562185162083519,NA,0.984074561846204
"89","11/13","~1 ~ S500.mean.VPD__9.10m_Grid.1x1m + S500.sd_PercCanopyDensity + 1",-8.38372982312667,3.01980150613613,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00110002470670574,0.000540820820638044,NA,NA,0.245083125384945,0.0988268546207622,-1.87908362442045,0.788749532719684,NA,NA,0,32034498.6963263,51.1853859775012,4,98,110.370771955002,3.59733205969617,0.00562177501912681,NA,0.98969633686533
"90","3/13","~1 ~ S500.mean.VPD__10.11m_Grid.1x1m + S500.sd_PercCanopyDensity + 1",-8.3839400782941,3.01984206291671,NA,NA,0.00109992406066138,0.000540752392272197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.245089309500016,0.0988279712097537,-1.87907853334805,0.78873665082032,NA,NA,0,32043553.5955785,51.1854039889162,4,98,110.370807977832,3.5973680825262,0.0056216737639157,NA,0.995318010629246
"91","1/13","~Julian + 1 ~ S500.sd_PercCanopyDensity + 1",-6.31780845427577,2.93270948725576,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.173045740833521,0.09689100204985,1.5680796707904,3.69381405635303,-0.0210645896414582,0.021537398186889,0,2860919.96931828,51.3683103324123,4,98,110.736620664825,3.96318076951843,0.00468198937075387,NA,1
