"","model","formula","lam(Int)","SElam(Int)","lam(Int)","SElam(Int)","lam(Int)","SElam(Int)","lam(Int)","SElam(Int)","lam(S500.VPD__100.150cm_Grid.1x1m.mean)","SElam(S500.VPD__100.150cm_Grid.1x1m.mean)","lam(S500.VPD__100.150cm_Grid.1x1m.mean)","SElam(S500.VPD__100.150cm_Grid.1x1m.mean)","lam(S500.VPD__150.200cm_Grid.1x1m.mean)","SElam(S500.VPD__150.200cm_Grid.1x1m.mean)","lam(S500.VPD__150.200cm_Grid.1x1m.mean)","SElam(S500.VPD__150.200cm_Grid.1x1m.mean)","lam(S500.VPD__2.3m_Grid.1x1m.mean)","SElam(S500.VPD__2.3m_Grid.1x1m.mean)","lam(S500.VPD__50.100cm_Grid.1x1m.mean)","SElam(S500.VPD__50.100cm_Grid.1x1m.mean)","lam(S500.VPD__50.100cm_Grid.1x1m.mean)","SElam(S500.VPD__50.100cm_Grid.1x1m.mean)","lam(S500.VPD__50.100cm_Grid.1x1m.mean)","SElam(S500.VPD__50.100cm_Grid.1x1m.mean)","p(Int)","SEp(Int)","p(Int)","SEp(Int)","p(Int)","SEp(Int)","p(Int)","SEp(Int)","p(Julian)","SEp(Julian)","p(Julian)","SEp(Julian)","p(Julian)","SEp(Julian)","p(Julian)","SEp(Julian)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt"
"1","1/7/12","~Julian + 1 ~ S500.VPD__150.200cm_Grid.1x1m.mean + S500.VPD__50.100cm_Grid.1x1m.mean + 1",-2.81707688461296,0.478144268070337,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.37972806863397,0.507340459301348,NA,NA,NA,NA,1.63085094884388,0.392525785691913,NA,NA,NA,NA,0.363773052800812,0.479989058942708,NA,NA,NA,NA,NA,NA,1.23874392906723,0.491258308074813,NA,NA,NA,NA,NA,NA,0,13.6212354044278,52.213391336997,5,98,114.426782673994,0,0.647664109409141,NA,0.647664109409141
"2","1/5/12","~Julian + 1 ~ S500.VPD__100.150cm_Grid.1x1m.mean + S500.VPD__50.100cm_Grid.1x1m.mean + 1",-2.69039850885424,0.45246377650317,NA,NA,NA,NA,NA,NA,-3.04032829141938,0.690318254877206,NA,NA,NA,NA,NA,NA,NA,NA,2.48021881181145,0.574878405889351,NA,NA,NA,NA,0.378085493184361,0.477570275996423,NA,NA,NA,NA,NA,NA,1.2314471626398,0.48860251026932,NA,NA,NA,NA,NA,NA,0,19.7750725715751,53.5575748849136,5,98,117.115149769827,2.68836709583313,0.168880044048766,NA,0.816544153457907
"3","1/8/12","~Julian + 1 ~ S500.VPD__2.3m_Grid.1x1m.mean + S500.VPD__50.100cm_Grid.1x1m.mean + 1",-2.78550179939986,0.478783972938471,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.90918723439916,0.484243061332976,1.1857015113492,0.390410139651501,NA,NA,NA,NA,0.415102015751576,0.471306619077123,NA,NA,NA,NA,NA,NA,1.20583761221806,0.486023240616369,NA,NA,NA,NA,NA,NA,0,15.4199175882437,54.1427580747354,5,98,118.285516149471,3.85873347547684,0.0940668288185843,NA,0.910610982276491
"4","1/5/7","~Julian + 1 ~ S500.VPD__100.150cm_Grid.1x1m.mean + S500.VPD__150.200cm_Grid.1x1m.mean + 1",-2.85088449350784,0.506828358160846,NA,NA,NA,NA,NA,NA,3.34522087790618,1.03903862990917,NA,NA,-4.32236607414266,1.21174576528669,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.441627242767869,0.47141889282475,NA,NA,NA,NA,NA,NA,1.17609368712125,0.485881728478942,NA,NA,NA,NA,NA,NA,0,117.197803295576,54.1937657189049,5,98,118.38753143781,3.96074876381589,0.089389017723509,NA,1
