"","model","formula","lam(Int)","SElam(Int)","lam(S150.mean_MaxHeight)","SElam(S150.mean_MaxHeight)","lam(S150.sd_PercCanopyDensity)","SElam(S150.sd_PercCanopyDensity)","lam(S150.VPD__10.11m_Grid.1x1m.mean)","SElam(S150.VPD__10.11m_Grid.1x1m.mean)","lam(S150.VPD__100.150cm_Grid.1x1m.mean)","SElam(S150.VPD__100.150cm_Grid.1x1m.mean)","lam(S150.VPD__11.12m_Grid.1x1m.mean)","SElam(S150.VPD__11.12m_Grid.1x1m.mean)","lam(S150.VPD__150.200cm_Grid.1x1m.mean)","SElam(S150.VPD__150.200cm_Grid.1x1m.mean)","lam(S150.VPD__2.3m_Grid.1x1m.mean)","SElam(S150.VPD__2.3m_Grid.1x1m.mean)","lam(S150.VPD__3.4m_Grid.1x1m.mean)","SElam(S150.VPD__3.4m_Grid.1x1m.mean)","lam(S150.VPD__4.5m_Grid.1x1m.mean)","SElam(S150.VPD__4.5m_Grid.1x1m.mean)","lam(S150.VPD__5.6m_Grid.1x1m.mean)","SElam(S150.VPD__5.6m_Grid.1x1m.mean)","lam(S150.VPD__50.100cm_Grid.1x1m.mean)","SElam(S150.VPD__50.100cm_Grid.1x1m.mean)","lam(S150.VPD__6.7m_Grid.1x1m.mean)","SElam(S150.VPD__6.7m_Grid.1x1m.mean)","lam(S150.VPD__7.8m_Grid.1x1m.mean)","SElam(S150.VPD__7.8m_Grid.1x1m.mean)","lam(S150.VPD__8.9m_Grid.1x1m.mean)","SElam(S150.VPD__8.9m_Grid.1x1m.mean)","lam(S150.VPD__9.10m_Grid.1x1m.mean)","SElam(S150.VPD__9.10m_Grid.1x1m.mean)","p(Int)","SEp(Int)","p(Julian)","SEp(Julian)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt"
"59","3/12","~1 ~ S150.sd_PercCanopyDensity + S150.VPD__50.100cm_Grid.1x1m.mean + 1",-0.509296600437728,0.331231207439806,NA,NA,-0.101188326603555,0.205498572124734,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.315823323363405,0.171828884588917,NA,NA,NA,NA,NA,NA,NA,NA,-1.51368911797017,0.399936300622086,NA,NA,0,14.4415504038861,133.507719327423,4,98,275.015438654847,2.32730262615047,0.00491132535698627,NA,0.416738939225813
"60","2/5/16","~1 ~ S150.mean_MaxHeight + S150.VPD__100.150cm_Grid.1x1m.mean + S150.VPD__9.10m_Grid.1x1m.mean + 1",-0.495560512195191,0.356062006586908,0.401331138793866,0.248640806783928,NA,NA,NA,NA,0.19825237472536,0.194419620453753,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.498531277798122,0.292385552695334,-1.57913981862159,0.426858137442554,NA,NA,0,21.6556138594136,132.512089209613,5,98,275.024178419227,2.33604239053022,0.00488991026856513,NA,0.421628849494378
"61","4/12","~1 ~ S150.VPD__10.11m_Grid.1x1m.mean + S150.VPD__50.100cm_Grid.1x1m.mean + 1",-0.51532608684297,0.330148323069931,NA,NA,NA,NA,-0.117840234234867,0.24467419304816,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.223482483142592,0.220050044951984,NA,NA,NA,NA,NA,NA,NA,NA,-1.51024204672107,0.39799564397518,NA,NA,0,17.3493986287144,133.515252147017,4,98,275.030504294033,2.34236826533663,0.00487446822246471,NA,0.426503317716843
"62","5/9","~1 ~ S150.VPD__100.150cm_Grid.1x1m.mean + S150.VPD__3.4m_Grid.1x1m.mean + 1",-0.510072044986485,0.330645722915518,NA,NA,NA,NA,NA,NA,0.410674432567302,0.22753691182901,NA,NA,NA,NA,NA,NA,-0.27758558007783,0.247039204333983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.51473488552156,0.399075351736026,NA,NA,0,14.5120603923721,133.524416012376,4,98,275.048832024751,2.36069599605463,0.00483000329843253,NA,0.431333321015275
"63","4/15/16","~1 ~ S150.VPD__10.11m_Grid.1x1m.mean + S150.VPD__8.9m_Grid.1x1m.mean + S150.VPD__9.10m_Grid.1x1m.mean + 1",-0.491585789746261,0.368969197622964,NA,NA,NA,NA,3.56083466552789,2.34736587887715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.09368713443567,1.81065557353053,-6.81801914943604,4.06558546557264,-1.61825927437168,0.442507831292925,NA,NA,0,2391.22248972557,132.53051097493,5,98,275.061021949859,2.37288592116266,0.00480065414105695,NA,0.436133975156332
"64","6/14/16","~1 ~ S150.VPD__11.12m_Grid.1x1m.mean + S150.VPD__7.8m_Grid.1x1m.mean + S150.VPD__9.10m_Grid.1x1m.mean + 1",-0.471543534517905,0.368787206931834,NA,NA,NA,NA,NA,NA,NA,NA,1.33017377546332,0.922166939539749,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.16203477734807,0.671461855842218,NA,NA,-2.52669363281921,1.43434666877906,-1.6180021745748,0.443657504746812,NA,NA,0,277.366465052704,132.534422507913,5,98,275.068845015826,2.38070898712965,0.00478191290142556,NA,0.440915888057758
"65","6/12","~1 ~ S150.VPD__11.12m_Grid.1x1m.mean + S150.VPD__50.100cm_Grid.1x1m.mean + 1",-0.515072750009005,0.329627438835453,NA,NA,NA,NA,NA,NA,NA,NA,-0.0882460555105107,0.247544570069392,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.243095256029179,0.218656708313477,NA,NA,NA,NA,NA,NA,NA,NA,-1.50856403539829,0.397403221181823,NA,NA,0,16.9704468187813,133.566644962239,4,98,275.133289924477,2.44515389578089,0.00463028397868473,NA,0.445546172036442
"66","10/13/14","~1 ~ S150.VPD__4.5m_Grid.1x1m.mean + S150.VPD__6.7m_Grid.1x1m.mean + S150.VPD__7.8m_Grid.1x1m.mean + 1",-0.473968078364024,0.357329957726859,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.10822784375684,0.643294725423121,NA,NA,NA,NA,4.05940425705787,2.01596298663085,-3.40475458445872,1.6156322484839,NA,NA,NA,NA,-1.60514355043131,0.430210275405889,NA,NA,0,716.406416940685,132.574521318285,5,98,275.149042636571,2.46090660787411,0.00459395746156187,NA,0.450140129498004
"67","14/16","~1 ~ S150.VPD__7.8m_Grid.1x1m.mean + S150.VPD__9.10m_Grid.1x1m.mean + 1",-0.500299434254131,0.335737561060616,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.34233385102813,0.34286509253452,NA,NA,-0.573520467798712,0.370047934079419,-1.53233361196226,0.405189100301111,NA,NA,0,17.4111484741009,133.588039015314,4,98,275.176078030627,2.48794200193083,0.00453227557421641,NA,0.454672405072221
"68","12/15","~1 ~ S150.VPD__50.100cm_Grid.1x1m.mean + S150.VPD__8.9m_Grid.1x1m.mean + 1",-0.510000058184145,0.329964674828355,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2638497941513,0.210393080747362,NA,NA,NA,NA,-0.053140539411462,0.227483230187028,NA,NA,-1.5115777183736,0.398591528622456,NA,NA,0,17.0890133480305,133.602481036221,4,98,275.204962072442,2.51682604374599,0.00446729074126999,NA,0.459139695813491
