"","model","formula","lam(Int)","SElam(Int)","lam(S150.mean.VPD__1.2m_Grid.1x1m)","SElam(S150.mean.VPD__1.2m_Grid.1x1m)","lam(S150.mean.VPD__3.4m_Grid.1x1m)","SElam(S150.mean.VPD__3.4m_Grid.1x1m)","lam(S150.mean.VPD__5.6m_Grid.1x1m)","SElam(S150.mean.VPD__5.6m_Grid.1x1m)","lam(S150.mean.VPD__7.8m_Grid.1x1m)","SElam(S150.mean.VPD__7.8m_Grid.1x1m)","lam(S150.mean.VPD__9.10m_Grid.1x1m)","SElam(S150.mean.VPD__9.10m_Grid.1x1m)","lam(S150.mean_MaxHeight)","SElam(S150.mean_MaxHeight)","lam(S150.sd_PercCanopyDensity)","SElam(S150.sd_PercCanopyDensity)","p(Int)","SEp(Int)","p(Julian)","SEp(Julian)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt"
"17","267","~1 ~ S150.mean.VPD__1.2m_Grid.1x1m + S150.mean.VPD__9.10m_Grid.1x1m + S150.mean_MaxHeight + 1",0.658208144465432,1.35653460286173,-0.644047776365688,2.63020429746798,NA,NA,NA,NA,NA,NA,0.644615815100838,2.63019548226959,-0.273757465527925,0.130589668907843,NA,NA,-2.1713435068473,1.08513797790826,NA,NA,0,35072704616.732,50.2096012199257,5,98,110.419202439851,2.11444703174783,0.0242333492159592,NA,0.762656712577091
"18","367","~1 ~ S150.mean.VPD__3.4m_Grid.1x1m + S150.mean.VPD__9.10m_Grid.1x1m + S150.mean_MaxHeight + 1",0.926132212149073,1.6705736487298,NA,NA,-0.447718693125141,2.60582238266631,NA,NA,NA,NA,0.44826717006081,2.60581332934876,-0.285371690063185,0.132594210284746,NA,NA,-2.41411389590032,1.41659610396286,NA,NA,0,36690139738.4583,50.2117501698437,5,98,110.423500339687,2.11874493158375,0.0241813288767207,NA,0.786838041453811
"19","247","~1 ~ S150.mean.VPD__1.2m_Grid.1x1m + S150.mean.VPD__5.6m_Grid.1x1m + S150.mean_MaxHeight + 1",0.35098199523998,1.16096187224315,-0.297814538787076,5.87397911401124,NA,NA,0.298524801686396,5.87396938427093,NA,NA,NA,NA,-0.253650387027078,0.128825610409357,NA,NA,-1.95477806574603,0.881136261015811,NA,NA,0,141941083784.638,50.4409415959216,5,98,110.881883191843,2.57712778373968,0.0192284196604405,NA,0.806066461114252
"20","347","~1 ~ S150.mean.VPD__3.4m_Grid.1x1m + S150.mean.VPD__5.6m_Grid.1x1m + S150.mean_MaxHeight + 1",0.344219957579884,1.1724512936311,NA,NA,-0.240318372463981,9.6932390276328,0.241015927073912,9.69322997042711,NA,NA,NA,NA,-0.259348113704816,0.131451380762818,NA,NA,-1.95008771039011,0.859958276476806,NA,NA,0,388200904919.579,50.4463263086665,5,98,110.892652617333,2.58789720922944,0.0191251584096237,NA,0.825191619523876
"21","467","~1 ~ S150.mean.VPD__5.6m_Grid.1x1m + S150.mean.VPD__9.10m_Grid.1x1m + S150.mean_MaxHeight + 1",0.342328670667558,1.12105712483344,NA,NA,NA,NA,-0.202179809141549,5.94242527563738,NA,NA,0.202887044865887,5.94241723001218,-0.255037880439849,0.12709050391464,NA,NA,-1.95254736577271,0.873126407090007,NA,NA,0,145114622752.944,50.4501819542827,5,98,110.900363908565,2.59560850046184,0.019051560551248,NA,0.844243180075124
"22","567","~1 ~ S150.mean.VPD__7.8m_Grid.1x1m + S150.mean.VPD__9.10m_Grid.1x1m + S150.mean_MaxHeight + 1",0.336706096795315,1.1039458134692,NA,NA,NA,NA,NA,NA,-0.123029729289301,10.606758711139,0.123723468498918,10.6067512513462,-0.261163765041237,0.12958391486116,NA,NA,-1.94644063233389,0.847993937636491,NA,NA,0,464723149947.211,50.4603923816628,5,98,110.920784763326,2.616029355222,0.0188580256939421,NA,0.863101205769066
"23","457","~1 ~ S150.mean.VPD__5.6m_Grid.1x1m + S150.mean.VPD__7.8m_Grid.1x1m + S150.mean_MaxHeight + 1",0.335982791402994,1.12085698441166,NA,NA,NA,NA,-0.0779343782872365,12.4189780539469,0.0786206951483504,12.4189689860957,NA,NA,-0.26367215072454,0.131175470207199,NA,NA,-1.94460591131618,0.840478349339104,NA,NA,0,640116205180.933,50.4641945944893,5,98,110.928389188979,2.62363378087493,0.0187864596077304,NA,0.881887665376796
"24","237","~1 ~ S150.mean.VPD__1.2m_Grid.1x1m + S150.mean.VPD__3.4m_Grid.1x1m + S150.mean_MaxHeight + 1",0.334205070878816,1.11775884876286,-0.0567592389154713,11.6799459258728,0.0574268151116175,11.6799361996247,NA,NA,NA,NA,NA,NA,-0.268737163573755,0.134992073868643,NA,NA,-1.94108252627913,0.822193838458259,NA,NA,0,574167535424.125,50.4730200575804,5,98,110.946040115161,2.64128470705727,0.0186213898816582,NA,0.900509055258454
"25","278","~1 ~ S150.mean.VPD__1.2m_Grid.1x1m + S150.mean_MaxHeight + S150.sd_PercCanopyDensity + 1",1.20257356169294,1.66166961426057,0.000872553960530824,3.28360083219773e-05,NA,NA,NA,NA,NA,NA,NA,NA,-0.262956711908282,0.121598531231149,-0.0257585876077504,0.0570288485926868,-2.12816620824066,1.00659110146131,NA,NA,0,2785568971.84594,50.4848852115092,5,98,110.969770423018,2.66501501491472,0.0184017498326132,NA,0.918910805091067
"26","578","~1 ~ S150.mean.VPD__7.8m_Grid.1x1m + S150.mean_MaxHeight + S150.sd_PercCanopyDensity + 1",1.21322385531755,1.65562530286486,NA,NA,NA,NA,NA,NA,0.000929687890969254,3.4282520556029e-05,NA,NA,-0.27718027376996,0.12403508002251,-0.0220616965471862,0.056534764538654,-2.15045297164083,1.04777791976425,NA,NA,0,2581595531.92166,50.5165162204611,5,98,111.033032440922,2.72827703281855,0.0178287932861963,NA,0.936739598377264
"27","378","~1 ~ S150.mean.VPD__3.4m_Grid.1x1m + S150.mean_MaxHeight + S150.sd_PercCanopyDensity + 1",1.2110091091723,1.65524846192466,NA,NA,0.000925539119349154,3.43626093092435e-05,NA,NA,NA,NA,NA,NA,-0.264928561992276,0.121962850317113,-0.0259665540034824,0.0570094526705546,-2.12201008380584,0.995699974788456,NA,NA,0,2516357729.90668,50.5280501329237,5,98,111.056100265847,2.7513448577437,0.0176243388912287,NA,0.954363937268493
"28","478","~1 ~ S150.mean.VPD__5.6m_Grid.1x1m + S150.mean_MaxHeight + S150.sd_PercCanopyDensity + 1",1.21352320760235,1.65386043442358,NA,NA,NA,NA,0.00095260055096212,3.48211300888667e-05,NA,NA,NA,NA,-0.277311311889276,0.124065345867586,-0.0222020015367406,0.0565515744005523,-2.14671497554328,1.04124964773139,NA,NA,0,2491102701.92214,50.5360443526527,5,98,111.072088705305,2.7673332972018,0.0174840077200128,NA,0.971847944988505
"29","678","~1 ~ S150.mean.VPD__9.10m_Grid.1x1m + S150.mean_MaxHeight + S150.sd_PercCanopyDensity + 1",1.22063598534944,1.65016351762803,NA,NA,NA,NA,NA,NA,NA,NA,0.000954268176676431,3.48516893765147e-05,-0.277899625969851,0.123924691950857,-0.0222881930671347,0.0564263292135362,-2.14510174233834,1.04357389067942,NA,NA,0,2479918014.37758,50.5369186494863,5,98,111.073837298973,2.76908189086893,0.0174687281878217,NA,0.989316673176327
"30","1","~Julian + 1 ~ 1",-1.39127214664028,0.57623672721462,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.91865884357282,3.62323698840714,-0.0286062961291264,0.0214496132153627,0,2516390.16453792,53.0286466858312,3,98,112.057293371662,3.75253796355871,0.010683326823673,NA,1
