"","model","formula","lam(Int)","SElam(Int)","lam(S500.mean.VPD__1.2m_Grid.1x1m)","SElam(S500.mean.VPD__1.2m_Grid.1x1m)","lam(S500.mean.VPD__10.11m_Grid.1x1m)","SElam(S500.mean.VPD__10.11m_Grid.1x1m)","lam(S500.mean.VPD__2.3m_Grid.1x1m)","SElam(S500.mean.VPD__2.3m_Grid.1x1m)","lam(S500.mean.VPD__3.4m_Grid.1x1m)","SElam(S500.mean.VPD__3.4m_Grid.1x1m)","lam(S500.mean.VPD__4.5m_Grid.1x1m)","SElam(S500.mean.VPD__4.5m_Grid.1x1m)","lam(S500.mean.VPD__5.6m_Grid.1x1m)","SElam(S500.mean.VPD__5.6m_Grid.1x1m)","lam(S500.mean.VPD__6.7m_Grid.1x1m)","SElam(S500.mean.VPD__6.7m_Grid.1x1m)","lam(S500.mean.VPD__7.8m_Grid.1x1m)","SElam(S500.mean.VPD__7.8m_Grid.1x1m)","lam(S500.mean.VPD__8.9m_Grid.1x1m)","SElam(S500.mean.VPD__8.9m_Grid.1x1m)","lam(S500.mean.VPD__9.10m_Grid.1x1m)","SElam(S500.mean.VPD__9.10m_Grid.1x1m)","lam(S500.mean_MaxHeight)","SElam(S500.mean_MaxHeight)","lam(S500.sd_PercCanopyDensity)","SElam(S500.sd_PercCanopyDensity)","p(Int)","SEp(Int)","p(Julian)","SEp(Julian)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt"
"45","10/11","~1 ~ S500.mean.VPD__8.9m_Grid.1x1m + S500.mean.VPD__9.10m_Grid.1x1m + 1",-1.49606607483075,0.607829750161579,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0760358710280487,98.5128162060856,0.0760620889042061,98.5126172694803,NA,NA,NA,NA,-1.50168587173709,0.63650408992632,NA,NA,0,1198996691161.9,59.1016355268325,4,98,126.203271053665,3.89323245379208,0.00851933777950943,NA,0.781457308591344
"46","9/10","~1 ~ S500.mean.VPD__7.8m_Grid.1x1m + S500.mean.VPD__8.9m_Grid.1x1m + 1",-1.49605472613545,0.589327619940862,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0843679732959501,101.95505070091,0.0843943917032413,101.954796880328,NA,NA,NA,NA,NA,NA,-1.50170586164779,0.636306310671018,NA,NA,0,1283327635023.58,59.1017736909025,4,98,126.203547381805,3.89350878193197,0.00851816079443897,NA,0.789975469385783
"47","8/9","~1 ~ S500.mean.VPD__6.7m_Grid.1x1m + S500.mean.VPD__7.8m_Grid.1x1m + 1",-1.49602690172395,0.583383823528967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0904063260328658,97.8771336509608,0.0904329099152671,97.8768297881972,NA,NA,NA,NA,NA,NA,NA,NA,-1.50171602508458,0.636196998671006,NA,NA,0,1182122971395.89,59.1019766991023,4,98,126.203953398205,3.89391479833159,0.00851643171346514,NA,0.798491901099248
"48","7/8","~1 ~ S500.mean.VPD__5.6m_Grid.1x1m + S500.mean.VPD__6.7m_Grid.1x1m + 1",-1.49586963663555,0.595172746080569,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.106398764967092,82.7299015176965,0.106425908359898,82.7295482013108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.50175475391634,0.63677302806082,NA,NA,0,843122838589.199,59.102612453871,4,98,126.205224907742,3.89518630786903,0.00851101907212943,NA,0.807002920171378
"49","6/7","~1 ~ S500.mean.VPD__4.5m_Grid.1x1m + S500.mean.VPD__5.6m_Grid.1x1m + 1",-1.49542629164793,0.63280916050811,NA,NA,NA,NA,NA,NA,NA,NA,-0.141225285118279,68.412262574967,0.14125400546009,68.4118614723818,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.50187874475596,0.638433991351224,NA,NA,0,574125659442.032,59.1042009182512,4,98,126.208401836502,3.89836323662946,0.00849751035339371,NA,0.815500430524771
"50","3/10","~1 ~ S500.mean.VPD__10.11m_Grid.1x1m + S500.mean.VPD__8.9m_Grid.1x1m + 1",-1.49511886476654,0.622581016159857,NA,NA,0.150809929334229,50.4889689357574,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.150780585644474,50.4891613958272,NA,NA,NA,NA,NA,NA,-1.50194321635475,0.636752344980321,NA,NA,0,312330097781.263,59.1042687146637,4,98,126.208537429327,3.89849882945441,0.00849693427220513,NA,0.823997364796976
"51","9/11","~1 ~ S500.mean.VPD__7.8m_Grid.1x1m + S500.mean.VPD__9.10m_Grid.1x1m + 1",-1.4951335346962,0.600883356633123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.160428960308939,50.8501204884799,NA,NA,0.160458737671414,50.8498911459911,NA,NA,NA,NA,-1.50197586880851,0.63616632505412,NA,NA,0,316387146149.271,59.1046243773465,4,98,126.209248754693,3.89921015481995,0.0084939127671167,NA,0.832491277564093
"52","8/10","~1 ~ S500.mean.VPD__6.7m_Grid.1x1m + S500.mean.VPD__8.9m_Grid.1x1m + 1",-1.49506002698845,0.589518812187422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.174819787640995,51.0960033341856,NA,NA,0.174850336455498,51.0957174504068,NA,NA,NA,NA,NA,NA,-1.50203321979265,0.635968519199972,NA,NA,0,318737390957.659,59.1053610632843,4,98,126.210722126569,3.90068352669559,0.00848765772530768,NA,0.840978935289401
"53","2/4","~1 ~ S500.mean.VPD__1.2m_Grid.1x1m + S500.mean.VPD__2.3m_Grid.1x1m + 1",-1.4941267695883,0.554969912211244,0.212117582426043,28.1021317849827,NA,NA,-0.212084520812382,28.1021948738625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.50243398681621,0.635413197169347,NA,NA,0,95859278754.4988,59.1054470859366,4,98,126.210894171873,3.9008555720003,0.00848692762588087,NA,0.849465862915282
"54","5/6","~1 ~ S500.mean.VPD__3.4m_Grid.1x1m + S500.mean.VPD__4.5m_Grid.1x1m + 1",-1.49471469721738,0.656007474362423,NA,NA,NA,NA,NA,NA,-0.179362930631471,52.5230723234236,0.17939386696402,52.5226742220783,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.50201600595735,0.637971602969757,NA,NA,0,336393403596.043,59.1066088524887,4,98,126.213217704977,3.90317910510434,0.00847707352242792,NA,0.85794293643771
"55","7/9","~1 ~ S500.mean.VPD__5.6m_Grid.1x1m + S500.mean.VPD__7.8m_Grid.1x1m + 1",-1.49470627424213,0.593887262513319,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.196862578613264,46.1229958250649,NA,NA,0.196894571355812,46.122655633386,NA,NA,NA,NA,NA,NA,NA,NA,-1.50212462109733,0.636133920365336,NA,NA,0,258647587481.209,59.1070600687597,4,98,126.214120137519,3.90408153764648,0.00847324939174344,NA,0.866416185829453
"56","3/9","~1 ~ S500.mean.VPD__10.11m_Grid.1x1m + S500.mean.VPD__7.8m_Grid.1x1m + 1",-1.49354582119601,0.616107774378686,NA,NA,0.23524783208322,34.718742883142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.235212651175004,34.7189617772206,NA,NA,NA,NA,NA,NA,NA,NA,-1.50242128029284,0.636148111909655,NA,NA,0,145429405307.702,59.1092701933323,4,98,126.218540386665,3.90850178679153,0.00845454313424773,NA,0.874870728963701
"57","4/5","~1 ~ S500.mean.VPD__2.3m_Grid.1x1m + S500.mean.VPD__3.4m_Grid.1x1m + 1",-1.49354935161804,0.713379111231578,NA,NA,NA,NA,-0.209932650201987,39.6981337896722,0.209965900719649,39.6977258746398,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.50201402163213,0.636992375380171,NA,NA,0,191017494518.709,59.1104177011351,4,98,126.22083540227,3.91079680239731,0.00844484704426472,NA,0.883315576007966
"58","8/11","~1 ~ S500.mean.VPD__6.7m_Grid.1x1m + S500.mean.VPD__9.10m_Grid.1x1m + 1",-1.4934929011558,0.600318806183479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.250937063862211,34.686836341795,NA,NA,NA,NA,0.250973423388349,34.6865721031404,NA,NA,NA,NA,-1.50249630193452,0.635639262006904,NA,NA,0,144631211701.817,59.1104851022486,4,98,126.220970204497,3.91093160462415,0.00844427787135294,NA,0.891759853879318
"59","2/6","~1 ~ S500.mean.VPD__1.2m_Grid.1x1m + S500.mean.VPD__4.5m_Grid.1x1m + 1",-1.49423672376402,0.550297220087444,-0.176734199743221,17.6584876496844,NA,NA,NA,NA,NA,NA,0.176765195150312,17.6582121856061,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.50166121911553,0.634844780317719,NA,NA,0,37988491683.8203,59.110657733679,4,98,126.221315467358,3.91127686748499,0.00844282024940448,NA,0.900202674128723
"60","6/8","~1 ~ S500.mean.VPD__4.5m_Grid.1x1m + S500.mean.VPD__6.7m_Grid.1x1m + 1",-1.49356315787629,0.619475057584801,NA,NA,NA,NA,NA,NA,NA,NA,-0.247703658276293,38.3618137937465,NA,NA,0.247739781883261,38.3614250413079,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.50242896213773,0.637006479215713,NA,NA,0,176901892226.981,59.1115103275336,4,98,126.223020655067,3.91298205519419,0.00843562502048416,NA,0.908638299149207
"61","7/10","~1 ~ S500.mean.VPD__5.6m_Grid.1x1m + S500.mean.VPD__8.9m_Grid.1x1m + 1",-1.49295033493821,0.600356619842555,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.281382906390385,33.3983043402207,NA,NA,NA,NA,0.281422048369681,33.397974780181,NA,NA,NA,NA,NA,NA,-1.50268841149725,0.635591845817092,NA,NA,0,133022786438.254,59.1135388580311,4,98,126.227077716062,3.91703911618914,0.00841853044216349,NA,0.917056829591371
"62","3/8","~1 ~ S500.mean.VPD__10.11m_Grid.1x1m + S500.mean.VPD__6.7m_Grid.1x1m + 1",-1.49123467762881,0.614677215751869,NA,NA,0.3258689042381,26.7585645356911,NA,NA,NA,NA,NA,NA,NA,NA,-0.325824710236837,26.7588164720609,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.50313680476418,0.635384431551783,NA,NA,0,84320832812.8429,59.1175412925577,4,98,126.235082585115,3.92504398524234,0.00838490316563582,NA,0.925441732757006
"63","5/7","~1 ~ S500.mean.VPD__3.4m_Grid.1x1m + S500.mean.VPD__5.6m_Grid.1x1m + 1",-1.49128951093293,0.651529940511934,NA,NA,NA,NA,NA,NA,-0.320676121164116,30.5367264942986,NA,NA,0.320719836087714,30.5363159428066,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.50294581197551,0.637082921041054,NA,NA,0,109819560309.69,59.1198806140868,4,98,126.239761228174,3.92972262830054,0.00836531110613899,NA,0.933807043863145
"64","6/9","~1 ~ S500.mean.VPD__4.5m_Grid.1x1m + S500.mean.VPD__7.8m_Grid.1x1m + 1",-1.49126749834848,0.616873374915238,NA,NA,NA,NA,NA,NA,NA,NA,-0.338329626503537,28.8448812735956,NA,NA,NA,NA,0.338375151619561,28.8444993634772,NA,NA,NA,NA,NA,NA,NA,NA,-1.50314402607514,0.635871053562285,NA,NA,0,97490372236.9595,59.1207346957201,4,98,126.24146939144,3.93143079156718,0.00835816949775862,NA,0.942165213360904
"65","7/11","~1 ~ S500.mean.VPD__5.6m_Grid.1x1m + S500.mean.VPD__9.10m_Grid.1x1m + 1",-1.49060397231762,0.61103664778337,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.357649804346992,26.265359487564,NA,NA,NA,NA,NA,NA,0.357697661675072,26.2650471149195,NA,NA,NA,NA,-1.50337335649314,0.635013289533717,NA,NA,0,80383489256.5462,59.1217641548585,4,98,126.243528309717,3.93348970984407,0.00834956953120508,NA,0.950514782892109
"66","2/7","~1 ~ S500.mean.VPD__1.2m_Grid.1x1m + S500.mean.VPD__5.6m_Grid.1x1m + 1",-1.49045764116641,0.58153535030458,-0.317109252171862,16.1934024485492,NA,NA,NA,NA,NA,NA,NA,NA,0.317152947663726,16.1930548028471,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.50229638484714,0.634284134268722,NA,NA,0,30842719610.311,59.1270787027365,4,98,126.254157405473,3.94411880560001,0.00830531304993185,NA,0.958820095942041
"67","6/10","~1 ~ S500.mean.VPD__4.5m_Grid.1x1m + S500.mean.VPD__8.9m_Grid.1x1m + 1",-1.4884239804352,0.623986134536621,NA,NA,NA,NA,NA,NA,NA,NA,-0.423139007960553,24.1375857296403,NA,NA,NA,NA,NA,NA,0.423195962514866,24.1372059416833,NA,NA,NA,NA,NA,NA,-1.50403775204785,0.634954159764435,NA,NA,0,66193789801.7388,59.132068931648,4,98,126.264137863296,3.95409926342298,0.00826397087588048,NA,0.967084066817921
"68","3/7","~1 ~ S500.mean.VPD__10.11m_Grid.1x1m + S500.mean.VPD__5.6m_Grid.1x1m + 1",-1.48753562207125,0.624752747603755,NA,NA,0.432818203434825,21.8874778694224,NA,NA,NA,NA,NA,NA,-0.432759616362934,21.8877775749252,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.50423891210022,0.634508458756487,NA,NA,0,54266879809.0265,59.1321855007703,4,98,126.264371001541,3.95433240166761,0.00826300760819333,NA,0.975347074426115
"69","4/6","~1 ~ S500.mean.VPD__2.3m_Grid.1x1m + S500.mean.VPD__4.5m_Grid.1x1m + 1",-1.487591560742,0.702134706995587,NA,NA,NA,NA,-0.389036908909725,23.7772786211082,NA,NA,0.389089782811944,23.776853743649,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.50322000178347,0.635662703934672,NA,NA,0,64997493367.3643,59.1329982225642,4,98,126.265996445128,3.95595784525544,0.00825629481001506,NA,0.98360336923613
"70","5/8","~1 ~ S500.mean.VPD__3.4m_Grid.1x1m + S500.mean.VPD__6.7m_Grid.1x1m + 1",-1.48761767187918,0.643774001070932,NA,NA,NA,NA,NA,NA,-0.427316739014767,23.2416048458976,NA,NA,NA,NA,0.427374678384178,23.2411930627424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.50397775398543,0.635525126337126,NA,NA,0,61197778149.5807,59.135287315255,4,98,126.27057463051,3.96053603063696,0.00823741700068361,NA,0.991840786236813
"71","2/8","~1 ~ S500.mean.VPD__1.2m_Grid.1x1m + S500.mean.VPD__6.7m_Grid.1x1m + 1",-1.48653378122566,0.602332926665507,-0.42290792478641,15.3097159006068,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.422965713373695,15.3093216754564,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.50310038761791,0.633367854455896,NA,NA,0,26516949533.0612,59.1448263274601,4,98,126.28965265492,3.97961405504731,0.00815921376318656,NA,1
