"","model","formula","lam(Int)","SElam(Int)","lam(S500.mean_MaxHeight)","SElam(S500.mean_MaxHeight)","lam(S500.sd_PercCanopyDensity)","SElam(S500.sd_PercCanopyDensity)","lam(S500.VPD__10.11m_Grid.1x1m.mean)","SElam(S500.VPD__10.11m_Grid.1x1m.mean)","lam(S500.VPD__100.150cm_Grid.1x1m.mean)","SElam(S500.VPD__100.150cm_Grid.1x1m.mean)","lam(S500.VPD__150.200cm_Grid.1x1m.mean)","SElam(S500.VPD__150.200cm_Grid.1x1m.mean)","lam(S500.VPD__2.3m_Grid.1x1m.mean)","SElam(S500.VPD__2.3m_Grid.1x1m.mean)","lam(S500.VPD__3.4m_Grid.1x1m.mean)","SElam(S500.VPD__3.4m_Grid.1x1m.mean)","lam(S500.VPD__4.5m_Grid.1x1m.mean)","SElam(S500.VPD__4.5m_Grid.1x1m.mean)","lam(S500.VPD__5.6m_Grid.1x1m.mean)","SElam(S500.VPD__5.6m_Grid.1x1m.mean)","lam(S500.VPD__6.7m_Grid.1x1m.mean)","SElam(S500.VPD__6.7m_Grid.1x1m.mean)","lam(S500.VPD__7.8m_Grid.1x1m.mean)","SElam(S500.VPD__7.8m_Grid.1x1m.mean)","lam(S500.VPD__8.9m_Grid.1x1m.mean)","SElam(S500.VPD__8.9m_Grid.1x1m.mean)","lam(S500.VPD__9.10m_Grid.1x1m.mean)","SElam(S500.VPD__9.10m_Grid.1x1m.mean)","p(Int)","SEp(Int)","p(Julian)","SEp(Julian)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt"
"1","9/10/14","~1 ~ S500.VPD__3.4m_Grid.1x1m.mean + S500.VPD__4.5m_Grid.1x1m.mean + S500.VPD__7.8m_Grid.1x1m.mean + 1",-1.38324032335956,0.693830817250539,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.15025324264069,1.21009189797119,4.96163337701308,1.46091949671717,NA,NA,NA,NA,-2.2130739980867,0.678590021535969,NA,NA,NA,NA,-2.15788352975457,0.732505161456452,NA,NA,0,249.593583466352,60.4179779371197,5,98,130.835955874239,0,0.103699786202683,NA,0.103699786202683
"2","9/10/13","~1 ~ S500.VPD__3.4m_Grid.1x1m.mean + S500.VPD__4.5m_Grid.1x1m.mean + S500.VPD__6.7m_Grid.1x1m.mean + 1",-1.41335279350069,0.684194221622931,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.30119515560777,1.50529644123703,7.30925720662606,2.13394035193309,NA,NA,-3.46832645973512,1.09328242212474,NA,NA,NA,NA,NA,NA,-2.13217042457298,0.717412452110661,NA,NA,0,531.062243275694,60.4323619420961,5,98,130.864723884192,0.0287680099526426,0.102218844432562,NA,0.205918630635245
"3","9/11/13","~1 ~ S500.VPD__3.4m_Grid.1x1m.mean + S500.VPD__5.6m_Grid.1x1m.mean + S500.VPD__6.7m_Grid.1x1m.mean + 1",-1.33840202295794,0.681241309033381,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.69940416848578,0.792401557007123,NA,NA,7.71753883943205,2.21985825362764,-6.3197982579688,1.85764176303928,NA,NA,NA,NA,NA,NA,-2.15373674638787,0.72802095373412,NA,NA,0,560.225215259553,60.5379686812664,5,98,131.075937362533,0.239981488293438,0.0919743109631476,NA,0.297892941598393
"4","8/11/13","~1 ~ S500.VPD__2.3m_Grid.1x1m.mean + S500.VPD__5.6m_Grid.1x1m.mean + S500.VPD__6.7m_Grid.1x1m.mean + 1",-1.34920646105994,0.671201187997931,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.00936528953254,0.54427501039261,NA,NA,NA,NA,6.02467323117531,1.76131976609501,-5.39040131070781,1.70364452380491,NA,NA,NA,NA,NA,NA,-2.13366877438005,0.714219381072046,NA,NA,0,336.323243921549,61.1691261953932,5,98,132.338252390786,1.50229651654701,0.0489280961691835,NA,0.346821037767577
"5","9/11/14","~1 ~ S500.VPD__3.4m_Grid.1x1m.mean + S500.VPD__5.6m_Grid.1x1m.mean + S500.VPD__7.8m_Grid.1x1m.mean + 1",-1.30819266980771,0.692381601482256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.996859695882555,0.639059706525585,NA,NA,3.64915683840191,1.13676995509711,NA,NA,-2.85945497400771,0.910837686655266,NA,NA,NA,NA,-2.17893479449187,0.740435954890987,NA,NA,0,140.889865716394,61.2195999486062,5,98,132.439199897212,1.60324402297289,0.0465198006345865,NA,0.393340838402163
"6","10/11/13","~1 ~ S500.VPD__4.5m_Grid.1x1m.mean + S500.VPD__5.6m_Grid.1x1m.mean + S500.VPD__6.7m_Grid.1x1m.mean + 1",-1.29400027050788,0.676401105236317,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.65767266231311,2.02315062908434,10.561708502254,4.08403817783709,-6.97955549956136,2.45896641936807,NA,NA,NA,NA,NA,NA,-2.16086203346101,0.727938613210016,NA,NA,0,1783.70952466715,61.2256011468487,5,98,132.451202293697,1.61524641945803,0.0462414621064649,NA,0.439582300508628
"7","9/10/15","~1 ~ S500.VPD__3.4m_Grid.1x1m.mean + S500.VPD__4.5m_Grid.1x1m.mean + S500.VPD__8.9m_Grid.1x1m.mean + 1",-1.36950678489029,0.695584363424411,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.22287751827717,1.02057629218889,3.53293299899154,1.15742022411277,NA,NA,NA,NA,NA,NA,-1.61921667610632,0.557619156180248,NA,NA,-2.16628299175678,0.732510643188123,NA,NA,0,154.905043055188,61.3049138043374,5,98,132.609827608675,1.77387173443537,0.0427155997109124,NA,0.48229790021954
"8","8/11/14","~1 ~ S500.VPD__2.3m_Grid.1x1m.mean + S500.VPD__5.6m_Grid.1x1m.mean + S500.VPD__7.8m_Grid.1x1m.mean + 1",-1.32527590293729,0.68523381179031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.69095542611554,0.463367759023743,NA,NA,NA,NA,3.07863748213221,0.864005897101064,NA,NA,-2.6903796539533,0.854088759116549,NA,NA,NA,NA,-2.16279192933011,0.73079484228644,NA,NA,0,80.8791267042714,61.3468837163649,5,98,132.69376743273,1.8578115584904,0.0409599301045348,NA,0.523257830324075
"9","11/14","~1 ~ S500.VPD__5.6m_Grid.1x1m.mean + S500.VPD__7.8m_Grid.1x1m.mean + 1",-1.31708647177236,0.671460701466977,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.0591095921833,0.542933151160037,NA,NA,-1.757913337395,0.620599930865016,NA,NA,NA,NA,-2.1488554334715,0.716237885533605,NA,NA,0,34.8718002569465,62.4755660037021,4,98,132.951132007404,2.11517613316471,0.0360141525272865,NA,0.559271982851362
"10","13/14","~1 ~ S500.VPD__6.7m_Grid.1x1m.mean + S500.VPD__7.8m_Grid.1x1m.mean + 1",-1.28341468079054,0.686004992045814,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.28974990882102,1.1379193068906,-4.17533352216454,1.2201688108314,NA,NA,NA,NA,-2.177994757737,0.734140331028482,NA,NA,0,102.420963884224,62.5606273482642,4,98,133.121254696528,2.28529882228895,0.0330774123270062,NA,0.592349395178368
"11","13/14/15","~1 ~ S500.VPD__6.7m_Grid.1x1m.mean + S500.VPD__7.8m_Grid.1x1m.mean + S500.VPD__8.9m_Grid.1x1m.mean + 1",-1.2829620763075,0.676455120642387,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.46195296042967,2.83105954430941,-11.2455773295961,5.998525194185,4.13355063385179,3.38326561802261,NA,NA,-2.16339749829723,0.729624148927126,NA,NA,0,1796.20204040975,61.682582295903,5,98,133.365164591806,2.52920871756658,0.0292797366470948,NA,0.621629131825463
