"","model","formula","lam(Int)","SElam(Int)","lam(S150.mean_MaxHeight)","SElam(S150.mean_MaxHeight)","lam(S150.sd_PercCanopyDensity)","SElam(S150.sd_PercCanopyDensity)","lam(S150.VPD__10.11m_Grid.1x1m.mean)","SElam(S150.VPD__10.11m_Grid.1x1m.mean)","lam(S150.VPD__100.150cm_Grid.1x1m.mean)","SElam(S150.VPD__100.150cm_Grid.1x1m.mean)","lam(S150.VPD__11.12m_Grid.1x1m.mean)","SElam(S150.VPD__11.12m_Grid.1x1m.mean)","lam(S150.VPD__150.200cm_Grid.1x1m.mean)","SElam(S150.VPD__150.200cm_Grid.1x1m.mean)","lam(S150.VPD__2.3m_Grid.1x1m.mean)","SElam(S150.VPD__2.3m_Grid.1x1m.mean)","lam(S150.VPD__3.4m_Grid.1x1m.mean)","SElam(S150.VPD__3.4m_Grid.1x1m.mean)","lam(S150.VPD__4.5m_Grid.1x1m.mean)","SElam(S150.VPD__4.5m_Grid.1x1m.mean)","lam(S150.VPD__5.6m_Grid.1x1m.mean)","SElam(S150.VPD__5.6m_Grid.1x1m.mean)","lam(S150.VPD__50.100cm_Grid.1x1m.mean)","SElam(S150.VPD__50.100cm_Grid.1x1m.mean)","lam(S150.VPD__6.7m_Grid.1x1m.mean)","SElam(S150.VPD__6.7m_Grid.1x1m.mean)","lam(S150.VPD__7.8m_Grid.1x1m.mean)","SElam(S150.VPD__7.8m_Grid.1x1m.mean)","lam(S150.VPD__8.9m_Grid.1x1m.mean)","SElam(S150.VPD__8.9m_Grid.1x1m.mean)","lam(S150.VPD__9.10m_Grid.1x1m.mean)","SElam(S150.VPD__9.10m_Grid.1x1m.mean)","p(Int)","SEp(Int)","p(Julian)","SEp(Julian)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt"
"15","1/3/11","~Julian + 1 ~ S150.sd_PercCanopyDensity + S150.VPD__5.6m_Grid.1x1m.mean + 1",0.761708869080766,0.201569106474925,NA,NA,-0.107504977095999,0.0953361851583152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.230186720944655,0.0926370383645953,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.22441138891726,0.26253298674344,-0.34373391124326,0.117941878848722,0,20.8071177246775,335.151933038731,5,98,680.303866077463,2.13381675675328,0.0190628276113268,NA,0.415230068786202
"16","1/14/15","~Julian + 1 ~ S150.VPD__7.8m_Grid.1x1m.mean + S150.VPD__8.9m_Grid.1x1m.mean + 1",0.740341493782975,0.201715876152657,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.470940940000097,0.332740465422457,-0.234725383057309,0.336534059613349,NA,NA,-1.19843185969323,0.262833570134172,-0.318163769625929,0.117884398383688,0,60.6916533191367,335.170966268622,5,98,680.341932537245,2.17188321653532,0.0187034315149086,NA,0.43393350030111
"17","1/14/16","~Julian + 1 ~ S150.VPD__7.8m_Grid.1x1m.mean + S150.VPD__9.10m_Grid.1x1m.mean + 1",0.737529049810611,0.200774990387202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.340829387660716,0.163321153300653,NA,NA,-0.115643071348168,0.169443832452431,-1.19447732474706,0.261621684997894,-0.31746903490012,0.117834484836334,0,26.0532403686472,335.178607883896,5,98,680.357215767793,2.18716644708365,0.0185610517853692,NA,0.452494552086479
"18","1/8/10","~Julian + 1 ~ S150.VPD__2.3m_Grid.1x1m.mean + S150.VPD__4.5m_Grid.1x1m.mean + 1",0.726604354095927,0.20240433014039,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.289269395616188,0.140495827898594,NA,NA,0.367602128857171,0.13299500668255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.18257527359268,0.26365914974059,-0.293268196010682,0.118837447329899,0,22.019920889144,335.184055789616,5,98,680.368111579232,2.19806225852267,0.0184602078686806,NA,0.47095475995516
"19","1/12/13","~Julian + 1 ~ S150.VPD__50.100cm_Grid.1x1m.mean + S150.VPD__6.7m_Grid.1x1m.mean + 1",0.735729434627408,0.200771800928505,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0421184030721877,0.102416408650063,0.237196132647857,0.0982160725976577,NA,NA,NA,NA,NA,NA,-1.19164597535837,0.261615373943207,-0.310689396484883,0.117737197304981,0,21.5061010608919,335.216654020652,5,98,680.433308041304,2.26325872059431,0.0178681403532896,NA,0.48882290030845
"20","1/4/14","~Julian + 1 ~ S150.VPD__10.11m_Grid.1x1m.mean + S150.VPD__7.8m_Grid.1x1m.mean + 1",0.736143134787072,0.200369025611459,NA,NA,NA,NA,-0.0768849559768787,0.130608164455094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.298898385901581,0.125549665283744,NA,NA,NA,NA,-1.19200321785967,0.261104048521499,-0.316975494541384,0.118075375968834,0,24.1558805231752,335.238929560971,5,98,680.477859121941,2.30780980123211,0.0174745182213915,NA,0.506297418529841
"21","1/5/13","~Julian + 1 ~ S150.VPD__100.150cm_Grid.1x1m.mean + S150.VPD__6.7m_Grid.1x1m.mean + 1",0.733664022824005,0.200988491283309,NA,NA,NA,NA,NA,NA,-0.0330300878373149,0.0958236769829099,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.248093386539887,0.0919319391765699,NA,NA,NA,NA,NA,NA,-1.18902165935224,0.261986796221983,-0.309798645751565,0.118583833116442,0,20.4373298622193,335.24147954357,5,98,680.482959087141,2.31290976643152,0.0174300152689806,NA,0.523727433798822
"22","1/10/13","~Julian + 1 ~ S150.VPD__4.5m_Grid.1x1m.mean + S150.VPD__6.7m_Grid.1x1m.mean + 1",0.732585245078187,0.201263231771356,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0450645796428406,0.142521771264963,NA,NA,NA,NA,0.284031843771189,0.135100545164846,NA,NA,NA,NA,NA,NA,-1.18750809515584,0.262383995030952,-0.311764796754874,0.117950219241139,0,24.8416026683008,335.250818745636,5,98,680.501637491273,2.33158817056369,0.0172679906025752,NA,0.540995424401397
"23","1/6/14","~Julian + 1 ~ S150.VPD__11.12m_Grid.1x1m.mean + S150.VPD__7.8m_Grid.1x1m.mean + 1",0.735175865356062,0.200149459499756,NA,NA,NA,NA,NA,NA,NA,NA,-0.0641519785945962,0.113495218417918,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.281699283835728,0.108816849500508,NA,NA,NA,NA,-1.19079899830231,0.260838749607073,-0.316002945679319,0.117921022676095,0,22.5622320430312,335.252124215436,5,98,680.504248430872,2.3341991101629,0.0172454624704412,NA,0.558240886871838
"24","1/11/14","~Julian + 1 ~ S150.VPD__5.6m_Grid.1x1m.mean + S150.VPD__7.8m_Grid.1x1m.mean + 1",0.740049128458968,0.202052682705051,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0961831507102289,0.171791598085795,NA,NA,NA,NA,0.16865674986426,0.16655306851593,NA,NA,NA,NA,-1.19745557578134,0.263373024419601,-0.315138130009114,0.117599513339153,0,27.0091296888141,335.258485921216,5,98,680.516971842432,2.34692252172249,0.017136100146468,NA,0.575376987018306
