"","SS","lam.hat500"
"1","BG_15_1",1.66708058098946
"2","BG_15_10",0.535232270545708
"3","BG_15_100",0.669637263750019
"4","BG_15_11",0.648215514209873
"5","BG_15_12",0.989698158331369
"6","BG_15_13",2.06577537888328
"7","BG_15_14",1.90072252714683
"8","BG_15_15",0.999357687733913
"9","BG_15_16",0.71894580678961
"10","BG_15_17",1.04921126832075
"11","BG_15_18",0.755418598804072
"12","BG_15_19",0.41227458246854
"13","BG_15_2",4.03853277372371
"14","BG_15_20",0.322992871071792
"15","BG_15_21",0.562609320270565
"16","BG_15_22",0.701463697257075
"17","BG_15_23",1.15406191560259
"18","BG_15_24",1.66740161696404
"19","BG_15_26",0.471585559034782
"20","BG_15_27",0.52221003487673
"21","BG_15_28",0.556516230117431
"22","BG_15_29",0.514832544267824
"23","BG_15_3",1.48424041977924
"24","BG_15_30",0.126486234592645
"25","BG_15_31",0.409838897809511
"26","BG_15_32",0.448333678970392
"27","BG_15_33",0.960732099949702
"28","BG_15_34",1.57423800446633
"29","BG_15_35",0.734840046786579
"30","BG_15_36",0.410516913769323
"31","BG_15_37",0.471563856294576
"32","BG_15_38",0.504626351937875
"33","BG_15_39",0.34347584175504
"34","BG_15_4",1.70736022278562
"35","BG_15_40",0.0933595250860477
"36","BG_15_41",0.389139675158331
"37","BG_15_42",0.300433439778939
"38","BG_15_43",0.480188246282095
"39","BG_15_44",1.02650617013525
"40","BG_15_45",0.660233789599069
"41","BG_15_46",0.453693775270489
"42","BG_15_47",0.476209812104492
"43","BG_15_48",0.446481874443087
"44","BG_15_49",0.350380483190158
"45","BG_15_5",0.792308052643346
"46","BG_15_50",0.36640651588606
"47","BG_15_51",0.336614752313285
"48","BG_15_52",0.284000812253983
"49","BG_15_53",0.33334536002162
"50","BG_15_54",0.416169768015741
"51","BG_15_55",0.548081976595129
"52","BG_15_56",0.403528893566622
"53","BG_15_57",0.403759705065033
"54","BG_15_58",0.24372285028246
"55","BG_15_59",0.0750908316819241
"56","BG_15_6",0.754154988814906
"57","BG_15_60",0.154571425027871
"58","BG_15_61",0.348581017132377
"59","BG_15_62",0.329811194052566
"60","BG_15_63",0.342799485503801
"61","BG_15_64",0.399521532492031
"62","BG_15_65",0.396185127760951
"63","BG_15_66",0.386229016976068
"64","BG_15_67",0.409912036611056
"65","BG_15_68",0.243385888573397
"66","BG_15_69",0.0835662812285725
"67","BG_15_7",1.37924593304821
"68","BG_15_70",0.186066653640958
"69","BG_15_71",0.527079913463238
"70","BG_15_72",0.215311006840381
"71","BG_15_73",0.248056944368615
"72","BG_15_74",0.621537666621364
"73","BG_15_75",0.416024740175444
"74","BG_15_77",0.261085933669181
"75","BG_15_78",0.35070547185924
"76","BG_15_79",0.448712587782372
"77","BG_15_8",1.33379232630459
"78","BG_15_80",0.355445671881279
"79","BG_15_81",1.0979935013608
"80","BG_15_82",0.755467810558464
"81","BG_15_83",0.53110622881018
"82","BG_15_84",0.338889743405463
"83","BG_15_85",0.44822071305337
"84","BG_15_86",1.02859873641299
"85","BG_15_87",0.495798414514981
"86","BG_15_88",0.473497932030161
"87","BG_15_89",0.666647881527798
"88","BG_15_9",0.704331320864016
"89","BG_15_90",0.479326631151735
"90","BG_15_91",1.82922342175635
"91","BG_15_92",1.23736070306272
"92","BG_15_93",3.11031050508837
"93","BG_15_94",0.787380444318877
"94","BG_15_95",0.808935473384026
"95","BG_15_96",1.6247978376777
"96","BG_15_97",2.34584919144475
"97","BG_15_98",0.724662506316615
"98","BG_15_99",0.894044130960611
