"","SS","lam.hat50"
"1","BG_15_1",2.51391698200837
"2","BG_15_10",1.92776962375686
"3","BG_15_100",3.86287844287098
"4","BG_15_11",2.02225425977718
"5","BG_15_12",1.92898998158107
"6","BG_15_13",2.84404040036136
"7","BG_15_14",3.17697044830783
"8","BG_15_15",3.72795249179868
"9","BG_15_16",3.46137628870122
"10","BG_15_17",1.68208053415744
"11","BG_15_18",1.68208053415744
"12","BG_15_19",1.68208053415744
"13","BG_15_2",1.68208053415744
"14","BG_15_20",2.54611167587537
"15","BG_15_21",3.05989733730604
"16","BG_15_22",1.68208053415744
"17","BG_15_23",2.50018242069654
"18","BG_15_24",1.68208053415744
"19","BG_15_26",1.68208053415744
"20","BG_15_27",1.75822850940805
"21","BG_15_28",1.68208053415744
"22","BG_15_29",1.93184958531778
"23","BG_15_3",1.68208053415744
"24","BG_15_30",1.98113800887104
"25","BG_15_31",3.26176315817216
"26","BG_15_32",3.9646369607293
"27","BG_15_33",1.68208053415744
"28","BG_15_34",1.68208053415744
"29","BG_15_35",2.87150435787953
"30","BG_15_36",3.97068598531228
"31","BG_15_37",1.68208053415744
"32","BG_15_38",1.75256900322138
"33","BG_15_39",1.71508084340195
"34","BG_15_4",1.68208053415744
"35","BG_15_40",3.20287050126166
"36","BG_15_41",1.69471913291375
"37","BG_15_42",2.23673885970468
"38","BG_15_43",3.37338972637655
"39","BG_15_44",1.68208053415744
"40","BG_15_45",1.68208053415744
"41","BG_15_46",1.93967709074371
"42","BG_15_47",2.51695558048296
"43","BG_15_48",2.75017224110804
"44","BG_15_49",1.68208053415744
"45","BG_15_5",3.59531175219269
"46","BG_15_50",3.91855775756565
"47","BG_15_51",1.69961079715453
"48","BG_15_52",2.25105439289225
"49","BG_15_53",3.97145255123342
"50","BG_15_54",1.68208053415744
"51","BG_15_55",1.98816588929883
"52","BG_15_56",1.68208053415744
"53","BG_15_57",2.65723026675874
"54","BG_15_58",1.68208053415744
"55","BG_15_59",3.33540715350862
"56","BG_15_6",2.21085304850661
"57","BG_15_60",3.56756339543308
"58","BG_15_61",1.9391205275262
"59","BG_15_62",3.59919124952546
"60","BG_15_63",3.43528105446634
"61","BG_15_64",1.68208053415744
"62","BG_15_65",1.68208053415744
"63","BG_15_66",2.62372178763551
"64","BG_15_67",1.68208053415744
"65","BG_15_68",3.08803333816728
"66","BG_15_69",1.68208053415744
"67","BG_15_7",1.68208053415744
"68","BG_15_70",1.68208053415744
"69","BG_15_71",1.68208053415744
"70","BG_15_72",2.64493563582531
"71","BG_15_73",1.68208053415744
"72","BG_15_74",1.68208053415744
"73","BG_15_75",3.97067795431489
"74","BG_15_77",1.68208053415744
"75","BG_15_78",1.94507477494269
"76","BG_15_79",2.43003095496135
"77","BG_15_8",1.68208053415744
"78","BG_15_80",1.68208053415744
"79","BG_15_81",2.49388395475831
"80","BG_15_82",2.0791171242733
"81","BG_15_83",3.97058020417576
"82","BG_15_84",1.68208053415744
"83","BG_15_85",1.98365152546734
"84","BG_15_86",1.68208053415744
"85","BG_15_87",1.68208053415744
"86","BG_15_88",2.88153659571464
"87","BG_15_89",1.68208053415744
"88","BG_15_9",3.97064376086396
"89","BG_15_90",1.68208053415744
"90","BG_15_91",1.68208053415744
"91","BG_15_92",1.80882014687203
"92","BG_15_93",1.68208053415744
"93","BG_15_94",2.41486329940445
"94","BG_15_95",1.68208053415744
"95","BG_15_96",2.34584597207334
"96","BG_15_97",1.68208053415744
"97","BG_15_98",1.68208053415744
"98","BG_15_99",1.68208053415744
