"","model","formula","lam(Int)","SElam(Int)","lam(Int)","SElam(Int)","lam(Tamarack_50)","SElam(Tamarack_50)","lam(Tamarack_50)","SElam(Tamarack_50)","lam(Tremblingaspen_50)","SElam(Tremblingaspen_50)","lam(Water_50)","SElam(Water_50)","p(Int)","SEp(Int)","p(Int)","SEp(Int)","p(Julian)","SEp(Julian)","p(Julian)","SEp(Julian)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt"
"1","1/8/9","~Julian + 1 ~ Tamarack_50 + Tremblingaspen_50 + 1",0.730088866164465,0.357244768573014,NA,NA,0.335225910437012,0.0766958643433252,NA,NA,-0.57309340428086,0.212393229518764,NA,NA,-2.21996258070574,0.403874371868531,NA,NA,-0.504459311097349,0.127809838034769,NA,NA,0,79.6128350410102,231.993664307148,5,98,473.987328614295,0,0.534375124130579,NA,0.534375124130579
"2","1/8/10","~Julian + 1 ~ Tamarack_50 + Water_50 + 1",0.791562427324216,0.349949310229642,NA,NA,0.432193292839513,0.0759726330075745,NA,NA,NA,NA,0.263328125943811,0.0604937432874813,-2.23446000005374,0.399961480135209,NA,NA,-0.524947095982827,0.131043755288056,NA,NA,0,88.6801920283134,232.131382056585,5,98,474.26276411317,0.275435498875026,0.465624875869421,NA,1
