"","model","formula","lam(Blackspruce_150)","SElam(Blackspruce_150)","lam(Bog_150)","SElam(Bog_150)","lam(Int)","SElam(Int)","lam(Jackpine_150)","SElam(Jackpine_150)","lam(Swamp_150)","SElam(Swamp_150)","lam(Tamarack_150)","SElam(Tamarack_150)","lam(Tremblingaspen_150)","SElam(Tremblingaspen_150)","p(Int)","SEp(Int)","p(Julian)","SEp(Julian)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt"
"1","1/2/9","~Julian + 1 ~ Blackspruce_150 + Tremblingaspen_150 + 1",0.442735081993749,0.203300471380368,NA,NA,-0.743237472977456,0.244547587652353,NA,NA,NA,NA,NA,NA,0.778008293851426,0.143577620167227,-0.940457950818541,0.291992226249636,-0.570275927094137,0.201003566251596,0,15.0119510412073,156.835587839142,5,98,323.671175678283,0,0.490319935962868,NA,0.490319935962868
"2","1/7/9","~Julian + 1 ~ Swamp_150 + Tremblingaspen_150 + 1",NA,NA,NA,NA,-3.54117393315267,9.16860898449016,NA,NA,-16.0123107167441,51.1024996820871,NA,NA,0.614865469232326,0.124929100001787,-0.890326500884767,0.288484052706747,-0.521008507431706,0.201612376990062,0,319136.702172364,158.085209507068,5,98,326.170419014136,2.49924333585244,0.14053217142111,NA,0.630852107383978
"3","1/9","~Julian + 1 ~ Tremblingaspen_150 + 1",NA,NA,NA,NA,-0.718625532091195,0.232953064888352,NA,NA,NA,NA,NA,NA,0.639297600857007,0.124279868546663,-0.886698587417485,0.286417946736239,-0.527202668645135,0.201516401332418,0,13.1104449411247,159.24274861607,4,98,326.48549723214,2.8143215538567,0.120048680535195,NA,0.750900787919173
"4","1/3/9","~Julian + 1 ~ Bog_150 + Tremblingaspen_150 + 1",NA,NA,0.180867852080562,0.122663111234784,-0.708825541810931,0.237216446538519,NA,NA,NA,NA,NA,NA,0.655033773315232,0.125327030018459,-0.924650593589008,0.292637504697615,-0.554317776619375,0.203589389391326,0,13.9258235921513,158.550656118682,5,98,327.101312237363,3.43013655907993,0.0882337752484276,NA,0.839134563167601
"5","1/8/9","~Julian + 1 ~ Tamarack_150 + Tremblingaspen_150 + 1",NA,NA,NA,NA,-0.731621148589247,0.240010813434869,NA,NA,NA,NA,-0.27288936239168,0.267202560271773,0.58864693716665,0.130769253458967,-0.908217680256683,0.290960758896071,-0.537966564152444,0.20183716254254,0,14.2577334860362,158.618505996078,5,98,327.237011992155,3.56583631387207,0.0824457046839868,NA,0.921580267851588
"6","1/5/9","~Julian + 1 ~ Jackpine_150 + Tremblingaspen_150 + 1",NA,NA,NA,NA,-0.727634042046757,0.233231105616392,-0.194532889322499,0.184497309467776,NA,NA,NA,NA,0.609548670790508,0.124683795034371,-0.884416785779914,0.284297721147203,-0.532841974286727,0.200782254086407,0,13.6253431813491,158.668570366461,5,98,327.337140732922,3.66596505463878,0.0784197321484123,NA,1
