"","model","formula","lam(Blackspruce_50)","SElam(Blackspruce_50)","lam(Fen_50)","SElam(Fen_50)","lam(Int)","SElam(Int)","lam(Shrub_50)","SElam(Shrub_50)","lam(Tremblingaspen_50)","SElam(Tremblingaspen_50)","lam(Water_50)","SElam(Water_50)","lam(Whitebirch_50)","SElam(Whitebirch_50)","lam(Whitespruce_50)","SElam(Whitespruce_50)","lam(wtage_50)","SElam(wtage_50)","p(Int)","SEp(Int)","p(Julian)","SEp(Julian)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt"
"1","9/10/13","~1 ~ Tremblingaspen_50 + Water_50 + wtage_50 + 1",NA,NA,NA,NA,-8.27037464665867,10.3623444540629,NA,NA,-11.2604654545316,10.6697202578389,-25.9256894806371,49.9142052361495,NA,NA,NA,NA,0.861070756857404,0.245820446412797,-5.23335405459961,0.932281757778963,NA,NA,1,150213.494510473,58.4622903428787,5,98,126.924580685757,0,0.294936340556783,NA,0.294936340556783
"2","9/12/13","~1 ~ Tremblingaspen_50 + Whitespruce_50 + wtage_50 + 1",NA,NA,NA,NA,-1.45348415899173,8.16337508761925,NA,NA,-5.4737435129524,5.98722549753973,NA,NA,NA,NA,-3.7366598891487,45.7340210643931,0.920727664279866,0.248788878681534,-5.18334420649564,0.875101762381543,NA,NA,0,127301.523924717,58.6262468687062,5,98,127.252493737412,0.327913051655031,0.250335748913076,NA,0.545272089469859
"3","9/11/13","~1 ~ Tremblingaspen_50 + Whitebirch_50 + wtage_50 + 1",NA,NA,NA,NA,-4.62078857373517,7.51256893448019,NA,NA,-10.4877037656044,10.1285744312912,NA,NA,-10.5264320098077,46.5260749439389,NA,NA,0.875600411040748,0.250978923034915,-5.26581578733713,0.946251604244804,NA,NA,0,126653.42366714,59.3548087560862,5,98,128.709617512172,1.78503682641504,0.120812665290212,NA,0.666084754760071
"4","9/13","~1 ~ Tremblingaspen_50 + wtage_50 + 1",NA,NA,NA,NA,-2.63933453961898,5.47422873743138,NA,NA,-9.2191630136235,9.48692431741972,NA,NA,NA,NA,NA,NA,0.781076528323549,0.24208061363078,-5.46594054196315,1.2281772422351,NA,NA,0,6595.24747650538,60.6395296769838,4,98,129.279059353968,2.35447866821021,0.0908782050697542,NA,0.756962959829826
"5","1/9/13","~Julian + 1 ~ Tremblingaspen_50 + wtage_50 + 1",NA,NA,NA,NA,-3.65535758348993,5.87043914802605,NA,NA,-10.8941395794871,10.2686160204054,NA,NA,NA,NA,NA,NA,0.832581465275975,0.247413183899599,-5.44139981073055,0.927666121863711,0.347887597676337,0.273093488938641,0,8197.01594966474,59.780700564879,5,98,129.561401129758,2.63682044400058,0.0789132632955788,NA,0.835876223125404
"6","2/9/13","~1 ~ Blackspruce_50 + Tremblingaspen_50 + wtage_50 + 1",0.298393435417411,0.257673565126221,NA,NA,-1.63922225616184,4.69038923020665,NA,NA,-7.04657306508172,8.21599151165385,NA,NA,NA,NA,NA,NA,0.680551863116028,0.257942953608628,-5.38405117663304,1.07275588622933,NA,NA,0,6506.63797104424,59.9248513453465,5,98,129.849702690693,2.92512200493555,0.0683197257901639,NA,0.904195948915568
"7","6/9/13","~1 ~ Shrub_50 + Tremblingaspen_50 + wtage_50 + 1",NA,NA,NA,NA,-2.60493167339384,5.44585363356192,0.17873121387756,0.152540454451148,-9.10840024282397,9.42398037324623,NA,NA,NA,NA,NA,NA,0.805001311954966,0.244851556903496,-5.47853058022755,1.26431277418516,NA,NA,0,6739.16511808237,60.1316560110851,5,98,130.26331202217,3.33873133641286,0.0555561305050648,NA,0.959752079420633
"8","4/9/13","~1 ~ Fen_50 + Tremblingaspen_50 + wtage_50 + 1",NA,NA,-0.518688590871396,1.49771142197686,-2.64695643529152,5.44437502046861,NA,NA,-9.19342181301206,9.42223976930538,NA,NA,NA,NA,NA,NA,0.760649520791986,0.243553939913359,-5.47522988559378,1.24683843470164,NA,NA,0,6516.51195945256,60.4539915413031,5,98,130.907983082606,3.98340239684886,0.0402479205793669,NA,1
