"","model","formula","lam(Int)","SElam(Int)","lam(Int)","SElam(Int)","lam(Tamarack_150)","SElam(Tamarack_150)","lam(Tamarack_150)","SElam(Tamarack_150)","lam(Tremblingaspen_150)","SElam(Tremblingaspen_150)","lam(Water_150)","SElam(Water_150)","p(Int)","SEp(Int)","p(Int)","SEp(Int)","p(Julian)","SEp(Julian)","p(Julian)","SEp(Julian)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt"
"1","1/8/9","~Julian + 1 ~ Tamarack_150 + Tremblingaspen_150 + 1",0.80187033499293,0.396636169625616,NA,NA,0.392073395357196,0.0779923572620659,NA,NA,-0.547734004117179,0.182282024438491,NA,NA,-2.36929125518192,0.441120872844447,NA,NA,-0.506213786420806,0.124111232510878,NA,NA,0,107.827397018744,227.125877985243,5,98,464.251755970487,0,0.62716149690753,NA,0.62716149690753
"2","1/8/10","~Julian + 1 ~ Tamarack_150 + Water_150 + 1",0.850963738570687,0.394008519697123,NA,NA,0.503861014030395,0.0743173645961982,NA,NA,NA,NA,0.286355649841745,0.0705253555894214,-2.35981158318616,0.442347509464977,NA,NA,-0.515494097423933,0.125855923326954,NA,NA,0,103.433495346977,227.64593670523,5,98,465.29187341046,1.04011743997376,0.37283850309247,NA,1
