"","model","formula","lam(Blackspruce_150)","SElam(Blackspruce_150)","lam(Bog_150)","SElam(Bog_150)","lam(Fen_150)","SElam(Fen_150)","lam(Int)","SElam(Int)","lam(Jackpine_150)","SElam(Jackpine_150)","lam(Shrub_150)","SElam(Shrub_150)","lam(Swamp_150)","SElam(Swamp_150)","lam(Tamarack_150)","SElam(Tamarack_150)","lam(Tremblingaspen_150)","SElam(Tremblingaspen_150)","lam(Water_150)","SElam(Water_150)","lam(Whitebirch_150)","SElam(Whitebirch_150)","lam(Whitespruce_150)","SElam(Whitespruce_150)","lam(wtage_150)","SElam(wtage_150)","p(Int)","SEp(Int)","p(Julian)","SEp(Julian)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt"
"98","5/10/11","~1 ~ Jackpine_150 + Water_150 + Whitebirch_150 + 1",NA,NA,NA,NA,NA,NA,1.38149811696938,0.440386119903009,-0.106032625679728,0.0916148322912554,NA,NA,NA,NA,NA,NA,NA,NA,-0.138889240304737,0.117347971566516,-0.0574760226104752,0.106043650883815,NA,NA,NA,NA,-2.10559668945865,0.500543739350919,NA,NA,0,102.377140702505,329.566249932946,5,98,669.132499865892,3.49643313126364,0.00478125243659131,NA,0.759510436422152
"99","7/9/10","~1 ~ Swamp_150 + Tremblingaspen_150 + Water_150 + 1",NA,NA,NA,NA,NA,NA,1.33312292441883,0.422101161722296,NA,NA,NA,NA,0.0740315845027536,0.0679188127021447,NA,NA,-0.0549454013278796,0.0940889174722538,-0.126584814268843,0.116874598515603,NA,NA,NA,NA,NA,NA,-2.05065679757026,0.482177447324624,NA,NA,0,103.052151097423,329.582786061853,5,98,669.165572123705,3.52950538907669,0.00470283914292394,NA,0.764213275565076
"100","3/4/8","~1 ~ Bog_150 + Fen_150 + Tamarack_150 + 1",NA,NA,0.0789333067691645,0.113155142640772,-0.0622780811581455,0.11939297056876,1.30728081139842,0.407202208441846,NA,NA,NA,NA,NA,NA,0.140244458656292,0.0797571850445624,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.0210769219827,0.465965717750841,NA,NA,0,101.477575197042,329.584911058145,5,98,669.16982211629,3.53375538166154,0.00469285623775618,NA,0.768906131802832
"101","3/8/11","~1 ~ Bog_150 + Tamarack_150 + Whitebirch_150 + 1",NA,NA,0.0349004181135909,0.0809184098175209,NA,NA,1.30037955027124,0.404860344086349,NA,NA,NA,NA,NA,NA,0.124973086511198,0.0781490304272806,NA,NA,NA,NA,-0.047755881751112,0.107252600936751,NA,NA,NA,NA,-2.01303922465024,0.463762148187499,NA,NA,0,87.8832107370039,329.616570653608,5,98,669.233141307216,3.59707457258708,0.00454660957815782,NA,0.77345274138099
"102","11/12","~1 ~ Whitebirch_150 + Whitespruce_150 + 1",NA,NA,NA,NA,NA,NA,1.3383889168169,0.421409464159948,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0671246517616588,0.110969213716149,0.0563361029924798,0.0749011852748459,NA,NA,-2.04696269896115,0.48197747520763,NA,NA,0,92.2594719072883,330.624769999734,4,98,669.249539999468,3.61347326483872,0.00450948276831026,NA,0.7779622241493
"103","8/9/12","~1 ~ Tamarack_150 + Tremblingaspen_150 + Whitespruce_150 + 1",NA,NA,NA,NA,NA,NA,1.28283504110819,0.397209684324383,NA,NA,NA,NA,NA,NA,0.119893839282225,0.0814526521522983,-0.0196450428036797,0.0966836083346658,NA,NA,NA,NA,0.0485901293670481,0.0765073189986695,NA,NA,-1.99303211903868,0.455648641805759,NA,NA,0,87.1239776982624,329.626273168656,5,98,669.252546337312,3.61647960268283,0.00450270934603271,NA,0.782464933495333
"104","6/8/12","~1 ~ Shrub_150 + Tamarack_150 + Whitespruce_150 + 1",NA,NA,NA,NA,NA,NA,1.28391747296955,0.397664125061241,NA,NA,0.0161414320916703,0.0806547975196718,NA,NA,0.121403652416163,0.0797579055237742,NA,NA,NA,NA,NA,NA,0.0459406442024193,0.0759182431267637,NA,NA,-1.99393075755734,0.45614261812256,NA,NA,0,89.0092948247023,329.627325671625,5,98,669.25465134325,3.61858460862129,0.00449797272416797,NA,0.786962906219501
"105","3/5/10","~1 ~ Bog_150 + Jackpine_150 + Water_150 + 1",NA,NA,0.0399222117332509,0.0804191135302779,NA,NA,1.36597338286918,0.431436808613174,-0.107418629122226,0.092503263041229,NA,NA,NA,NA,NA,NA,NA,NA,-0.142444303531452,0.117008716412449,NA,NA,NA,NA,NA,NA,-2.08761402719659,0.491140171829939,NA,NA,0,97.799179575427,329.629056491075,5,98,669.25811298215,3.62204624752133,0.00449019427897529,NA,0.791453100498476
"106","7/10/11","~1 ~ Swamp_150 + Water_150 + Whitebirch_150 + 1",NA,NA,NA,NA,NA,NA,1.34701404021235,0.429040270782825,NA,NA,NA,NA,0.0802774377592494,0.0666719164595608,NA,NA,NA,NA,-0.111043214974615,0.114633837364094,-0.0480237002038637,0.104426316441415,NA,NA,NA,NA,-2.06517587897007,0.489525423505334,NA,NA,0,104.833390668187,329.635489253291,5,98,669.270978506582,3.6349117719534,0.00446140263107139,NA,0.795914503129548
"107","8/12/13","~1 ~ Tamarack_150 + Whitespruce_150 + wtage_150 + 1",NA,NA,NA,NA,NA,NA,1.27859142819389,0.395749136062397,NA,NA,NA,NA,NA,NA,0.12354168435189,0.0781126017217662,NA,NA,NA,NA,NA,NA,0.0503003326623098,0.0804688475318514,-0.0135642696795749,0.0919674258043,-1.98766799176158,0.454196052486527,NA,NA,0,84.9529735111434,329.635994019583,5,98,669.271988039166,3.63592130453742,0.0044591512336707,NA,0.800373654363218
