18,78,1,2,4,5,6,7,8,9,10,11,12,13,14,15,16,17,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,58,59,60,61,62,63,64,65,66,67,69,70,71,72,73,74,75,77,80,81,82,83,84,88,,,,,,,,,,,,,,,,,,
19,81,1,2,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,70,71,72,73,74,75,76,77,78,82,83,84,85,86,88,,,,,,,,,,,,,,,
20,78,1,2,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,48,49,50,51,52,53,54,55,56,57,59,60,61,62,63,64,65,66,67,68,71,72,73,74,75,76,77,78,83,84,85,86,87,88,,,,,,,,,,,,,,,,,,
21,70,2,5,6,7,8,9,10,11,12,13,14,16,17,18,19,20,22,23,24,26,27,28,29,30,31,32,33,34,35,37,38,39,40,41,42,43,44,45,46,49,50,51,52,53,54,55,56,57,60,61,62,63,64,65,66,67,68,72,73,74,75,76,77,78,84,85,86,87,88,89,,,,,,,,,,,,,,,,,,,,,,,,,,
22,61,2,6,7,8,9,10,11,12,14,17,18,19,20,21,23,24,27,28,29,30,31,32,33,34,35,38,39,40,41,42,43,44,45,46,50,51,52,53,54,55,56,57,61,62,63,64,65,66,67,68,73,74,75,76,77,78,85,86,87,88,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,53,1,4,5,6,7,8,9,10,11,12,13,15,16,17,18,19,20,21,22,25,26,27,28,29,30,31,32,34,36,37,38,39,40,41,42,43,45,47,48,49,50,51,52,53,56,58,59,60,61,62,67,77,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,52,2,7,8,9,10,11,12,14,18,19,20,21,22,28,29,30,31,32,33,34,35,39,40,41,42,43,44,45,46,51,52,53,54,55,56,57,62,63,64,65,66,67,68,74,75,76,77,78,86,87,88,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,59,1,4,5,6,7,8,9,10,13,15,16,17,18,19,20,23,26,27,28,29,30,31,34,36,37,38,39,40,41,42,45,47,48,49,50,51,52,53,56,58,59,60,61,62,63,69,70,71,72,73,79,80,81,82,83,90,91,92,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,68,1,4,5,6,7,8,9,10,11,13,15,16,17,18,19,20,21,23,25,27,28,29,30,31,32,34,36,37,38,39,40,41,42,43,45,47,48,49,50,51,52,53,54,56,58,59,60,61,62,63,64,67,69,70,71,72,73,74,79,80,81,82,83,84,90,91,92,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,78,1,4,5,6,7,8,9,10,11,12,13,15,16,17,18,19,20,21,22,23,25,26,28,29,30,31,32,33,34,36,37,38,39,40,41,42,43,44,45,47,48,49,50,51,52,53,54,55,56,58,59,60,61,62,63,64,65,67,69,70,71,72,73,74,75,77,79,80,81,82,83,84,85,90,91,92,93,94,,,,,,,,,,,,,,,,,,
