"","SS","lam.hat500"
"1","BG_15_1",3.16182023442734
"2","BG_15_10",7.68205807329382
"3","BG_15_100",2.69768315411887
"4","BG_15_11",4.96686290026999
"5","BG_15_12",6.33295836703937
"6","BG_15_13",3.11914920787709
"7","BG_15_14",3.76565473936483
"8","BG_15_15",2.66303285377925
"9","BG_15_16",3.04708505039471
"10","BG_15_17",4.39853416403053
"11","BG_15_18",1.19541606991216
"12","BG_15_19",4.85373020024813
"13","BG_15_2",5.72644813880081
"14","BG_15_20",1.98615626014739
"15","BG_15_21",3.67669814956901
"16","BG_15_22",4.07310360606304
"17","BG_15_23",1.97472778561021
"18","BG_15_24",4.06544507084184
"19","BG_15_26",2.40552160177414
"20","BG_15_27",3.48375598680308
"21","BG_15_28",1.59955124816095
"22","BG_15_29",1.86770106518041
"23","BG_15_3",3.03858315106659
"24","BG_15_30",0.87545126264908
"25","BG_15_31",0.707436928671713
"26","BG_15_32",1.12060466298789
"27","BG_15_33",1.73976667887881
"28","BG_15_34",4.20661923356745
"29","BG_15_35",2.52866246107558
"30","BG_15_36",2.35687698381007
"31","BG_15_37",3.65690917479694
"32","BG_15_38",3.20863124698206
"33","BG_15_39",2.5023476436579
"34","BG_15_4",3.71920049876447
"35","BG_15_40",1.07678197911753
"36","BG_15_41",2.1315502238662
"37","BG_15_42",1.53859206087649
"38","BG_15_43",3.13166289016676
"39","BG_15_44",3.38661992309899
"40","BG_15_45",2.78392525280787
"41","BG_15_46",2.20249976350398
"42","BG_15_47",2.92315956012911
"43","BG_15_48",4.12232018415282
"44","BG_15_49",3.12604207922074
"45","BG_15_5",3.63236133812042
"46","BG_15_50",2.50124149468363
"47","BG_15_51",2.70742451434306
"48","BG_15_52",1.49031800208921
"49","BG_15_53",3.30698238163535
"50","BG_15_54",4.09842120088483
"51","BG_15_55",2.22211290954942
"52","BG_15_56",2.53176897127393
"53","BG_15_57",2.81958651234674
"54","BG_15_58",2.70960292875285
"55","BG_15_59",2.57566187437475
"56","BG_15_6",4.08819122474203
"57","BG_15_60",3.7756738493194
"58","BG_15_61",3.18730497776895
"59","BG_15_62",2.34804798448245
"60","BG_15_63",2.38313695744036
"61","BG_15_64",1.06896211125153
"62","BG_15_65",2.43949237391065
"63","BG_15_66",2.81320062476166
"64","BG_15_67",3.14538374822182
"65","BG_15_68",1.92423364938204
"66","BG_15_69",3.33174133783785
"67","BG_15_7",5.38693298742381
"68","BG_15_70",4.77829857422234
"69","BG_15_71",4.05979808158152
"70","BG_15_72",1.95017897659584
"71","BG_15_73",4.07418449783687
"72","BG_15_74",2.29205170411373
"73","BG_15_75",3.35948657297153
"74","BG_15_77",2.88295527790761
"75","BG_15_78",1.47154433582808
"76","BG_15_79",3.52030955482327
"77","BG_15_8",2.85054995059193
"78","BG_15_80",4.81012814885793
"79","BG_15_81",3.75525670819927
"80","BG_15_82",2.82638767405129
"81","BG_15_83",2.60775183732824
"82","BG_15_84",1.628790792918
"83","BG_15_85",2.33174899579342
"84","BG_15_86",2.34866213523727
"85","BG_15_87",2.54068650481673
"86","BG_15_88",1.70022212211369
"87","BG_15_89",5.76761424222849
"88","BG_15_9",8.47021069213745
"89","BG_15_90",6.37481028083616
"90","BG_15_91",13.4927231359482
"91","BG_15_92",4.38686591117762
"92","BG_15_93",2.73413269654159
"93","BG_15_94",2.01270400877524
"94","BG_15_95",0.746324755904212
"95","BG_15_96",3.21654473036986
"96","BG_15_97",1.72866342100858
"97","BG_15_98",2.28296446986497
"98","BG_15_99",4.73898937201738
