"","SS","lam.hat150"
"1","BG_15_1",1.70198536989482
"2","BG_15_10",2.92657190316436
"3","BG_15_100",2.91020230326832
"4","BG_15_11",1.27591428023794
"5","BG_15_12",2.65298463672897
"6","BG_15_13",1.86485106982772
"7","BG_15_14",2.16531766661768
"8","BG_15_15",2.14384868188417
"9","BG_15_16",2.19209960177161
"10","BG_15_17",1.76353561227148
"11","BG_15_18",1.47243367174175
"12","BG_15_19",2.22931980502803
"13","BG_15_2",2.61327346187294
"14","BG_15_20",3.70955870514705
"15","BG_15_21",1.68740674729026
"16","BG_15_22",2.04905287080579
"17","BG_15_23",1.85172587468994
"18","BG_15_24",2.35694352037886
"19","BG_15_26",1.57200744268179
"20","BG_15_27",1.57034405883504
"21","BG_15_28",1.41681834493866
"22","BG_15_29",1.76661251785097
"23","BG_15_3",1.5127170965088
"24","BG_15_30",1.58043444644678
"25","BG_15_31",2.00147008127171
"26","BG_15_32",2.32613892874387
"27","BG_15_33",1.82398495814836
"28","BG_15_34",1.64330273450634
"29","BG_15_35",1.84348396178463
"30","BG_15_36",1.9203868305661
"31","BG_15_37",1.20724769070242
"32","BG_15_38",1.6553620768136
"33","BG_15_39",2.29785424006211
"34","BG_15_4",2.28395073047894
"35","BG_15_40",2.35816017261025
"36","BG_15_41",1.50734363588531
"37","BG_15_42",2.09770279779247
"38","BG_15_43",2.05199870677293
"39","BG_15_44",1.97348462537248
"40","BG_15_45",2.16901778777854
"41","BG_15_46",1.90813727298639
"42","BG_15_47",1.7261281215649
"43","BG_15_48",1.20292491764875
"44","BG_15_49",2.4935473633267
"45","BG_15_5",2.41021584988903
"46","BG_15_50",2.39437278426317
"47","BG_15_51",1.32141349109772
"48","BG_15_52",2.00668608594892
"49","BG_15_53",2.90109637078722
"50","BG_15_54",1.91827618352314
"51","BG_15_55",2.60445742202703
"52","BG_15_56",2.59788999870734
"53","BG_15_57",2.27456529944919
"54","BG_15_58",2.23315936828431
"55","BG_15_59",2.30647992998334
"56","BG_15_6",2.11618944173697
"57","BG_15_60",2.60741843378547
"58","BG_15_61",2.43497046740783
"59","BG_15_62",2.80599826793062
"60","BG_15_63",2.56446988960661
"61","BG_15_64",2.35383114392027
"62","BG_15_65",2.4706537873548
"63","BG_15_66",2.16918878794083
"64","BG_15_67",2.63793117802089
"65","BG_15_68",1.92920873317401
"66","BG_15_69",1.97509665371717
"67","BG_15_7",1.59017434517945
"68","BG_15_70",2.14751839972135
"69","BG_15_71",1.94807515177834
"70","BG_15_72",1.85862956238433
"71","BG_15_73",0.874166163205777
"72","BG_15_74",2.0953049151039
"73","BG_15_75",2.68600265838029
"74","BG_15_77",2.23720880470931
"75","BG_15_78",3.01198428594632
"76","BG_15_79",2.16546489804837
"77","BG_15_8",1.21423266243834
"78","BG_15_80",1.9943461795142
"79","BG_15_81",2.28680680396526
"80","BG_15_82",2.41775480154591
"81","BG_15_83",2.62216295111678
"82","BG_15_84",1.92819036692067
"83","BG_15_85",2.59019701562263
"84","BG_15_86",1.32502306092014
"85","BG_15_87",4.06325633770308
"86","BG_15_88",3.74283827686558
"87","BG_15_89",1.67626283154671
"88","BG_15_9",2.45027454461712
"89","BG_15_90",1.0318392851868
"90","BG_15_91",1.29957775402206
"91","BG_15_92",1.72940182544341
"92","BG_15_93",2.28763159693402
"93","BG_15_94",1.59043633454192
"94","BG_15_95",1.29775624923111
"95","BG_15_96",3.58822020835811
"96","BG_15_97",3.86769472132198
"97","BG_15_98",4.3191271080256
"98","BG_15_99",2.01137347166776
