"","SS","lam.hat500"
"1","BG_15_1",4.15782390266193
"2","BG_15_10",3.59606530059904
"3","BG_15_100",6.04332555235475
"4","BG_15_11",2.50043111757518
"5","BG_15_12",2.82898201110556
"6","BG_15_13",4.4331298284517
"7","BG_15_14",3.90421803549229
"8","BG_15_15",4.52963961836965
"9","BG_15_16",4.10709545848488
"10","BG_15_17",3.08796935608161
"11","BG_15_18",2.08164980375323
"12","BG_15_19",3.98931777918504
"13","BG_15_2",4.26406526864046
"14","BG_15_20",3.65954031125509
"15","BG_15_21",2.87535845753113
"16","BG_15_22",2.92316004053086
"17","BG_15_23",3.63297714093751
"18","BG_15_24",3.95886223634424
"19","BG_15_26",5.25792827651881
"20","BG_15_27",5.38144895645191
"21","BG_15_28",3.00314281953164
"22","BG_15_29",4.5296299394553
"23","BG_15_3",4.328185338348
"24","BG_15_30",4.58471228776166
"25","BG_15_31",3.28523660582306
"26","BG_15_32",3.81876817521352
"27","BG_15_33",3.7947620104518
"28","BG_15_34",3.28058548995927
"29","BG_15_35",4.24620874310598
"30","BG_15_36",3.9457898437059
"31","BG_15_37",2.72721464387136
"32","BG_15_38",3.28810998072433
"33","BG_15_39",3.86182284031039
"34","BG_15_4",3.69649611002691
"35","BG_15_40",3.69954235087846
"36","BG_15_41",4.44758224201346
"37","BG_15_42",4.20788980694389
"38","BG_15_43",3.399476252529
"39","BG_15_44",3.3470915560375
"40","BG_15_45",3.55176463360154
"41","BG_15_46",3.43940418662494
"42","BG_15_47",2.44714782075333
"43","BG_15_48",3.89415680442943
"44","BG_15_49",3.66633637918956
"45","BG_15_5",4.1386966182455
"46","BG_15_50",5.37031094528195
"47","BG_15_51",3.07344452751091
"48","BG_15_52",3.1948951629904
"49","BG_15_53",2.65956297863807
"50","BG_15_54",3.05492341530545
"51","BG_15_55",3.56991828729131
"52","BG_15_56",4.21874147967033
"53","BG_15_57",4.47785531321661
"54","BG_15_58",7.65819946767923
"55","BG_15_59",5.2594564036909
"56","BG_15_6",3.55742181080141
"57","BG_15_60",6.38601272063375
"58","BG_15_61",4.11768309962505
"59","BG_15_62",3.80874453937616
"60","BG_15_63",3.07158568631997
"61","BG_15_64",4.18366509467893
"62","BG_15_65",3.97475736889625
"63","BG_15_66",4.64998990055408
"64","BG_15_67",4.287031295281
"65","BG_15_68",3.99159696596103
"66","BG_15_69",5.84614845929797
"67","BG_15_7",2.66889836138307
"68","BG_15_70",7.2138664115942
"69","BG_15_71",6.31932555489147
"70","BG_15_72",6.07007765757673
"71","BG_15_73",4.15633999812025
"72","BG_15_74",3.99836462941515
"73","BG_15_75",4.60788505994829
"74","BG_15_77",5.17793393005085
"75","BG_15_78",5.34859446913045
"76","BG_15_79",7.52982043706562
"77","BG_15_8",2.39581414553663
"78","BG_15_80",6.61668679770849
"79","BG_15_81",3.80964309178139
"80","BG_15_82",6.22116245612618
"81","BG_15_83",6.61088360699713
"82","BG_15_84",4.37666320275715
"83","BG_15_85",3.97266951021898
"84","BG_15_86",6.73827496069509
"85","BG_15_87",5.22610579444564
"86","BG_15_88",6.20857361806996
"87","BG_15_89",7.180026475793
"88","BG_15_9",3.76998264958809
"89","BG_15_90",6.25767352676091
"90","BG_15_91",1.76207005362831
"91","BG_15_92",4.0852110323455
"92","BG_15_93",4.47055074360775
"93","BG_15_94",3.65215759332771
"94","BG_15_95",2.68178484629454
"95","BG_15_96",4.8334047997782
"96","BG_15_97",4.46429846302483
"97","BG_15_98",5.74061223212535
"98","BG_15_99",6.72849016217491
