"","SS","VPC_00.01m_Grid.1x1m","VPC_01.02m_Grid.1x1m","VPC_02.03m_Grid.1x1m","VPC_03.04m_Grid.1x1m","VPC_04.05m_Grid.1x1m","VPC_05.06m_Grid.1x1m","VPC_06.07m_Grid.1x1m","VPC_07.08m_Grid.1x1m","VPC_08.09m_Grid.1x1m","VPC_09.10m_Grid.1x1m","VPC_10.11m_Grid.1x1m","VPC_11.12m_Grid.1x1m","VPC_12.13m_Grid.1x1m","VPC_13.14m_Grid.1x1m","VPC_14.15m_Grid.1x1m","VPC_15.16m_Grid.1x1m","VPC_16.17m_Grid.1x1m","VPC_17.18m_Grid.1x1m","VPC_18.19m_Grid.1x1m","VPC_19.20m_Grid.1x1m","VPC_20m.above_Grid.1x1m"
"1","BG_15_1",3.26980252939871,1.36421122698025,1.50382737963168,1.04581761704016,0.867816729531839,0.899323274905702,0.972542711337919,1.08536720656756,1.23779676059463,1.34662746838252,1.32183270468161,1.28283780785445,1.16956955846461,1.10788773019747,0,1.04653871755048,0.987075660084313,1.83919458619925,0.703905036609718,0.526514311071666,1.29504104725982
"2","BG_15_10",2.85908018867925,0.858195754716981,0.916568396226415,1.03714622641509,1.19870283018868,1.27034198113208,1.36379716981132,1.44899764150943,1.61232311320755,1.86674528301887,1.84433962264151,1.71963443396226,1.66096698113208,1.63885613207547,0,1.36114386792453,0.907134433962264,0.459610849056604,0.00294811320754717,0,0
"3","BG_15_100",5.23156033385203,1.47142452963644,1.48101570236243,1.39592587353232,1.41966331871552,1.46040458339228,1.52321403310228,1.54583392276135,1.49936341773943,1.3678030838874,1.16306408261423,0.895883434714953,0.587438110058,0.348366105531193,0,0.179417173574763,0.0751732918376008,0.0340642240769557,0.00120243315886264,0.000127316452114868,0
"4","BG_15_11",11.4482812278964,2.89722733059839,3.73989248832933,2.94904512660914,2.3084311783845,1.86445041731504,1.70384778610836,1.65474607440939,1.59359173857688,1.48049229028151,1.29766586504456,1.11970575753289,0.948705616070166,0.74098175130853,0,0.486263969444052,0.271198189277125,0.168991370773801,0.0155891922478427,0.00373461592870279,0.00195218559909464
"5","BG_15_12",10.367265525534,2.66205969726977,3.3414202857547,3.09390295657094,3.00507851181214,2.98298203423398,2.80032536426652,2.49257320695997,1.9967605036073,1.49956146555383,1.04405149243174,0.669175272315745,0.407709718489178,0.209916536992502,0,0.0984722025746216,0.0381807893620031,0.0172301598528788,0.000679021077945961,0.000141462724572075,0
"6","BG_15_13",10.7763757249965,3.92078087423964,3.89773659640685,2.73815249681709,2.35552411939454,2.1527938888103,1.92134672513793,1.73873249398783,1.56034799830245,1.42959400198048,1.29687367378696,1.21322676474749,1.14076955722167,1.08939029565709,0,1.00200877068892,0.945225633045693,1.70227754986561,0.767378695713679,0.727090111755552,3.00565850898288
"7","BG_15_14",8.89726976941576,2.24934219833074,2.40404583392276,1.94191540529071,1.83970858678738,1.88473617201867,1.86522846230018,1.83628518885274,1.7380817654548,1.63277691328335,1.51457066063092,1.44341491017117,1.36610553119253,1.2873390861508,0,1.19039468100156,1.09326637431037,1.90246145140755,0.764224076955722,0.622252086575187,1.15545338803225
"8","BG_15_15",10.7746215872118,2.13645494412222,2.48970151365115,2.21391993209789,2.05625972556231,1.91861649455368,1.87459329466686,1.82334134955439,1.76743528080351,1.68368934785684,1.5842976375725,1.46259725562314,1.28088838591031,1.09893902956571,0,0.893676616211628,0.712123355495827,1.01714528221814,0.410256047531475,0.360814825293535,0.693704908756543
"9","BG_15_16",10.4427075965483,2.23023058424105,2.481157165087,2.17077380110341,2.0405290705899,1.90643655396803,1.79770830386193,1.71734333003254,1.64372612816523,1.53803932663743,1.37916254067053,1.2157023624275,1.03529494978073,0.912957985570802,0,0.835804215589192,0.778342056868015,1.41820625265243,0.590748337812986,0.45511387749328,0.807709718489178
"10","BG_15_17",9.27839864195784,2.20418729664733,2.46559626538407,2.10557363134814,1.82273305983873,1.62263403593153,1.48033668128448,1.33867590889801,1.16419578441081,1.02373744518319,0.922648182203989,0.847800254632904,0.829212052624134,0.746527090111755,0,0.60820483802518,0.475187438110058,0.509859951902673,0.114188711274579,0.0892629792049795,0.169274296222945
"11","BG_15_18",2.48212788334447,2.84248376231151e-05,2.84248376231151e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12","BG_15_19",11.6873249398783,2.9104116565285,3.25195925873532,2.79016834064224,2.53570519168199,2.33438958834347,2.06159287027868,1.74594709294101,1.44266515773094,1.17049087565427,0.915235535436413,0.736101287310794,0.714542368086009,0.846413919932098,0,1.00619606733626,1.19088980053756,2.32293110765313,0.874338661762625,0.691441505163389,1.0477012307257
"13","BG_15_2",5.0960370829797,1.45870601292681,1.76992883723967,1.6565254292616,1.53163152053274,1.37037278840504,1.21224782920938,1.02232813214076,0.780244173140955,0.521903767056212,0.339035059084677,0.175034275641444,0.107854018410916,0.0443951165371809,0,0.0146895606189202,0.00267676437944767,0.00104459097734543,0,0,0
"14","BG_15_20",5.94410807752157,1.83577592304428,2.52615645777338,2.56186164945537,2.76688357617768,2.90546046116848,2.92484085443486,2.9415193096619,2.96341773942566,2.81698967322111,2.51812137501768,2.08408544348564,1.63243740274438,1.28595275144999,0,1.06896307822889,0.981553260715802,1.56542651011458,0.632140331022776,0.518064789927854,0.686094214174565
"15","BG_15_21",5.87493280520583,1.43925590606875,1.57351817796011,1.18104399490734,1.00813410666289,0.908728250106097,0.88525958409959,0.891455651435847,0.938180789362003,0.960093365398217,0.967647474890366,0.941264676757674,0.878313764323101,0.759711416041873,0,0.59974536709577,0.434191540529071,0.621587211769699,0.238477861083604,0.182868864054322,0.243231008629226
"16","BG_15_22",5.71380676191823,1.46327627670109,1.81539114443344,1.54860659216297,1.38708445324657,1.19694440514924,1.05120950629509,0.911090677606451,0.774890366388457,0.644164662611402,0.519847220257462,0.418418446739284,0.310567265525534,0.22380817654548,0,0.145183194228321,0.0975526948649031,0.15152072428915,0.0757108501909747,0.0785542509548734,0.121742820766728
"17","BG_15_23",5.33301739991512,1.6649596831235,1.72447305135097,1.20698825859386,1.01782430329608,0.953458763615787,0.876955722167209,0.808926297920498,0.757278257179233,0.715376998160985,0.693068326495968,0.666558211911161,0.621445749045127,0.575739142735889,0,0.560291413212618,0.54088272740133,0.975880605460461,0.407978497665865,0.380364973829396,1.57545621728674
"18","BG_15_24",7.42112038477861,1.46280944971,1.54378271325506,1.30664874805489,1.23215447729523,1.12593011741406,1.04333003253643,0.959951902673645,0.872612816522846,0.738675908898005,0.569953317300891,0.406280944971,0.259244589050785,0.165921629650587,0,0.0997029282783987,0.0487763474324516,0.020384778610836,0.000891215164804074,0.000198047814400905,1.41462724572075e-05
"19","BG_15_26",7.53775640118829,1.75415193096619,1.712066770406,1.14845098316594,0.91428773518178,0.786843966614797,0.671070872825011,0.559555807044844,0.482769840147121,0.45658508982883,0.431715942849059,0.419380393266374,0.409463856273872,0.426326213042863,0,0.414556514358466,0.42162965058707,0.823525251096336,0.352143160277267,0.269543075399632,0.354434856415335
