"","SS","VPD__0.1m_Grid.1x1m","VPD__0.50cm_Grid.1x1m","VPD__1.2m_Grid.1x1m","VPD__10.11m_Grid.1x1m","VPD__100.150cm_Grid.1x1m","VPD__11.12m_Grid.1x1m","VPD__12.13m_Grid.1x1m","VPD__13.14m_Grid.1x1m","VPD__14.15m_Grid.1x1m","VPD__15.16m_Grid.1x1m","VPD__150.200cm_Grid.1x1m","VPD__16.17m_Grid.1x1m","VPD__17.18m_Grid.1x1m","VPD__18.19m_Grid.1x1m","VPD__19.20m_Grid.1x1m","VPD__2.3m_Grid.1x1m","VPD__3.4m_Grid.1x1m","VPD__4.5m_Grid.1x1m","VPD__5.6m_Grid.1x1m","VPD__50.100cm_Grid.1x1m","VPD__6.7m_Grid.1x1m","VPD__7.8m_Grid.1x1m","VPD__8.9m_Grid.1x1m","VPD__9.10m_Grid.1x1m","VPD__Abv200cm_Grid.1x1m","VPD__Abv20m_Grid.1x1m"
"1","BG_15_1",0.321583704759681,0.29418715192354,0.138155199580318,0.0900403543739806,0.0816684425120145,0.087864852744881,0.0850922320575673,0.0817059573657025,0,0.0758840832034782,0.0970546935957549,0.0711122874457999,0.106590782627505,0.0609733719860899,0.059934029386236,0.14497399634663,0.123996531969004,0.111291569566902,0.102033203650816,0.103124733276365,0.098146610596948,0.0962090986921396,0.0954331066907785,0.0934965404688773,0.353126145827169,0.145164549203798
"2","BG_15_10",0.349255905107081,0.333449168352406,0.148263460837658,0.0904818378937748,0.0856444890380624,0.0809869694692519,0.0697940773496386,0.0589847124335333,0,0.0501927606550205,0.108127911466543,0.0430375519371045,0.0591538748114748,0.0322005441979211,0.0278184935386503,0.163375991872282,0.147870633824192,0.134605789898806,0.123665860343343,0.101758582675514,0.115750752033589,0.109591840475274,0.104427291626148,0.098605964287173,0.368376875717649,0.0337946815554499
"3","BG_15_100",0.353453538156409,0.326216814976143,0.155825409781172,0.0780179009053527,0.0911092123465076,0.0722807868998061,0.0667746864039713,0.0608899785408441,0,0.0541635610097317,0.0975714426797371,0.0471547112167415,0.0642001414125903,0.0346495425180229,0.0332953679856817,0.133949107634304,0.110923464689523,0.0999812008779099,0.0936836906117223,0.11574539746688,0.0901792888931939,0.0882124922166272,0.0865481699099822,0.0829393189481508,0.376150982552619,0.0830871470923096
"4","BG_15_11",0.34638959989104,0.325900480813131,0.13113016130398,0.072420827300868,0.0734898298071136,0.0697936952343644,0.0665176621612313,0.0628754273634558,0,0.0575485186131509,0.0923603960188296,0.0529382736072536,0.077381210489393,0.0417639765447086,0.0397285398953175,0.143090757233123,0.116961716536206,0.0978127304644451,0.0863790934620082,0.0938427200749464,0.0803679947354155,0.0778692492423276,0.0769230743842235,0.0751095205960648,0.368363515218088,0.0942992852466592
"5","BG_15_12",0.341431328204239,0.325455867182379,0.138016349188679,0.0566713272563681,0.0784357457765676,0.0518374458003682,0.0479445625124824,0.04376408586157,0,0.0412396067664513,0.0984561247676037,0.0394302036284582,0.0623721796694796,0.0371570112465123,0.0350334948047921,0.151121541461687,0.125242524007224,0.105644145899824,0.0921668847476435,0.102420339736147,0.0829947232135537,0.0752559991344021,0.0684550741904887,0.0619135543601962,0.353421634884126,0.0814057366799577
"6","BG_15_13",0.326585320504341,0.307134126559998,0.12898670138899,0.0670142019160053,0.0741492236114054,0.0636973457251337,0.0605332414865139,0.057742088352615,0,0.0553555571163371,0.0875485106535334,0.05278013016371,0.0805498836958592,0.046537291457712,0.0441777116741401,0.133833356451923,0.111413467407365,0.0981635412238284,0.0899563438053068,0.097257135033732,0.0842205061386156,0.0792069898628357,0.0752390237223868,0.0712928426703276,0.342167727045583,0.138693465999406
"7","BG_15_14",0.339578171795396,0.322791854360366,0.129906991850455,0.0677510815440373,0.0746877963918922,0.0642686533457043,0.0610031989589549,0.0581407413540223,0,0.0540042216601513,0.0901320154628424,0.0500084267537414,0.0707013958430643,0.0358901449166048,0.0314882705552248,0.136078753439101,0.114922586016422,0.101239597265191,0.0918741751392035,0.0991902212402309,0.085107844008672,0.0802303880370354,0.0758124336085407,0.0709978148179983,0.35166000871392,0.077405912679286
"8","BG_15_15",0.332469518353648,0.315299746207919,0.121745104412386,0.0740072423666558,0.0704383161304638,0.071620266667341,0.0687724031430493,0.0660045177009469,0,0.0624482235621974,0.083788766052898,0.0583763019708495,0.0849380537645803,0.0447553602588188,0.0405190619227181,0.128398660119902,0.112606049852346,0.101624967692377,0.0943016354490033,0.0956708770733568,0.0881376933311825,0.0838702926776427,0.079943538402696,0.0765420016532181,0.347068303574742,0.0817908373405201
"9","BG_15_16",0.341058066891563,0.322740197208759,0.126349729335717,0.069596987055186,0.0727397570234704,0.0677940180511245,0.0663864258434768,0.0643164199471721,0,0.0617798184458462,0.0870301557718128,0.0590118237585641,0.0897466092814502,0.0515547252089579,0.0512044136084729,0.131588424208803,0.109352468332324,0.0958144001177874,0.0882804565087871,0.097743982160354,0.0825972506508669,0.0781284380181358,0.0746011968874836,0.0716750266602844,0.355007926229227,0.128510332603348
"10","BG_15_17",0.375914948646004,0.370269325809219,0.131155309610071,0.0627444606023924,0.0755769936909019,0.0619440289933612,0.0621217023253702,0.0615315170945712,0,0.0583096831489664,0.0913613431862396,0.05541545687534,0.0760599772987507,0.0373855588461386,0.0335631020311471,0.13514497686969,0.109800331694467,0.0937683680343066,0.0826876818882748,0.102558241593176,0.0757681304234319,0.0712261168751683,0.0672929009750671,0.0639941298682303,0.373152095446567,0.0826389474911093
"11","BG_15_18",0.331030665674743,0.347486181436461,0.0974032477699319,0.0385178875160535,0.0548503137339569,0.0386795271379035,0.0384689934670042,0.0377552521391895,0,0.0356064788707761,0.0667328978037255,0.0335213960472995,0.0470165599039189,0.0230614592113901,0.0194367969778503,0.0980917686348981,0.0796863726562298,0.0667300568225807,0.05642828216404,0.0795757169635154,0.0492730957337763,0.0451534737224751,0.0412454791173667,0.0399803708641188,0.304698756678217,0.0257892206466898
"12","BG_15_19",0.387440935032479,0.380162259790879,0.120918731001866,0.0665094623561132,0.0697873367554294,0.0632186172412831,0.0600457052441,0.0579052529292142,0,0.0564562475431333,0.082823461201883,0.0567881071112604,0.0967799081247533,0.0551308348771501,0.0517507670322956,0.126685042319444,0.110134434985808,0.0990528103152452,0.090825128041008,0.0928122088584676,0.0846064183200873,0.0793475829660295,0.0746040935839125,0.0702447162360936,0.389779780394113,0.0984962548631936
"13","BG_15_2",0.359316711559576,0.342106602296718,0.14772657505462,0.0728936383369174,0.0886782832353867,0.0636262820639212,0.0548970048848801,0.0467454279495697,0,0.0370078548691412,0.106418495835356,0.0296214718812607,0.0350022248105855,0.0117103602301124,0.00857710819843855,0.156468131220139,0.138414926138582,0.124669939543853,0.114371222625077,0.116933323254539,0.10742407588367,0.100349122929601,0.092558982507844,0.083445680590117,0.370315959906574,0.0143903787032496
"14","BG_15_20",0.286898141220695,0.269636239626215,0.11258763172839,0.0938207520279252,0.0620916710983862,0.090005653638042,0.0842020011502874,0.078095342646958,0,0.0733530326940147,0.0789836140055842,0.0692944101110963,0.111260420211435,0.0633197604218713,0.0596782222333299,0.126885968542136,0.114307985074727,0.106585517987405,0.100751261665018,0.0741354703697663,0.0970006108837329,0.0953551869209688,0.0957193420526741,0.0960965435428764,0.311273920326485,0.120326820751141
"15","BG_15_21",0.336942036467526,0.31594515475261,0.126561227203794,0.0707156766311384,0.0697242592860561,0.0698138301633022,0.0681265095069021,0.0650126010511791,0,0.0616424908179843,0.087408607569993,0.0588399133918481,0.0917048168349598,0.0517757367310662,0.0487275949977433,0.136610964369077,0.111344289400942,0.0908670926154338,0.0789068522564043,0.0900459218275728,0.0724377928747383,0.0699117978837003,0.0698557800445977,0.0705992188493116,0.359497017530509,0.103087728681289
"16","BG_15_22",0.32724126391096,0.307610792425577,0.128190498632974,0.0681378506026174,0.0701593886647681,0.0662448602549512,0.0633651464771807,0.0593494701571912,0,0.0567765028703854,0.0888718752633879,0.0543157532544552,0.0869903290040404,0.0530362280687303,0.0523392440813041,0.140145354163315,0.116068304890102,0.0960076021109966,0.0827735867529202,0.0886253705831007,0.0754182126019068,0.0723649754626159,0.0703330239535121,0.0689661852590472,0.349784200887009,0.139567658377037
"17","BG_15_23",0.309037633747207,0.290280179051445,0.121269145169841,0.07079567062444,0.0676407703026818,0.0691649025851224,0.0666289366301767,0.0639798937678593,0,0.0614488010652027,0.0807768363654581,0.0593011369330967,0.0942767929059456,0.0585532683400281,0.0606261468077588,0.124440044732133,0.102614376750165,0.0896627613234299,0.0823774007694929,0.0844134125570985,0.0778375595940603,0.0753849291439933,0.0742481866977886,0.0730350954503792,0.329477682476147,0.189531094623179
"18","BG_15_24",0.340203331680182,0.327283492084334,0.128311969230876,0.0599803949926838,0.0721763295206892,0.0548694667717917,0.0493051819305716,0.0450135526259692,0,0.0404309987466307,0.0879703079966028,0.03580983558517,0.0489134256627206,0.0243766364667559,0.0227924093426313,0.134555596905437,0.112740064068865,0.0977250600853549,0.0867005658898299,0.0954674610654616,0.079162853824458,0.0740429827983076,0.0696953186598977,0.0652534021307444,0.345912859578581,0.0654693698381648
"19","BG_15_26",0.337206337030852,0.316692838898596,0.12516608445812,0.0657513236719133,0.0708652687055323,0.0645573710312736,0.063201766995409,0.062621469463348,0,0.0623611326957764,0.0830905510710427,0.0610811564717484,0.0976549856951049,0.0584107493369276,0.0578810558011231,0.12743203099079,0.104420386802827,0.0902971172852507,0.0834408868731791,0.0928369057466888,0.077705441783666,0.0734508995016349,0.0704390348078613,0.0677665683452756,0.354612393363591,0.140791448431069
"20","BG_15_27",0.37322562409276,0.367330392757517,0.128282830314859,0.0549751935180875,0.074358491388181,0.0533488681096374,0.0510459037932801,0.0494025253911859,0,0.0475480412889327,0.0849594260779088,0.0455672159554584,0.0678997210312624,0.0364882003561189,0.0333697158376286,0.126409168619379,0.100892567516259,0.0849191726992404,0.0759987598342297,0.100643911202688,0.0699632640003819,0.0652925298314993,0.0613805648493901,0.0578610055040001,0.367230038751905,0.0762921531117629
