,SS,mean_MaxHeight,mean_MeanHeight,mean_PercCanopyCoverCut0.1m,mean_PercCanopyCoverCut0.5m,mean_PercCanopyCoverCut1.0m,mean_PercCanopyCoverCut1.5m,mean_PercCanopyDensity,sd_MaxHeight,sd_MeanHeight,sd_PercCanopyCoverCut0.1m,sd_PercCanopyCoverCut0.5m,sd_PercCanopyCoverCut1.0m,sd_PercCanopyCoverCut1.5m,sd_PercCanopyDensity,cv_MaxHeight,cv_MeanHeight,cv_PercCanopyCoverCut0.1m,cv_PercCanopyCoverCut0.5m,cv_PercCanopyCoverCut1.0m,cv_PercCanopyCoverCut1.5m,cv_PercCanopyDensity,kurtosis_MaxHeight,kurtosis_MeanHeight,kurtosis_PercCanopyCoverCut0.1m,kurtosis_PercCanopyCoverCut0.5m,kurtosis_PercCanopyCoverCut1.0m,kurtosis_PercCanopyCoverCut1.5m,kurtosis_PercCanopyDensity,skewness_MaxHeight,skewness_MeanHeight,skewness_PercCanopyCoverCut0.1m,skewness_PercCanopyCoverCut0.5m,skewness_PercCanopyCoverCut1.0m,skewness_PercCanopyCoverCut1.5m,skewness_PercCanopyDensity,strata_00_to_02_returnProportion,strata_02_to_04_returnProportion,strata_04_to_06_returnProportion,strata_06_to_08_returnProportion,strata_08_to_10_returnProportion,strata_10_to_15_returnProportion,strata_15_to_20_returnProportion,strata_20_above_returnProportion
58,BG_15_61,18.65404543,11.49727793,86.4838,75.91697637,74.11534741,72.83304913,84.48714688,4.576067372,4.092362631,14.85897479,21.12929097,21.39039667,21.2927138,14.75750998,24.53123313,35.59418721,17.18122329,27.83210289,28.86095446,29.23496139,17.46716575,7.192849214,3.495036476,9.176472648,5.683358922,5.583694288,5.562093272,7.551977095,-1.834097465,-0.631553982,-2.209663756,-1.555577735,-1.534572279,-1.525056357,-1.832087834,0.24964238,0.063692435,0.022584507,0.028920004,0.035715788,0.099608156,0.350089944,0.149746788
59,BG_15_62,10.31916212,6.160561213,77.37241023,68.96921608,68.29329345,67.75656657,74.35921351,4.174342472,3.052892494,22.59646957,27.6775102,27.93130863,28.09142036,21.23894789,40.45233928,49.55542829,29.20481539,40.13023748,40.89905057,41.4593327,28.56263116,3.205499839,2.729502497,4.745434514,3.445703863,3.353773514,3.28936138,4.75023828,-0.496991181,-0.052086137,-1.520871816,-1.186958314,-1.15757354,-1.136099839,-1.453486256,0.25435828,0.091472464,0.12627071,0.167613536,0.147490609,0.164001901,0.048742989,4.95E-05
60,BG_15_63,10.59603449,6.384944007,77.63121655,67.02384833,65.83082209,64.89600407,75.40400866,4.649196781,3.668840377,21.72960462,29.0057696,29.58546914,30.00503342,20.28548088,43.8767615,57.46080738,27.9908078,43.27678926,44.94166745,46.23556389,26.90239052,2.659439911,2.201450151,4.155970426,2.860808137,2.722056566,2.619202894,4.035277823,-0.57315757,0.002087588,-1.335056382,-0.981537071,-0.933739891,-0.89550872,-1.218479595,0.281502141,0.098964008,0.103133055,0.114050693,0.123002676,0.213477724,0.065823831,4.59E-05
61,BG_15_64,15.72738305,9.708122932,85.57760244,72.31221684,70.40734283,69.46011709,84.26236956,7.330934856,5.540755314,17.75715463,28.03079328,29.34854938,30.04933909,16.9095041,46.61255362,57.07339465,20.74976878,38.76356514,41.68393267,43.26128482,20.06768168,2.478131003,2.279057492,7.111591345,3.727733497,3.39079244,3.247441446,7.084621003,-0.657815347,-0.124033601,-2.026140051,-1.302718972,-1.21240212,-1.175990799,-1.959855464,0.287654026,0.056790659,0.04850664,0.059737968,0.061994506,0.13082144,0.240142668,0.114352095
62,BG_15_65,4.772118096,2.462888777,71.12023418,49.79233898,46.21230591,43.61931789,70.88619241,3.242321835,2.109728622,25.598746,34.61862321,34.84534458,34.70695743,25.18221293,67.9430343,85.66073474,35.99361883,69.52600323,75.40273937,79.56785917,35.52484916,2.429746808,3.330957021,2.72078544,1.551699915,1.49129812,1.482296631,2.782780776,0.312253786,0.888552464,-0.879913561,-0.202670887,-0.072275462,0.023460294,-0.898375978,0.547858594,0.179399311,0.152197632,0.079646551,0.029215297,0.011511413,0.000171205,0
63,BG_15_66,5.373470601,3.067579538,55.40297785,40.45435225,37.98481802,36.53764315,54.83340547,5.286434941,3.461452547,33.42833333,37.2625144,37.48820774,37.39001828,32.65994436,98.38027104,112.839863,60.33670866,92.11002607,98.69260851,102.3328684,59.5621302,2.112932303,2.895292649,1.532835767,1.417596136,1.439981963,1.472859799,1.56217746,0.68623605,1.041055269,-0.197769698,0.224691857,0.31058637,0.366421113,-0.208246096,0.586226418,0.11434049,0.078372889,0.065445487,0.059361386,0.078160094,0.018093238,0
64,BG_15_67,3.453696868,1.70273861,54.58901756,30.91314581,28.59226264,27.06907609,54.59596588,3.410322642,2.025627199,28.91352877,33.46838871,32.74139599,32.14473551,28.5677536,98.7441218,118.9628982,52.96583463,108.2658779,114.5113851,118.7507672,52.32575913,3.121157266,5.610706271,1.694069317,1.842297156,1.988759475,2.109122002,1.706049857,0.887970878,1.588614625,-0.046366613,0.600306809,0.700906852,0.774095049,-0.066724129,0.693848239,0.131866619,0.091739243,0.051814952,0.021091564,0.00874804,0.000891344,0
65,BG_15_68,16.59583697,11.40816875,89.05302873,84.88041485,84.55404681,84.34907101,83.14358615,3.983930674,3.379199326,13.33161259,17.07560712,17.28426871,17.4077403,13.12657155,24.00560261,29.62087432,14.97042019,20.1172522,20.44168123,20.63773803,15.78783423,3.923958298,3.538546432,12.75864957,10.28446918,10.02697618,9.831508245,8.35650805,-0.645810435,-0.459815447,-2.722570143,-2.409851354,-2.370627535,-2.342101694,-1.858032556,0.124935375,0.027389452,0.039032427,0.058730042,0.105357425,0.283132596,0.304083584,0.057339102
66,BG_15_69,2.463122041,1.26421863,44.30780097,27.23631967,24.45029269,22.2471494,44.17449734,2.877290278,1.710792216,35.7772893,34.69468929,33.31555059,32.10842122,35.62051371,116.8147672,135.3240789,80.7471563,127.3839113,136.2582895,144.3260017,80.63592312,3.418507639,6.954735249,1.468486297,2.153382913,2.497479725,2.863600031,1.469227024,1.156612674,1.943792854,0.239117441,0.859500871,1.02371068,1.172833648,0.236695554,0.756447312,0.135772126,0.052289622,0.030805787,0.021452517,0.003232639,0,0
67,BG_15_7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,BG_15_70,5.497611734,3.14993637,75.08108928,59.41062607,55.34429875,52.05744461,74.22904043,3.199506282,2.375421624,24.1821701,30.63951602,32.0062349,32.77559407,23.6047261,58.19811287,75.4117336,32.20807041,51.572451,57.83113278,62.96043595,31.79985348,2.230665606,2.546912195,3.68740164,2.071900144,1.811606997,1.681059193,3.699852461,0.308839627,0.689543432,-1.232326508,-0.563210223,-0.399567306,-0.274147983,-1.213832874,0.44992563,0.214810446,0.131875633,0.116421182,0.065992877,0.020857625,0.00011661,0
69,BG_15_71,4.099707434,2.104431152,70.70440309,50.18939932,45.9094171,42.95164158,70.46104599,2.50276333,1.580601151,25.93945598,33.52818936,34.01941848,33.8578904,25.58705655,61.04736424,75.10823763,36.68718615,66.80332862,74.10117711,78.82793103,36.31376202,2.464620791,2.921836071,2.650748441,1.613510952,1.549029143,1.546925602,2.692414546,0.087329338,0.633969082,-0.842986809,-0.188150966,-0.054304001,0.053194841,-0.851409806,0.552226019,0.240439513,0.157711602,0.042210131,0.006111007,0.001301732,0,0
70,BG_15_72,13.04693,8.581709088,81.6336854,71.78196738,70.11390932,68.78901751,78.6017816,6.431340386,5.176319874,19.69164635,26.81847527,27.89074057,28.71554087,18.60008493,49.29389815,60.31805344,24.12196172,37.36102011,39.77918339,41.74436837,23.66369381,2.051727061,1.890749091,6.075213731,3.871003119,3.556639384,3.31002089,5.286452037,-0.370226656,-0.032031689,-1.796183156,-1.331387518,-1.252116339,-1.184884082,-1.509037483,0.270181185,0.086576869,0.071193199,0.07193636,0.07514807,0.157143726,0.20917485,0.058645746
71,BG_15_73,1.948895139,0.860781368,55.79661486,21.78307457,17.78714684,16.34489692,55.80230334,1.659354917,0.875156321,24.82677434,25.0693823,23.94976676,23.16709975,24.778812,85.14336577,101.6699888,44.49512646,115.0865192,134.646478,141.7390386,44.40464016,2.424444721,4.641126798,2.164930128,2.892161989,3.342982612,3.634956588,2.170460424,0.667286362,1.464159417,-0.282193758,1.019429082,1.230662255,1.332448495,-0.286183824,0.817204319,0.152527542,0.028866179,0.001340134,6.18E-05,0,0,0
72,BG_15_74,8.640280349,5.305712648,49.5654492,36.31108424,35.13629421,34.46821073,49.01944513,8.923970249,6.109816968,36.15528461,38.59928643,38.40131061,38.21958253,35.20506998,103.2833414,115.1554442,72.94453131,106.3016631,109.2924324,110.8835699,71.81858115,1.463662046,2.192322505,1.354733504,1.416507945,1.449451859,1.475156642,1.375607222,0.384144934,0.779264126,0.021268038,0.377558198,0.421528311,0.450072539,0.001268057,0.583054468,0.045342926,0.028309222,0.02507496,0.035997206,0.082144587,0.148013829,0.052062806
73,BG_15_75,4.207137948,2.189725122,63.72788239,45.32907863,41.79156272,39.20236698,63.63453804,2.762519409,1.769143015,28.00936015,32.97111145,33.03401404,32.70804872,27.60047327,65.66267717,80.79292679,43.95149988,72.73721956,79.04469679,83.43386186,43.37341658,2.499558526,3.355454975,2.101535052,1.638560594,1.639128922,1.682911176,2.127172143,0.279472082,0.846331239,-0.513870591,0.032401741,0.156111734,0.25474947,-0.519481087,0.555325222,0.220264392,0.146398797,0.060760885,0.014233385,0.002958539,5.88E-05,0
74,BG_15_77,7.345035887,4.461384578,69.32462455,55.50091619,52.8141384,51.38379989,67.92017051,5.172329408,3.653413066,29.92727802,36.89564954,37.99883376,38.40798868,28.89081743,70.4193892,81.88966905,43.16976574,66.47755042,71.9482224,74.74727203,42.53643242,1.693413523,1.991569834,2.323633809,1.561955254,1.452266221,1.408625307,2.378910376,-0.075832305,0.364865954,-0.82577646,-0.398203695,-0.312152803,-0.264872459,-0.816194362,0.446684231,0.088570683,0.087002132,0.115609944,0.112955544,0.132699009,0.016446244,3.22E-05
75,BG_15_78,4.393366505,2.383120387,76.17622802,58.06762533,53.34877832,49.49068465,76.01813439,2.27802231,1.63375133,23.44902687,31.67230005,32.26133849,32.42735639,23.24012806,51.85140613,68.55513211,30.78260434,54.54381829,60.47249723,65.52214142,30.57182111,2.956965228,3.596151865,3.546905139,1.959008007,1.772451567,1.691568162,3.563759772,0.212387663,0.833555275,-1.156505723,-0.473128265,-0.279764587,-0.140558514,-1.154364971,0.486361568,0.289793142,0.157951168,0.051787704,0.012466133,0.001640291,0,0
