"","SS","VPD__0.1m_Grid.1x1m","VPD__0.50cm_Grid.1x1m","VPD__1.2m_Grid.1x1m","VPD__10.11m_Grid.1x1m","VPD__100.150cm_Grid.1x1m","VPD__11.12m_Grid.1x1m","VPD__12.13m_Grid.1x1m","VPD__13.14m_Grid.1x1m","VPD__14.15m_Grid.1x1m","VPD__15.16m_Grid.1x1m","VPD__150.200cm_Grid.1x1m","VPD__16.17m_Grid.1x1m","VPD__17.18m_Grid.1x1m","VPD__18.19m_Grid.1x1m","VPD__19.20m_Grid.1x1m","VPD__2.3m_Grid.1x1m","VPD__3.4m_Grid.1x1m","VPD__4.5m_Grid.1x1m","VPD__5.6m_Grid.1x1m","VPD__50.100cm_Grid.1x1m","VPD__6.7m_Grid.1x1m","VPD__7.8m_Grid.1x1m","VPD__8.9m_Grid.1x1m","VPD__9.10m_Grid.1x1m","VPD__Abv200cm_Grid.1x1m","VPD__Abv20m_Grid.1x1m"
"1","BG_15_1",0.309411072682146,0.276238544867347,0.146622400261599,0.112494254403764,0.0851804477019952,0.108452617925857,0.108627015206926,0.102937655875389,0,0.103835138661951,0.101372028342061,0.101318965267394,0.158421439870165,0.0867968042576788,0.0759783879237659,0.138936731212645,0.105275343774573,0.0921511785362787,0.0930277552662574,0.105470075237276,0.0929249300555217,0.10438806477796,0.111061886881697,0.114398455117065,0.347645052612488,0.135575215254046
"2","BG_15_10",0.303175155992947,0.286572415830313,0.123369986519802,0.145151610319855,0.0780210978015189,0.133177463093548,0.142247949842456,0.129730968920285,0,0.121944978984415,0.0842821348794074,0.0939460835627097,0.0686599839594263,0.00736230009005123,0,0.113126407601402,0.108945986758227,0.115609938960797,0.126244175388512,0.087518014929691,0.119158049113867,0.125819744922758,0.123041975874998,0.156869283742213,0.325724694512445,0
"3","BG_15_100",0.321102005861059,0.285174313392721,0.137380036236233,0.0950375475763395,0.082605691803833,0.0854174543440063,0.0704849802225414,0.0547728656919532,0,0.0395845620722785,0.0854454632067098,0.0259618800771282,0.0187846702306502,0.0028011287637553,0.000941371236820344,0.11886009373753,0.10531298569725,0.100611506772034,0.0990765093818164,0.106690589529051,0.102357043981561,0.105530087544261,0.106142768261169,0.102654878710613,0.355003671073197,0
"4","BG_15_11",0.335577091092247,0.320744514174491,0.130899984596041,0.0602710917514539,0.0722287160242391,0.0555761328784011,0.0504547416610731,0.0443782279065552,0,0.035725029498642,0.0941726723452084,0.0258790840544642,0.0246328449572194,0.00472279177944642,0.00161295330698898,0.148121594980842,0.118775151814919,0.0946611434841326,0.0785641704263367,0.0914891331125186,0.0721636545856685,0.0690129958797772,0.068060373848117,0.0649596319215148,0.34948053488494,0.00150323446455109
"5","BG_15_12",0.32777106727731,0.309485699314172,0.130135550334811,0.0592927124124604,0.0729331719524705,0.0459469560224872,0.0353941160666417,0.0252304238616765,0,0.0161571998407751,0.0913962038588826,0.00935614419717658,0.00740785709018134,0.00164083600830355,0.000379220899915948,0.143116515193907,0.12392777486891,0.112243765929328,0.105879234699756,0.0934782336017338,0.099987699780916,0.0947571130771469,0.083370090881188,0.0721922067559857,0.342917630505469,0
"6","BG_15_13",0.315336460219185,0.289786657690604,0.140570830544126,0.0670712017616319,0.0816914811055006,0.0654512749064304,0.0633705395912172,0.0628970626894618,0,0.0606137140178659,0.0911068842093784,0.0588773745885565,0.0925367870683516,0.0534670653026408,0.0528371898199645,0.134275453636487,0.103047227244569,0.0909960926658869,0.0846460873639067,0.0985889547293706,0.0796896908542784,0.0752081201209251,0.0722879077988917,0.0701681454665705,0.340428493780443,0.157068784720998
"7","BG_15_14",0.31604951252856,0.297959921283536,0.117885733343517,0.0737979623154684,0.067135772840027,0.075636962475107,0.073997786531973,0.0736199497618256,0,0.0704567811698047,0.0795196658878383,0.0699211900980583,0.108290847555735,0.0611960317817124,0.0562686869050043,0.117352460461509,0.0948706657688188,0.0867242025883563,0.0851242496680022,0.0875056502295873,0.0820636468656155,0.0822420979582256,0.0788599186509337,0.0766716314627497,0.333793561716671,0.104805744052756
"8","BG_15_15",0.328256066304933,0.313684036267758,0.109707690677613,0.0740367948443186,0.0611770897987441,0.072281347298744,0.0681595147172331,0.0663533505187155,0,0.059354880681415,0.0751899307757333,0.0540574654037015,0.0779969041828059,0.0451729520953794,0.0433338512096163,0.118907923204651,0.101945070745726,0.0908227073300887,0.0837961742947083,0.0888430058514062,0.0807913050314241,0.0790693870679736,0.0773187643795734,0.0756312958068638,0.33916750028546,0.081146694340465
"9","BG_15_16",0.33946941442865,0.318692049050733,0.11736727151981,0.0695276735378284,0.0682371960339863,0.0662528779181375,0.0622668589256388,0.0595805943240847,0,0.0604180461929488,0.0789004118637078,0.0599272052309835,0.0959146046383924,0.0527999018164604,0.0473473688567388,0.121810651621977,0.103768657039871,0.0948272916572163,0.0875336882136469,0.0974958095520218,0.0824527609431838,0.0788175591155091,0.0750412907642916,0.0728948010738979,0.352450130822958,0.0873156298969609
"10","BG_15_17",0.350922205394507,0.337910830230688,0.129246165364604,0.0668099325662361,0.0741942683450481,0.0666682669311597,0.0706416553479925,0.0692815221456762,0,0.0635256471915293,0.0899974181370246,0.0588053490921309,0.069605332171533,0.0274591640504334,0.0246228095896695,0.13208858984187,0.110651453756851,0.0944080713638649,0.0837265290545742,0.100921113878312,0.0786986973615304,0.0757807154369095,0.070423071631547,0.0673779952208569,0.358610964053423,0.0470415982928074
