"","SS","VPD__0.1m_Grid.1x1m","VPD__0.50cm_Grid.1x1m","VPD__1.2m_Grid.1x1m","VPD__10.11m_Grid.1x1m","VPD__100.150cm_Grid.1x1m","VPD__11.12m_Grid.1x1m","VPD__12.13m_Grid.1x1m","VPD__13.14m_Grid.1x1m","VPD__14.15m_Grid.1x1m","VPD__15.16m_Grid.1x1m","VPD__150.200cm_Grid.1x1m","VPD__16.17m_Grid.1x1m","VPD__17.18m_Grid.1x1m","VPD__18.19m_Grid.1x1m","VPD__19.20m_Grid.1x1m","VPD__2.3m_Grid.1x1m","VPD__3.4m_Grid.1x1m","VPD__4.5m_Grid.1x1m","VPD__5.6m_Grid.1x1m","VPD__50.100cm_Grid.1x1m","VPD__6.7m_Grid.1x1m","VPD__7.8m_Grid.1x1m","VPD__8.9m_Grid.1x1m","VPD__9.10m_Grid.1x1m","VPD__Abv200cm_Grid.1x1m","VPD__Abv20m_Grid.1x1m"
"1","BG_15_1",0.281556304300956,0.238990398575956,0.0708705719717157,0.0331138470483209,0.0297121453475344,0.0307651149647249,0.0281072968206992,0.0253926738212785,0,0.0217350906943007,0.0411584267114886,0.0189381408910362,0.0317409194219092,0.0141313094362123,0.0135645113060745,0.0792127782464383,0.0617093118305786,0.0512537955836246,0.0444940909568874,0.0425659063356628,0.0411283193292606,0.0390621239303992,0.0377528457833605,0.0359755016444242,0.647573128696895,0.0394954620549791
"2","BG_15_10",0.333804880315209,0.293899842785947,0.0783083940070936,0.0270984109257706,0.0308493315723284,0.0214888075517369,0.0160812910066097,0.0117145373855235,0,0.00859553957382733,0.0474590625255322,0.00634735115558932,0.00914994797390814,0.00358652235615835,0.00267142324643665,0.0968743307379458,0.0840013192639052,0.0714738891678122,0.060152187059985,0.0399050381003457,0.0508540663618672,0.0439708357486182,0.0383322638320854,0.0329420768107606,0.587886731807061,0.00255193690642871
"3","BG_15_100",0.391246478406326,0.330245685126635,0.0850588981733618,0.0285072152511628,0.0395678551402016,0.0236893359053262,0.0192729553093574,0.015366234578855,0,0.0117849756050399,0.045491043212875,0.00885612765688958,0.012324853241378,0.00502820924539565,0.00451206775905494,0.0740181746339294,0.0575027728749179,0.0504561152920057,0.0462250049495451,0.0610007943762522,0.0429826153140964,0.0401979922296746,0.037240118011631,0.0332152424633882,0.523694628625974,0.0125146228024505
"4","BG_15_11",0.401731154195244,0.353219843720611,0.0817782475321357,0.0241902597155321,0.0329909052860352,0.0218618265871436,0.0193387094192656,0.0168067910374271,0,0.0138248270130715,0.0487873423515495,0.0113928818930177,0.0170485731789861,0.00671150716764349,0.00598523850654066,0.0927176525747632,0.0663410707030643,0.0484377629488865,0.0382206729072215,0.0485113112997956,0.0327944577605697,0.0299958325359485,0.0282976744819523,0.0264693704217395,0.516490603208344,0.0160554977428483
"5","BG_15_12",0.446695221401568,0.39245792715695,0.0874445467148914,0.0148397864736595,0.0352959712018203,0.012442672117902,0.0105708793756128,0.00900163293890495,0,0.00786908206956081,0.0521485756267822,0.00704900465854443,0.0125618128044331,0.00576652650634814,0.00512406902493978,0.0999966521582403,0.072775014839326,0.0537525929288517,0.0412876700174999,0.0542372951254547,0.0328935718633351,0.0266792616007513,0.0217877594309295,0.0177793641326698,0.465860237404031,0.0136828871941628
"6","BG_15_13",0.374715730184981,0.323614100113872,0.0764658596452139,0.0231057334311795,0.0327508222633875,0.0202228082722835,0.0177820104008426,0.015767438133283,0,0.0140952295712716,0.0437150374806908,0.0126050335887985,0.0215804376858853,0.00928926907427639,0.00831532580728596,0.0813407560386509,0.0616768004622379,0.0512922876092554,0.044457905839861,0.0511016307456943,0.0391381753548693,0.0343697587866141,0.0302734826104773,0.0265245353450131,0.54881841490977,0.0369814302392602
"7","BG_15_14",0.418347199901559,0.36656442657699,0.0763141430496328,0.0224745406030398,0.0323148794670462,0.0195410351898864,0.0169009907522915,0.014567871862681,0,0.0121875547382505,0.0439992636849076,0.0100918433791159,0.0145727470997461,0.00486680988351544,0.00367709969274398,0.0821345095208719,0.0643454934211617,0.0535456640096549,0.0456690542780529,0.0517827741444649,0.0395134703022034,0.0345130098357146,0.0301544490031277,0.0259477524326959,0.50533866221969,0.0106347694424757
"8","BG_15_15",0.386520392202274,0.339888429952116,0.0659722482484777,0.0265382364061287,0.0281128823864138,0.0239636295339094,0.0214852392561673,0.0190855400464249,0,0.0167083647116568,0.0378593659398337,0.0143956076963064,0.0220234125021662,0.00812348813445454,0.00654758806778546,0.0724931509962719,0.0608824724975515,0.0533414515198632,0.0471193475669946,0.0466319629284231,0.0416400697531808,0.037161468024043,0.0330868008791607,0.0294926861739704,0.547507364537276,0.0134188144065916
"9","BG_15_16",0.388653963823062,0.339811582961998,0.0695380891001728,0.0243216005779981,0.0298209038751585,0.0222208346386979,0.0205536829363896,0.0189143878082414,0,0.0171413557965755,0.0397171853151485,0.0155390268588298,0.0265149646072788,0.0115678382416347,0.0109911515424294,0.0738317094939169,0.0562288156460978,0.0461063764567222,0.0404881564498798,0.0488423815878281,0.036033691032454,0.0323631546835326,0.0292534626563157,0.0264636669184073,0.541807951813974,0.0332740787691574
"10","BG_15_17",0.500649173734937,0.451327940484127,0.0698268221147273,0.0184893691107421,0.0297888922986141,0.0172965993244084,0.0164726883267808,0.0154536230703136,0,0.0137429674265065,0.04003792990438,0.012004484322739,0.0174047089979164,0.00582813278869598,0.00471594765047948,0.0722188786993132,0.0524064928276546,0.040769733892427,0.0333836390582037,0.0493212341069115,0.0285419495879708,0.0251415505639463,0.0222877779906953,0.0199007043967517,0.429524008913379,0.0134647635077358
"11","BG_15_18",0.802103388918621,0.776709350988802,0.0326119387646103,0.00614132172400846,0.0139107320945961,0.00581392950116465,0.00550968852103451,0.00508089555980942,0,0.0045205904543909,0.0187012067059688,0.00395061149338647,0.00593442355141403,0.00198232096591294,0.00142802310496752,0.0328581661047288,0.0240306192032486,0.0182725949040255,0.0138699196858384,0.0253940383983251,0.0108839616429651,0.00902774515767863,0.00762406789190456,0.00678767817579602,0.165284674450007,0.00156811779227176
"12","BG_15_19",0.440886420976379,0.400553731443907,0.0587493216248419,0.0212201705642821,0.0250624117282229,0.0188390514052473,0.0170879739161941,0.0160362368627311,0,0.0155742953309165,0.0336869099630068,0.0157025663244484,0.0309411043095187,0.0139009270691415,0.0118549474056816,0.0641734462244409,0.0526701449332066,0.045298675309802,0.0396057977343765,0.0403326901244714,0.0348052996572185,0.0306570825253971,0.0269869327840493,0.023913548894806,0.500364261210286,0.0210960632349491
"13","BG_15_2",0.426489643370144,0.373198927100982,0.0806778935466373,0.0191778624968748,0.0334041263181698,0.0139998958336566,0.00997652143923546,0.00703167504543265,0,0.00435485123809561,0.0472737673272256,0.0028172061707954,0.00276723124457487,0.000394527843355935,0.000199393937613981,0.0917132371986015,0.0757762805133456,0.0646948154521077,0.0548850476232939,0.0532907171844928,0.0470991847351789,0.0395555146669635,0.0324679269407151,0.0255890767127817,0.492832469523816,0.000332224224703324
"14","BG_15_20",0.239465480403196,0.209695204509608,0.0554621789177557,0.0415191801535817,0.0223816644735595,0.0379781628375276,0.0335154874985328,0.0290027921218407,0,0.0256458591628405,0.0330805144990235,0.0230259025027854,0.0411264091301991,0.0184115935992034,0.0159121438076338,0.0677214297643941,0.0583137358941175,0.0528614113648021,0.0493108661655325,0.0297702762112999,0.0464766835790107,0.0450429037470536,0.0445482971927659,0.0437324738199367,0.705072344448778,0.0309270170914061
"15","BG_15_21",0.394713078289578,0.34746652550626,0.0758403492962103,0.0255248212979283,0.0309667705508891,0.024269410689722,0.022510653643019,0.0201895618475218,0,0.0178282472241158,0.0448735788671971,0.0158637575361099,0.0265936807500459,0.0113178586038366,0.00978819169779836,0.0854279819208738,0.0616963248608328,0.0441187429988179,0.0342846209458231,0.0472465536726166,0.0292549100219049,0.0269794653337029,0.0263309347653956,0.0261815281629743,0.529446578024055,0.0212858897381197
"16","BG_15_22",0.376167351037518,0.330387535767069,0.0772656984812037,0.0233671156928387,0.0311278110699815,0.0216398151968132,0.0194031922886498,0.0169806930451757,0,0.0150853398481896,0.04613788752997,0.013512972430804,0.0248783935102635,0.0122200590041122,0.0117862988534172,0.0895830113222397,0.065902256485825,0.047367955495205,0.0364679515708832,0.0457798160478699,0.0308055963785175,0.0279972346016533,0.0261574592114388,0.024681239480674,0.546566956174813,0.0387303755394254
"17","BG_15_23",0.324494399922736,0.282223549153798,0.0663224055076389,0.0279537665853992,0.0282409815183729,0.0255517932739289,0.0229309429825907,0.0204552938593229,0,0.0183652301416302,0.0380814240885399,0.0168311079261285,0.0314880412652812,0.0160874617107291,0.0168633797716911,0.0707849512326147,0.0530514734217759,0.043862456354418,0.039183480235333,0.0422708513680367,0.0360761683285549,0.0339168528279122,0.0322344666790989,0.030296205911012,0.609183199630243,0.0732501313374933
"18","BG_15_24",0.463600859968892,0.410181401392229,0.0775546434095968,0.0192817669795257,0.0325947035796322,0.0155635460885497,0.0122596760457841,0.00969264968397827,0,0.0075691911045028,0.0449599399457462,0.0058170880021474,0.00774944139520978,0.00251242390935228,0.00206981722052534,0.0849234634449662,0.0657283220804745,0.0535122861671684,0.04410301670907,0.0534194595455487,0.0371277556512369,0.0320198560982491,0.0276970568676326,0.0234756893715721,0.458844502745517,0.00774145908627293
"19","BG_15_26",0.371507770365863,0.321597712603401,0.0703473388208414,0.0240138000428388,0.0309350039721603,0.0226910389265996,0.0214129456273146,0.0205184284708953,0,0.0197032611308824,0.0394123349605609,0.0185977270287541,0.0344082527223119,0.0158600423108235,0.0148563889381169,0.072501460530062,0.0535062746864079,0.0429170131327694,0.0377418944686787,0.0499100585583912,0.0336579913778645,0.0305255903118706,0.0278905368849042,0.0257284469265128,0.558144895783132,0.0416138063708361
"20","BG_15_27",0.532891552795222,0.477182371582676,0.0729293497406801,0.0162941540154526,0.0329041951511759,0.0147261199564496,0.0131959907726218,0.0119807311171077,0,0.0107017263251854,0.0400251546978066,0.00951446310791129,0.0153578655697072,0.00593153442558789,0.00488449710703078,0.0700809204688287,0.0497767629242544,0.0380591758743216,0.031558974564124,0.0557091822796308,0.0272154788125261,0.0238105916782836,0.0208500756954624,0.0183187403844812,0.394179102394212,0.0119213023095696
