"","SS","mean_MaxHeight","mean_MeanHeight","mean_PercCanopyCoverCut0.1m","mean_PercCanopyCoverCut0.5m","mean_PercCanopyCoverCut1.0m","mean_PercCanopyCoverCut1.5m","mean_PercCanopyDensity","sd_MaxHeight","sd_MeanHeight","sd_PercCanopyCoverCut0.1m","sd_PercCanopyCoverCut0.5m","sd_PercCanopyCoverCut1.0m","sd_PercCanopyCoverCut1.5m","sd_PercCanopyDensity","cv_MaxHeight","cv_MeanHeight","cv_PercCanopyCoverCut0.1m","cv_PercCanopyCoverCut0.5m","cv_PercCanopyCoverCut1.0m","cv_PercCanopyCoverCut1.5m","cv_PercCanopyDensity","kurtosis_MaxHeight","kurtosis_MeanHeight","kurtosis_PercCanopyCoverCut0.1m","kurtosis_PercCanopyCoverCut0.5m","kurtosis_PercCanopyCoverCut1.0m","kurtosis_PercCanopyCoverCut1.5m","kurtosis_PercCanopyDensity","skewness_MaxHeight","skewness_MeanHeight","skewness_PercCanopyCoverCut0.1m","skewness_PercCanopyCoverCut0.5m","skewness_PercCanopyCoverCut1.0m","skewness_PercCanopyCoverCut1.5m","skewness_PercCanopyDensity","strata_00_to_02_returnProportion","strata_02_to_04_returnProportion","strata_04_to_06_returnProportion","strata_06_to_08_returnProportion","strata_08_to_10_returnProportion","strata_10_to_15_returnProportion","strata_15_to_20_returnProportion","strata_20_above_returnProportion"
"1","BG_15_1",9.26272086099796,6.12858354984614,76.192485958586,63.671670650725,60.9018222047612,58.8792620970345,74.4109089681796,6.79491958892891,5.17384992976589,25.8486818267009,32.7025489775672,34.0258162164344,34.8299911785884,24.6896653475811,73.3577065626571,84.4216267541263,33.9255000037022,51.3612233562381,55.8699477037558,59.1549383230851,33.1801689966442,2.18043228190656,2.6474948450689,3.78155299197373,2.18228225052949,1.9708688379701,1.84778570986599,3.6749526542209,0.479535141975131,0.744095379327515,-1.24659952107501,-0.672162694252862,-0.566302266791454,-0.492184036525198,-1.14837739780095,0.352426875313059,0.140922089820415,0.0957478863886233,0.0801904431449498,0.0737283473190424,0.117378932248844,0.100109971424665,0.0394954620549791
"2","BG_15_10",6.27192892728432,3.99720858763424,69.9015188347091,56.0482294951958,53.579582308701,51.5586161810857,68.8317923646003,4.81581745221372,3.54463121227372,29.853481671656,35.5024315401185,36.0228884052586,36.2762568205978,28.6020579148912,76.7836738593102,88.6776642890086,42.7079156065955,63.3426458959986,67.2324920297274,70.3592522599661,41.5535567683417,2.98375020931054,3.76974356943702,2.64088386713394,1.70509057378481,1.62765668687357,1.58351372858392,2.64930634520171,0.706866300461384,1.05020998265829,-0.864743768598352,-0.324312564175257,-0.23226352688321,-0.153998276127953,-0.818420974876453,0.412113273264595,0.180875649600347,0.131626075978563,0.0948249019428407,0.071274340514007,0.0763830465895959,0.0303507842004484,0.00255193690642871
"3","BG_15_100",6.96753460974246,4.2636919330427,76.383659163622,57.8186070696119,53.2087604382619,50.0516400989704,75.3715274070719,5.68002361086537,4.07299452496572,25.2806789822563,33.6884277030049,35.1555364720166,35.9357153166937,24.7105118913379,81.5212830507248,95.5274111949994,33.0969729115784,58.2657199998696,66.070955576587,71.797278262282,32.7849424596102,2.98655924607331,3.86567916474042,3.71952713417311,1.85404682405063,1.62852625160692,1.51714168402956,3.72201769219287,0.771451629958463,1.13828635794151,-1.25785724666255,-0.491994489345718,-0.322359531982819,-0.204234197280079,-1.22567548859233,0.476305375211838,0.131520947238023,0.0966811200563321,0.0831806073884516,0.070455360342001,0.0868357407245428,0.0425062333722662,0.0125146228024505
"4","BG_15_11",6.99863650665526,4.25195822012201,68.1204224753752,50.9020703961541,47.912291079106,45.7947985302224,66.8475178498011,5.96313287293226,4.42710052821496,26.0523346711944,33.278800895202,34.1812043200294,34.6961713460982,25.0808925384091,85.2042089521538,104.119097578713,38.2445289158505,65.3780890172129,71.3412019132924,75.7644371406076,37.5195569636004,2.97991832427085,3.97567120252325,2.4675948763127,1.65704952712275,1.58766628303416,1.55666943453459,2.53127801081017,0.925150690950347,1.28072474354738,-0.67672207273452,-0.12604944635216,-0.0239226901243239,0.050484098067387,-0.666912144825481,0.483509400431371,0.159058723002047,0.0866584357386514,0.0627902902114473,0.0547670448294436,0.0821975865058559,0.0549630275949472,0.0160554977428483
"5","BG_15_12",6.20249462438161,3.45249272130188,65.6695822774138,46.1219680651717,42.6853376872269,40.3788087628764,65.1462163226377,5.7203354569308,3.83080181383439,25.9750398271954,31.8443266162978,32.3073997470467,32.4859015540783,25.286598802733,92.2263670240765,110.957563797263,39.5541420036247,69.0437289477778,75.6873472192639,80.4528477916499,38.8151457292633,4.24842393298088,5.83945681695702,2.40759259946864,1.70959051760936,1.68508020586266,1.6909273934885,2.45681222630526,1.32698544062047,1.73723598505954,-0.599541156312051,0.0122960936012063,0.129840801757454,0.214217407895952,-0.602135458235505,0.534139766773996,0.172771666693992,0.0950402628094087,0.0595728333796697,0.0395671235111898,0.0468549707887533,0.0383704949561482,0.0136828871941628
"6","BG_15_13",8.88116739919899,4.95605904953916,72.6213987689597,55.3478726210425,51.8562031616663,49.5174174463689,72.0721403212295,6.89146427587091,4.67454684589576,24.5522825548924,31.80389723364,32.5386613105469,32.8137932822901,23.7811481419694,77.5963785627154,94.3198375800309,33.8086059633799,57.4618241452492,62.7478668445986,66.2671742076006,32.9963118008922,2.72808906712568,3.97655333737288,3.12495063469628,1.87713553675513,1.75322820083944,1.6934785601261,3.13995619581506,0.749266022846798,1.21901243396936,-0.965155184149778,-0.372533088943389,-0.259905833380853,-0.182423756092662,-0.942415116076914,0.451181588935439,0.14301755627686,0.0957501933102385,0.0735079340512398,0.0567980178804287,0.0768779900457212,0.0658852955626691,0.0369814302392602
"7","BG_15_14",7.17315820713194,3.9649993951358,67.304949865652,49.2676131098693,45.9640527804767,43.7958514989594,66.7848331010999,5.67084699358665,3.89185352039906,26.4525731784065,32.2211532603844,32.6924767719693,32.842081633999,25.6564414012964,79.0564885066719,98.1552109484185,39.3025672423926,65.400272565528,71.1261840380087,74.9890240969041,38.4165688674512,3.00439064041666,4.83855418659412,2.55937373477679,1.71918825933008,1.66325011938793,1.64554515460307,2.60359140419884,0.77593437937681,1.38837262123054,-0.720368367276867,-0.134439318829075,-0.0263652730732475,0.0488726810834221,-0.71362037869274,0.494661341877188,0.146480002696357,0.0992147181448346,0.0740264800381425,0.0561022013732387,0.073484438207344,0.0453960546732156,0.0106347694424757
"8","BG_15_15",8.1850417317735,4.63662333300117,69.2419505567183,52.3582461404869,49.3744497069632,47.4805837307201,68.527024335068,6.04212083744271,4.20527541569401,26.0642068932111,32.0627919672824,32.6361247208275,32.8890044284622,25.1021563629877,73.8190596388508,90.6969385622281,37.642219324629,61.2373299923988,66.0992171346162,69.2683236899275,36.6310322191269,2.46324781901165,3.5800171647218,2.79553340572536,1.79897453129989,1.71119682010719,1.66959583041164,2.8366565881753,0.541766919451375,1.06999047244737,-0.838522608387551,-0.273723151738394,-0.174057535352375,-0.107976548679772,-0.818968914927903,0.452492639564066,0.133375623277214,0.100460798944572,0.078801537668982,0.0625794869787846,0.0910726449906665,0.0677984609232681,0.0134188144065916
"9","BG_15_16",8.83178920264058,5.03178023670803,69.4610137465176,52.7372393840163,49.6090368486811,47.6076683285604,68.8025184895679,6.98043844874073,4.76780079117067,27.0015196013343,33.1823694962164,33.8179074267546,34.0473297163833,26.1706387341615,79.0376478489057,94.7537564615487,38.8729132285202,62.9201867291396,68.1688449826329,71.5164823477773,38.0373266977568,2.2555037138599,3.26208174857106,2.7885230761682,1.7284079529035,1.64305889643891,1.60570706277997,2.83723142933289,0.553056597636669,1.02097051937289,-0.865469847412462,-0.262165095981155,-0.160489170744227,-0.0921873368223951,-0.854810790034784,0.458192051989215,0.130060524945426,0.0865945327917384,0.0683968456348251,0.0557171295129585,0.086010505739892,0.0817543368436635,0.0332740787691574
"10","BG_15_17",6.35359290797366,3.53958361270135,58.4440102818897,40.8323456364038,37.8469427162717,35.9375843651481,58.0888659142374,6.36316063389846,4.12145664191043,31.601405168905,34.7235726064926,34.5612252878978,34.279858076245,30.9433440758701,100.150587644871,116.439024836738,54.0712470216943,85.0393776436273,91.3184072673821,95.3872072422578,53.2689760573997,2.84531983786976,4.37009831289426,1.8548885074678,1.5818598617035,1.62506520596865,1.67506582769566,1.89508464276808,0.915754185503945,1.40168790841908,-0.390252227683259,0.201215806936262,0.311246979873434,0.385442897191387,-0.400026046883175,0.570475994782456,0.124625371327779,0.0741533728512171,0.0536835000884553,0.0421884823346633,0.0677122796533239,0.0536962410570165,0.0134647635077358
